X	Y
339.333	231.667
340.815	231.322
342.663	231.150
344.847	231.136
347.336	231.269
350.098	231.534
353.101	231.919
356.314	232.409
359.706	232.991
363.245	233.652
366.900	234.380
370.640	235.159
374.432	235.977
378.246	236.822
382.049	237.678
385.817	238.537
389.540	239.401
393.216	240.278
396.840	241.173
400.411	242.094
403.925	243.048
407.378	244.039
410.767	245.076
414.089	246.165
417.341	247.312
420.519	248.524
423.621	249.807
426.642	251.168
429.580	252.614
432.432	254.151
435.193	255.786
437.863	257.521
440.447	259.342
442.948	261.234
445.374	263.179
447.729	265.163
450.020	267.169
452.250	269.181
454.427	271.182
456.555	273.157
458.640	275.089
460.688	276.962
462.703	278.761
464.692	280.468
466.658	282.070
468.575	283.573
470.400	284.995
472.089	286.358
473.601	287.679
474.890	288.978
475.914	290.276
476.629	291.591
476.993	292.942
476.979	294.347
476.638	295.807
476.045	297.322
475.273	298.890
474.396	300.509
473.488	302.179
472.623	303.897
471.874	305.663
471.290	307.474
470.857	309.329
470.557	311.223
470.367	313.155
470.266	315.122
470.235	317.120
470.252	319.147
470.297	321.200
470.348	323.277
470.398	325.375
470.458	327.498
470.544	329.647
470.671	331.824
470.851	334.032
471.101	336.272
471.434	338.548
471.866	340.860
472.411	343.212
473.083	345.606
473.890	348.040
474.823	350.509
475.868	353.002
477.012	355.511
478.241	358.027
479.542	360.542
480.901	363.047
482.305	365.532
483.741	367.990
485.195	370.411
486.654	372.786
488.104	375.108
489.533	377.367
490.940	379.558
492.333	381.679
493.718	383.728
495.103	385.703
496.497	387.601
497.907	389.421
499.341	391.161
500.806	392.817
502.310	394.389
503.860	395.873
505.462	397.269
507.103	398.579
508.764	399.810
510.429	400.964
512.078	402.048
513.695	403.065
515.260	404.021
516.757	404.921
518.167	405.768
519.474	406.577
520.662	407.389
521.719	408.247
522.630	409.197
523.381	410.283
523.959	411.550
524.355	413.032
524.583	414.714
524.665	416.564
524.625	418.549
524.484	420.638
524.267	422.799
523.994	424.999
523.688	427.207
523.373	429.390
523.068	431.519
522.774	433.571
522.488	435.528
522.205	437.373
521.921	439.087
521.632	440.652
521.333	442.051
521.020	443.264
520.681	444.276
520.266	445.076
519.712	445.657
518.959	446.012
517.965	446.137
516.760	446.051
515.388	445.775
513.894	445.331
512.323	444.740
510.720	444.024
509.129	443.206
507.579	442.339
506.090	441.499
504.679	440.764
503.364	440.213
502.162	439.924
501.092	439.975
500.168	440.426
499.391	441.242
498.756	442.356
498.257	443.700
497.890	445.208
497.650	446.813
497.521	448.451
497.448	450.071
497.374	451.623
497.236	453.057
496.976	454.323
496.534	455.371
495.855	456.155
494.941	456.670
493.831	456.941
492.567	456.989
491.188	456.839
489.736	456.515
488.241	456.033
486.728	455.402
485.216	454.630
483.728	453.727
482.285	452.699
480.909	451.557
479.621	450.308
478.440	448.963
477.360	447.553
476.363	446.117
475.430	444.697
474.545	443.332
473.688	442.062
472.841	440.928
471.987	439.971
471.114	439.228
470.221	438.737
469.305	438.534
468.364	438.657
467.401	439.128
466.429	439.915
465.469	440.968
464.538	442.238
463.655	443.675
462.840	445.231
462.111	446.856
461.464	448.499
460.863	450.103
460.266	451.614
459.635	452.975
458.926	454.129
458.102	455.022
457.122	455.601
455.981	455.863
454.704	455.857
453.319	455.630
451.850	455.231
450.325	454.709
448.770	454.112
447.213	453.462
445.686	452.747
444.221	451.948
442.850	451.049
441.605	450.033
440.517	448.884
439.619	447.585
438.921	446.141
438.361	444.632
437.862	443.152
437.346	441.797
436.738	440.663
435.958	439.844
434.938	439.425
433.681	439.385
432.237	439.638
430.656	440.097
428.987	440.674
427.281	441.282
425.588	441.834
423.954	442.247
422.390	442.496
420.876	442.594
419.396	442.554
417.932	442.391
416.464	442.120
414.977	441.753
413.455	441.303
411.909	440.769
410.361	440.143
408.833	439.417
407.348	438.582
405.928	437.632
404.594	436.557
403.371	435.351
402.271	434.009
401.297	432.536
400.447	430.939
399.721	429.222
399.119	427.393
398.639	425.456
398.281	423.418
398.045	421.284
397.927	419.062
397.902	416.784
397.934	414.496
397.983	412.242
398.013	410.068
397.985	408.018
397.863	406.137
397.608	404.471
397.183	403.065
396.554	401.957
395.728	401.117
394.741	400.470
393.627	399.939
392.422	399.449
391.160	398.924
389.878	398.302
388.612	397.558
387.398	396.676
386.273	395.638
385.274	394.426
384.438	393.022
383.801	391.410
383.372	389.589
383.120	387.587
383.010	385.433
383.008	383.156
383.079	380.785
383.189	378.348
383.303	375.876
383.387	373.397
383.406	370.940
383.326	368.534
383.119	366.199
382.784	363.920
382.325	361.674
381.746	359.441
381.050	357.198
380.241	354.923
379.323	352.596
378.299	350.193
377.174	347.694
375.951	345.076
374.634	342.317
373.227	339.398
371.737	336.320
370.176	333.105
368.555	329.777
366.885	326.357
365.178	322.870
363.444	319.337
361.695	315.783
359.942	312.229
358.197	308.700
356.470	305.217
354.773	301.803
353.117	298.483
351.513	295.278
349.973	292.212
348.508	289.307
347.129	286.586
345.844	284.068
344.647	281.740
343.528	279.583
342.474	277.576
341.476	275.697
340.521	273.927
339.598	272.244
338.696	270.629
337.805	269.060
336.913	267.517
336.015	265.983
335.129	264.456
334.274	262.933
333.471	261.414
332.740	259.899
332.102	258.385
331.577	256.872
331.185	255.360
330.928	253.852
330.787	252.360
330.743	250.895
330.776	249.469
330.864	248.093
330.988	246.780
331.131	245.537
331.293	244.364
331.479	243.253
331.695	242.199
331.945	241.195
332.236	240.237
332.574	239.327
332.967	238.474
333.424	237.685
333.952	236.966
334.535	236.302
335.139	235.660
335.729	235.003
336.271	234.298
336.800	233.558
337.418	232.835
338.228	232.186
339.333	231.667
