X	Y
26.682	17.535
26.684	17.475
26.688	17.412
26.695	17.347
26.705	17.278
26.717	17.207
26.732	17.133
26.749	17.057
26.769	16.978
26.791	16.897
26.816	16.813
26.842	16.728
26.871	16.640
26.903	16.551
26.936	16.459
26.971	16.366
27.008	16.271
27.048	16.175
27.089	16.077
27.132	15.978
27.177	15.877
27.223	15.775
27.272	15.672
27.321	15.567
27.373	15.462
27.426	15.356
27.480	15.249
27.536	15.142
27.593	15.033
27.652	14.925
27.711	14.815
27.772	14.706
27.834	14.596
27.897	14.486
27.962	14.376
28.027	14.266
28.093	14.156
28.159	14.046
28.227	13.937
28.296	13.828
28.365	13.719
28.434	13.611
28.505	13.503
28.576	13.397
28.647	13.291
28.719	13.185
28.791	13.081
28.863	12.978
28.936	12.877
29.009	12.776
29.082	12.677
29.155	12.579
29.229	12.483
29.302	12.388
29.375	12.294
29.449	12.202
29.523	12.111
29.597	12.021
29.670	11.933
29.745	11.845
29.819	11.759
29.893	11.674
29.968	11.590
30.043	11.506
30.118	11.424
30.193	11.343
30.268	11.263
30.344	11.183
30.419	11.104
30.495	11.026
30.571	10.949
30.648	10.873
30.724	10.797
30.801	10.721
30.879	10.647
30.956	10.573
31.034	10.499
31.112	10.426
31.190	10.353
31.269	10.281
31.347	10.209
31.427	10.137
31.506	10.066
31.586	9.994
31.666	9.923
31.747	9.852
31.828	9.782
31.909	9.711
31.990	9.640
32.072	9.570
32.155	9.499
32.237	9.428
32.321	9.357
32.404	9.286
32.488	9.215
32.572	9.143
32.657	9.071
32.742	8.999
32.828	8.927
32.914	8.854
33.001	8.780
33.088	8.707
33.175	8.632
33.263	8.558
33.352	8.482
33.441	8.406
33.530	8.330
33.620	8.254
33.710	8.177
33.801	8.099
33.893	8.021
33.984	7.943
34.077	7.865
34.170	7.786
34.263	7.707
34.357	7.627
34.451	7.548
34.546	7.468
34.641	7.388
34.737	7.308
34.833	7.227
34.930	7.147
35.027	7.066
35.124	6.986
35.223	6.905
35.321	6.824
35.421	6.743
35.520	6.662
35.620	6.582
35.721	6.501
35.822	6.420
35.924	6.340
36.026	6.259
36.129	6.179
36.232	6.098
36.336	6.018
36.440	5.938
36.545	5.859
36.650	5.779
36.756	5.700
36.862	5.621
36.969	5.542
37.076	5.464
37.184	5.386
37.292	5.309
37.401	5.231
37.510	5.154
37.620	5.078
37.731	5.002
37.842	4.927
37.953	4.852
38.065	4.777
38.177	4.703
38.290	4.630
38.404	4.557
38.518	4.485
38.632	4.413
38.748	4.342
38.863	4.272
38.979	4.202
39.096	4.133
39.213	4.065
39.331	3.997
39.449	3.930
39.568	3.864
39.687	3.799
39.806	3.735
39.926	3.671
40.046	3.608
40.166	3.546
40.287	3.485
40.408	3.425
40.529	3.366
40.650	3.307
40.771	3.250
40.892	3.193
41.013	3.137
41.134	3.082
41.255	3.028
41.376	2.975
41.497	2.923
41.618	2.872
41.738	2.822
41.859	2.773
41.979	2.726
42.098	2.679
42.217	2.633
42.336	2.588
42.455	2.544
42.573	2.501
42.690	2.460
42.807	2.419
42.923	2.380
43.039	2.342
43.154	2.305
43.269	2.269
43.382	2.234
43.495	2.201
43.607	2.168
43.719	2.137
43.829	2.107
43.939	2.078
44.047	2.051
44.155	2.025
44.261	2.000
44.367	1.976
44.471	1.954
44.574	1.933
44.677	1.913
44.777	1.895
44.877	1.878
44.976	1.862
45.073	1.848
45.168	1.835
45.263	1.824
45.356	1.814
45.447	1.805
45.537	1.798
45.626	1.792
45.713	1.788
45.798	1.785
45.882	1.783
45.965	1.783
46.046	1.784
46.126	1.786
46.204	1.790
46.281	1.795
46.356	1.801
46.430	1.808
46.503	1.816
46.575	1.826
46.645	1.837
46.714	1.848
46.781	1.861
46.848	1.875
46.913	1.890
46.976	1.906
47.039	1.923
47.100	1.941
47.160	1.959
47.219	1.979
47.277	1.999
47.334	2.021
47.389	2.043
47.443	2.066
47.496	2.089
47.548	2.114
47.599	2.139
47.649	2.165
47.698	2.192
47.746	2.219
47.792	2.247
47.838	2.276
47.883	2.305
47.927	2.336
47.969	2.368
48.011	2.400
48.052	2.434
48.092	2.469
48.131	2.505
48.169	2.543
48.206	2.582
48.242	2.622
48.277	2.664
48.312	2.708
48.346	2.753
48.379	2.800
48.411	2.848
48.442	2.898
48.472	2.951
48.502	3.005
48.531	3.061
48.559	3.119
48.587	3.179
48.614	3.242
48.640	3.307
48.665	3.374
48.690	3.443
48.714	3.514
48.737	3.587
48.760	3.662
48.782	3.739
48.804	3.818
48.825	3.898
48.845	3.980
48.865	4.064
48.884	4.148
48.903	4.235
48.922	4.322
48.939	4.411
48.957	4.500
48.974	4.591
48.990	4.683
49.006	4.775
49.022	4.869
49.037	4.963
49.052	5.057
49.066	5.152
49.080	5.248
49.094	5.344
49.107	5.440
49.120	5.537
49.133	5.633
49.145	5.730
49.157	5.826
