X	Y
27.014	51.658
27.038	51.608
27.067	51.555
27.099	51.500
27.134	51.442
27.173	51.383
27.215	51.323
27.261	51.261
27.310	51.198
27.362	51.134
27.417	51.069
27.476	51.004
27.538	50.938
27.602	50.872
27.670	50.807
27.740	50.741
27.813	50.677
27.889	50.613
27.968	50.550
28.049	50.488
28.133	50.427
28.219	50.368
28.308	50.311
28.399	50.256
28.493	50.203
28.588	50.152
28.686	50.104
28.786	50.059
28.888	50.017
28.992	49.978
29.098	49.942
29.206	49.909
29.316	49.879
29.427	49.852
29.541	49.827
29.655	49.805
29.772	49.786
29.890	49.769
30.009	49.755
30.130	49.743
30.252	49.733
30.375	49.726
30.500	49.721
30.626	49.718
30.752	49.717
30.880	49.719
31.009	49.722
31.138	49.727
31.269	49.734
31.400	49.742
31.532	49.753
31.665	49.765
31.798	49.778
31.931	49.793
32.065	49.809
32.200	49.827
32.335	49.846
32.470	49.866
32.605	49.888
32.741	49.910
32.876	49.934
33.012	49.958
33.147	49.983
33.283	50.010
33.418	50.037
33.553	50.064
33.688	50.092
33.822	50.121
33.957	50.151
34.090	50.181
34.224	50.211
34.357	50.242
34.489	50.274
34.622	50.306
34.754	50.338
34.885	50.372
35.017	50.405
35.147	50.440
35.278	50.474
35.408	50.510
35.538	50.545
35.667	50.582
35.796	50.619
35.925	50.656
36.053	50.694
36.181	50.732
36.309	50.771
36.436	50.811
36.563	50.851
36.690	50.891
36.816	50.932
36.942	50.974
37.067	51.016
37.192	51.058
37.317	51.101
37.441	51.144
37.565	51.188
37.688	51.233
37.811	51.277
37.934	51.323
38.056	51.369
38.178	51.415
38.300	51.462
38.421	51.509
38.542	51.557
38.663	51.605
38.783	51.654
38.902	51.703
39.022	51.752
39.141	51.802
39.259	51.853
39.378	51.904
39.495	51.956
39.613	52.008
39.730	52.061
39.847	52.114
39.964	52.169
40.080	52.224
40.197	52.279
40.313	52.336
40.428	52.393
40.544	52.451
40.659	52.510
40.774	52.570
40.889	52.631
41.004	52.693
41.119	52.756
41.233	52.819
41.348	52.884
41.462	52.950
41.576	53.017
41.690	53.085
41.804	53.154
41.918	53.224
42.032	53.296
42.146	53.369
42.260	53.443
42.374	53.518
42.488	53.595
42.603	53.673
42.717	53.753
42.831	53.833
42.945	53.916
43.059	53.999
43.174	54.085
43.288	54.172
43.403	54.260
43.518	54.350
43.633	54.441
43.748	54.535
43.863	54.629
43.978	54.726
44.093	54.823
44.208	54.922
44.322	55.023
44.435	55.124
44.548	55.227
44.660	55.330
44.771	55.435
44.881	55.540
44.989	55.646
45.097	55.753
45.202	55.861
45.306	55.969
45.409	56.078
45.509	56.187
45.608	56.296
45.704	56.405
45.798	56.515
45.889	56.625
45.978	56.735
46.065	56.844
46.148	56.954
46.229	57.063
46.306	57.172
46.381	57.281
46.452	57.389
46.519	57.496
46.583	57.603
46.643	57.709
46.700	57.815
46.752	57.919
46.801	58.023
46.845	58.126
46.884	58.227
46.920	58.327
46.950	58.426
46.976	58.524
46.997	58.620
47.013	58.715
47.024	58.808
47.030	58.900
47.031	58.990
47.029	59.079
47.022	59.167
47.012	59.253
46.998	59.338
46.981	59.422
46.962	59.504
46.941	59.586
46.917	59.667
46.892	59.746
46.865	59.825
46.837	59.903
46.808	59.980
46.779	60.057
46.750	60.133
46.721	60.209
46.692	60.283
46.664	60.358
46.637	60.432
46.612	60.506
46.588	60.579
46.567	60.653
46.547	60.726
46.531	60.799
46.517	60.872
46.505	60.945
46.495	61.017
46.487	61.089
46.480	61.161
46.474	61.233
46.469	61.304
46.464	61.374
46.459	61.444
46.454	61.513
46.449	61.581
46.442	61.649
46.434	61.715
46.425	61.781
46.414	61.845
46.400	61.909
46.384	61.971
46.365	62.032
46.343	62.092
46.317	62.150
46.288	62.207
46.255	62.263
46.218	62.317
46.178	62.371
46.135	62.423
46.090	62.475
46.043	62.527
45.994	62.578
45.944	62.629
45.893	62.680
45.841	62.732
45.789	62.784
45.737	62.836
45.685	62.890
45.634	62.944
45.584	63.000
45.536	63.057
45.489	63.116
45.445	63.176
45.402	63.239
45.363	63.304
45.327	63.371
45.295	63.440
45.266	63.512
45.241	63.586
45.218	63.663
45.198	63.741
45.181	63.822
45.166	63.903
45.153	63.986
45.141	64.071
45.130	64.156
45.121	64.242
45.112	64.328
45.103	64.415
45.095	64.502
45.086	64.589
45.077	64.675
45.067	64.761
45.055	64.847
45.043	64.931
45.028	65.015
45.012	65.097
44.993	65.178
44.971	65.257
44.947	65.334
44.919	65.410
44.888	65.483
44.853	65.553
44.814	65.621
44.772	65.687
44.727	65.751
44.678	65.812
44.627	65.872
44.574	65.930
44.519	65.986
44.462	66.041
44.403	66.095
44.342	66.147
44.281	66.198
44.219	66.249
44.156	66.298
44.093	66.347
44.030	66.395
43.968	66.443
43.905	66.490
43.844	66.537
43.783	66.584
43.724	66.632
43.666	66.679
43.610	66.727
43.556	66.775
43.504	66.824
43.454	66.873
43.406	66.923
43.360	66.973
43.314	67.023
43.270	67.074
43.227	67.124
43.184	67.174
43.141	67.224
43.098	67.274
43.055	67.324
43.012	67.373
42.967	67.421
42.921	67.469
42.875	67.516
42.826	67.563
42.776	67.608
42.723	67.652
42.668	67.695
42.610	67.737
42.550	67.778
42.486	67.817
42.419	67.855
42.350	67.891
42.278	67.927
42.204	67.961
42.128	67.995
42.051	68.027
41.971	68.059
41.890	68.091
41.808	68.122
41.726	68.152
41.642	68.182
41.558	68.212
41.473	68.242
41.389	68.272
41.304	68.302
41.220	68.332
41.137	68.362
41.054	68.393
40.973	68.424
40.892	68.456
40.813	68.488
40.736	68.522
40.661	68.556
40.588	68.591
40.517	68.627
40.448	68.664
40.382	68.703
40.318	68.742
40.255	68.781
40.195	68.821
40.135	68.862
40.077	68.902
40.019	68.942
39.962	68.982
39.905	69.021
39.849	69.060
39.792	69.098
39.735	69.135
39.678	69.171
39.620	69.205
39.560	69.237
39.499	69.268
39.437	69.297
39.373	69.324
39.307	69.349
39.239	69.370
39.168	69.390
39.095	69.406
39.019	69.420
38.941	69.432
38.861	69.442
38.779	69.450
38.696	69.457
38.611	69.462
38.525	69.466
38.438	69.470
38.350	69.472
38.261	69.475
38.172	69.477
38.083	69.480
37.994	69.482
37.905	69.486
37.816	69.490
37.727	69.495
37.640	69.502
37.553	69.510
37.467	69.520
37.382	69.532
37.300	69.546
37.218	69.563
37.139	69.582
37.061	69.604
36.986	69.630
36.913	69.659
36.842	69.690
36.773	69.724
36.706	69.761
36.640	69.799
36.576	69.838
36.513	69.879
36.450	69.920
36.388	69.962
36.327	70.003
36.266	70.045
36.205	70.085
36.144	70.125
36.083	70.163
36.021	70.200
35.959	70.234
35.895	70.266
35.831	70.295
35.765	70.321
35.698	70.343
35.629	70.362
35.559	70.376
35.486	70.386
35.411	70.391
35.334	70.392
35.256	70.388
35.176	70.381
35.095	70.369
35.012	70.354
34.928	70.334
34.843	70.311
34.757	70.285
34.670	70.255
34.583	70.222
34.495	70.186
34.407	70.147
34.318	70.105
34.230	70.061
34.141	70.014
34.053	69.964
33.965	69.912
33.877	69.858
33.790	69.802
33.704	69.745
33.618	69.685
33.534	69.624
33.451	69.561
33.369	69.497
33.288	69.431
33.209	69.365
33.131	69.297
33.056	69.229
32.981	69.160
32.909	69.091
32.838	69.020
32.768	68.950
32.699	68.879
32.632	68.807
32.566	68.736
32.501	68.664
32.437	68.593
32.374	68.522
32.311	68.451
32.250	68.380
32.189	68.310
32.129	68.240
32.069	68.171
32.009	68.103
31.950	68.035
31.892	67.969
31.833	67.904
31.775	67.839
31.716	67.776
31.658	67.715
31.600	67.655
31.541	67.596
31.482	67.539
31.423	67.484
31.363	67.430
31.303	67.379
31.242	67.329
31.181	67.281
31.120	67.234
31.058	67.189
30.996	67.145
30.933	67.102
30.871	67.060
30.808	67.019
30.744	66.979
30.681	66.939
30.618	66.899
30.554	66.860
30.490	66.821
30.426	66.782
30.362	66.743
30.299	66.703
30.235	66.664
30.171	66.623
30.107	66.582
30.044	66.540
29.980	66.497
29.917	66.453
29.854	66.408
29.791	66.362
29.729	66.314
29.666	66.265
29.604	66.215
29.542	66.163
29.480	66.110
29.418	66.056
29.357	66.000
29.295	65.943
29.234	65.884
29.173	65.824
29.112	65.763
29.051	65.699
28.991	65.635
28.930	65.568
28.870	65.501
28.810	65.431
28.750	65.360
28.690	65.287
28.630	65.213
28.570	65.137
28.511	65.059
28.451	64.980
28.392	64.899
28.333	64.816
28.273	64.731
28.214	64.644
28.155	64.556
28.096	64.466
28.038	64.374
27.979	64.281
27.921	64.186
27.863	64.090
27.805	63.993
27.748	63.894
27.691	63.794
27.634	63.693
27.578	63.590
27.523	63.487
27.467	63.383
27.413	63.278
27.359	63.172
27.305	63.066
27.252	62.959
27.200	62.851
27.149	62.743
27.098	62.634
27.048	62.525
26.999	62.415
26.950	62.306
26.903	62.196
26.856	62.086
26.811	61.977
26.766	61.867
26.722	61.757
26.680	61.648
26.638	61.539
26.597	61.430
26.558	61.322
26.520	61.214
26.483	61.107
26.447	61.000
26.413	60.894
26.379	60.789
26.347	60.684
26.317	60.580
26.287	60.477
26.259	60.374
26.232	60.272
26.207	60.171
26.183	60.070
26.160	59.969
26.139	59.869
26.119	59.769
26.101	59.670
26.084	59.572
26.068	59.473
26.054	59.376
26.041	59.278
26.030	59.181
26.020	59.084
26.012	58.987
26.005	58.891
25.999	58.795
25.996	58.700
25.993	58.604
25.993	58.509
25.993	58.413
25.996	58.318
26.000	58.224
26.005	58.129
26.012	58.034
26.021	57.940
26.031	57.845
26.043	57.751
26.056	57.656
26.070	57.562
26.086	57.467
26.103	57.372
26.120	57.278
26.139	57.183
26.158	57.089
26.178	56.994
26.198	56.899
26.219	56.804
26.240	56.709
26.261	56.613
26.282	56.518
26.304	56.422
26.325	56.326
26.346	56.230
26.366	56.134
26.387	56.038
26.406	55.941
26.425	55.844
26.444	55.746
26.461	55.649
26.478	55.551
26.493	55.452
26.507	55.354
26.520	55.255
26.531	55.155
26.541	55.055
26.550	54.955
26.557	54.855
26.562	54.754
26.567	54.654
26.570	54.554
26.573	54.454
26.574	54.354
26.575	54.256
26.576	54.158
26.576	54.060
26.576	53.964
26.575	53.870
26.575	53.776
26.574	53.684
26.574	53.594
26.574	53.506
26.575	53.419
26.576	53.335
26.578	53.253
26.581	53.173
26.585	53.096
26.590	53.021
26.596	52.949
26.604	52.881
26.613	52.815
26.624	52.753
26.636	52.694
26.651	52.638
26.667	52.586
26.684	52.537
26.702	52.491
26.721	52.447
