X,Y
894.000,390.000
894.450,388.775
895.156,387.577
896.102,386.401
897.273,385.242
898.654,384.096
900.230,382.958
901.985,381.823
903.904,380.687
905.972,379.546
908.173,378.394
910.492,377.228
912.914,376.042
915.424,374.833
918.016,373.602
920.685,372.351
923.426,371.081
926.233,369.797
929.101,368.498
932.025,367.188
935.000,365.869
938.021,364.542
941.082,363.211
944.178,361.876
947.305,360.541
950.456,359.207
953.628,357.876
956.814,356.551
960.010,355.234
963.210,353.927
966.409,352.631
969.602,351.350
972.785,350.085
975.951,348.838
979.104,347.610
982.244,346.400
985.375,345.208
988.498,344.035
991.615,342.879
994.731,341.742
997.845,340.622
1000.962,339.520
1004.083,338.435
1007.211,337.368
1010.347,336.318
1013.495,335.286
1016.657,334.270
1019.834,333.272
1023.030,332.290
1026.247,331.326
1029.487,330.378
1032.752,329.447
1036.045,328.532
1039.367,327.633
1042.721,326.751
1046.104,325.884
1049.514,325.032
1052.951,324.194
1056.412,323.370
1059.896,322.559
1063.402,321.761
1066.928,320.975
1070.472,320.200
1074.033,319.436
1077.609,318.683
1081.199,317.939
1084.802,317.204
1088.414,316.478
1092.036,315.759
1095.666,315.048
1099.301,314.344
1102.941,313.646
1106.583,312.954
1110.227,312.266
1113.871,311.584
1117.513,310.905
1121.152,310.229
1124.791,309.556
1128.433,308.884
1132.079,308.214
1135.732,307.544
1139.394,306.873
1143.069,306.202
1146.758,305.528
1150.464,304.851
1154.189,304.171
1157.936,303.486
1161.708,302.797
1165.506,302.102
1169.334,301.400
1173.194,300.691
1177.087,299.973
1181.018,299.247
1184.987,298.512
1188.999,297.766
1193.054,297.009
1197.156,296.240
1201.307,295.458
1205.509,294.663
1209.766,293.854
1214.075,293.031
1218.432,292.195
1222.828,291.348
1227.256,290.492
1231.707,289.628
1236.174,288.759
1240.650,287.885
1245.125,287.009
1249.594,286.132
1254.048,285.257
1258.479,284.384
1262.879,283.516
1267.242,282.654
1271.558,281.801
1275.821,280.957
1280.023,280.124
1284.156,279.305
1288.211,278.500
1292.182,277.713
1296.061,276.943
1299.840,276.194
1303.512,275.467
1307.068,274.763
1310.500,274.084
1313.802,273.433
1316.965,272.810
1319.990,272.217
1322.889,271.654
1325.675,271.122
1328.363,270.619
1330.967,270.146
1333.499,269.704
1335.974,269.292
1338.406,268.910
1340.808,268.559
1343.194,268.238
1345.578,267.948
1347.973,267.688
1350.394,267.458
1352.854,267.259
1355.366,267.091
1357.945,266.954
1360.598,266.846
1363.326,266.765
1366.129,266.709
1369.005,266.675
1371.954,266.661
1374.977,266.663
1378.073,266.679
1381.240,266.707
1384.480,266.744
1387.791,266.788
1391.172,266.835
1394.625,266.884
1398.147,266.931
1401.740,266.974
1405.402,267.010
1409.132,267.038
1412.931,267.053
1416.799,267.054
