X,Y
907.000,435.000
908.606,434.215
910.641,433.693
913.065,433.413
915.839,433.355
918.924,433.499
922.281,433.824
925.870,434.309
929.654,434.935
933.591,435.680
937.644,436.525
941.773,437.448
945.939,438.431
950.103,439.451
954.226,440.488
958.268,441.523
962.191,442.534
965.957,443.502
969.556,444.420
973.006,445.294
976.326,446.128
979.534,446.929
982.650,447.703
985.692,448.456
988.679,449.192
991.628,449.919
994.560,450.641
997.492,451.365
1000.444,452.096
1003.433,452.840
1006.480,453.603
1009.601,454.390
1012.817,455.208
1016.137,456.061
1019.555,456.947
1023.063,457.867
1026.655,458.820
1030.322,459.806
1034.056,460.824
1037.849,461.874
1041.695,462.956
1045.585,464.068
1049.511,465.211
1053.465,466.384
1057.441,467.587
1061.430,468.818
1065.424,470.079
1069.416,471.367
1073.398,472.683
1077.362,474.027
1081.300,475.397
1085.205,476.793
1089.072,478.213
1092.898,479.651
1096.679,481.103
1100.413,482.564
1104.097,484.028
1107.728,485.491
1111.303,486.949
1114.818,488.395
1118.272,489.826
1121.660,491.236
1124.980,492.621
1128.230,493.976
1131.405,495.295
1134.504,496.574
1137.522,497.808
1140.458,498.992
1143.308,500.121
1146.073,501.195
1148.767,502.226
1151.404,503.228
1153.999,504.217
1156.568,505.207
1159.125,506.211
1161.686,507.246
1164.266,508.325
1166.880,509.463
1169.542,510.674
1172.269,511.974
1175.074,513.377
1177.974,514.896
1180.983,516.548
1184.103,518.334
1187.319,520.242
1190.613,522.256
1193.966,524.361
1197.360,526.542
1200.778,528.783
1204.200,531.068
1207.610,533.384
1210.989,535.713
1214.319,538.042
1217.581,540.354
1220.759,542.634
1223.833,544.868
1226.786,547.039
1229.600,549.133
1232.256,551.133
1234.736,553.026
1237.024,554.795
1239.121,556.445
1241.054,557.996
1242.846,559.473
1244.526,560.898
1246.119,562.295
1247.650,563.687
1249.146,565.097
1250.634,566.549
1252.138,568.065
1253.686,569.670
1255.301,571.382
1256.991,573.201
1258.759,575.114
1260.605,577.110
1262.531,579.177
1264.539,581.303
1266.630,583.476
1268.806,585.684
1271.067,587.916
1273.416,590.160
1275.854,592.403
1278.383,594.635
1281.004,596.842
1283.718,599.015
1286.526,601.140
1289.415,603.218
1292.358,605.257
1295.329,607.267
1298.299,609.258
1301.242,611.239
1304.132,613.219
1306.940,615.208
1309.641,617.216
1312.206,619.250
1314.609,621.322
1316.823,623.441
1318.822,625.615
1320.577,627.855
1322.062,630.170
1323.250,632.569
1324.133,635.057
1324.744,637.632
1325.119,640.288
1325.294,643.021
1325.306,645.827
1325.192,648.701
1324.988,651.640
1324.731,654.637
1324.457,657.690
1324.203,660.794
1324.006,663.944
1323.901,667.136
1323.927,670.366
1324.117,673.628
1324.468,676.908
1324.938,680.181
1325.484,683.424
1326.061,686.611
1326.625,689.717
1327.134,692.717
1327.542,695.588
1327.807,698.303
1327.885,700.838
1327.730,703.168
1327.301,705.269
1326.553,707.115
1325.444,708.684
1323.980,709.989
1322.218,711.085
1320.219,712.031
1318.045,712.885
1315.756,713.703
1313.415,714.544
1311.080,715.465
1308.814,716.525
1306.678,717.781
1304.732,719.291
1303.033,721.108
1301.580,723.217
1300.322,725.550
1299.207,728.034
1298.183,730.599
1297.201,733.175
1296.207,735.690
1295.151,738.074
1293.981,740.256
1292.646,742.164
1291.094,743.729
1289.273,744.879
1287.145,745.560
1284.745,745.820
1282.136,745.744
1279.383,745.420
1276.548,744.932
1273.695,744.367
1270.888,743.810
1268.190,743.348
1265.664,743.066
1263.375,743.050
1261.385,743.387
1259.758,744.162
1258.519,745.412
1257.600,747.052
1256.918,748.979
1256.391,751.090
1255.934,753.284
1255.467,755.456
1254.906,757.504
1254.168,759.325
1253.171,760.817
1251.852,761.899
1250.267,762.631
1248.520,763.126
1246.714,763.498
1244.954,763.861
1243.343,764.328
1241.983,765.014
1240.980,766.031
1240.401,767.459
1240.187,769.248
1240.250,771.320
1240.500,773.597
1240.848,775.998
1241.205,778.446
1241.483,780.862
1241.593,783.166
1241.444,785.280
1240.949,787.126
1240.049,788.646
1238.783,789.855
1237.210,790.781
1235.388,791.451
1233.376,791.894
1231.233,792.138
1229.018,792.212
1226.789,792.143
1224.605,791.959
1222.515,791.701
1220.545,791.439
1218.719,791.245
1217.058,791.192
1215.586,791.354
1214.326,791.804
1213.301,792.615
1212.529,793.853
1211.981,795.491
1211.593,797.438
1211.301,799.602
1211.040,801.892
1210.748,804.218
1210.359,806.485
1209.809,808.605
1209.035,810.484
1207.972,812.031
1206.577,813.181
1204.883,813.961
1202.944,814.422
1200.811,814.615
1198.536,814.591
1196.171,814.400
1193.769,814.092
1191.381,813.719
1189.061,813.331
1186.859,812.979
1184.812,812.705
1182.907,812.524
1181.121,812.446
1179.427,812.482
1177.803,812.641
1176.225,812.932
1174.668,813.367
1173.108,813.954
1171.527,814.699
1169.934,815.589
1168.344,816.603
1166.776,817.722
1165.245,818.925
1163.770,820.193
1162.366,821.505
1161.051,822.842
1159.842,824.183
1158.738,825.507
1157.697,826.792
1156.668,828.012
1155.601,829.143
1154.443,830.161
1153.146,831.043
1151.658,831.763
1149.931,832.300
1147.965,832.652
1145.793,832.838
1143.450,832.876
1140.972,832.782
1138.393,832.575
1135.749,832.273
1133.074,831.892
1130.404,831.453
1127.773,830.970
1125.217,830.464
1122.770,829.951
1120.455,829.445
1118.252,828.947
1116.135,828.456
1114.078,827.970
1112.054,827.489
1110.036,827.011
1108.000,826.535
1105.917,826.059
1103.761,825.583
1101.507,825.105
1099.132,824.624
1096.643,824.148
1094.061,823.687
1091.409,823.251
1088.707,822.850
