X	Y
1090.000	668.000
1091.460	667.048
1093.190	666.324
1095.165	665.800
1097.360	665.448
1099.749	665.241
1102.307	665.150
1105.008	665.149
1107.827	665.208
1110.738	665.301
1113.717	665.400
1116.737	665.476
1119.774	665.503
1122.801	665.452
1125.794	665.295
1128.727	665.005
1131.574	664.555
1134.310	663.915
1136.919	663.069
1139.412	662.023
1141.801	660.790
1144.103	659.383
1146.331	657.814
1148.500	656.095
1150.625	654.239
1152.720	652.259
1154.799	650.166
1156.878	647.973
1158.971	645.693
1161.092	643.338
1163.256	640.920
1165.478	638.453
1167.771	635.948
1170.151	633.417
1172.632	630.874
1175.229	628.331
1177.956	625.800
1180.828	623.294
1183.853	620.820
1187.026	618.379
1190.342	615.970
1193.796	613.593
1197.384	611.247
1201.099	608.931
1204.938	606.645
1208.893	604.388
1212.961	602.160
1217.136	599.960
1221.414	597.788
1225.788	595.642
1230.253	593.523
1234.805	591.429
1239.439	589.360
1244.148	587.316
1248.929	585.296
1253.775	583.299
1258.682	581.325
1263.644	579.373
1268.657	577.443
1273.715	575.533
1278.812	573.644
1283.945	571.775
1289.106	569.924
1294.293	568.093
1299.498	566.279
1304.718	564.483
1309.946	562.703
1315.178	560.940
1320.409	559.192
1325.633	557.460
1330.847	555.741
1336.053	554.036
1341.252	552.344
1346.444	550.663
1351.631	548.992
1356.815	547.331
1361.995	545.678
1367.175	544.033
1372.354	542.395
1377.535	540.762
1382.718	539.134
1387.904	537.510
1393.095	535.888
1398.292	534.269
1403.496	532.650
1408.709	531.031
1413.931	529.412
1419.163	527.790
1424.408	526.165
1429.666	524.537
1434.939	522.903
1440.227	521.264
1445.531	519.618
1450.854	517.964
1456.197	516.301
1461.559	514.629
1466.943	512.946
1472.351	511.252
1477.782	509.545
1483.239	507.825
1488.722	506.090
1494.233	504.340
1499.773	502.573
1505.343	500.789
1510.944	498.987
1516.578	497.165
1522.244	495.325
1527.941	493.469
1533.667	491.599
1539.419	489.718
1545.196	487.827
1550.997	485.931
1556.818	484.030
1562.659	482.127
1568.518	480.225
1574.392	478.327
1580.279	476.434
1586.179	474.549
1592.089	472.674
1598.006	470.813
1603.930	468.967
1609.859	467.138
1615.790	465.330
1621.722	463.545
1627.652	461.784
1633.580	460.052
1639.502	458.349
1645.418	456.678
1651.325	455.042
1657.222	453.443
1663.106	451.884
1668.976	450.367
1674.830	448.895
1680.666	447.470
1686.482	446.094
1692.277	444.769
1698.048	443.499
1703.793	442.286
1709.511	441.131
1715.200	440.038
1720.858	439.009
1726.483	438.047
1732.074	437.153
1737.627	436.331
1743.143	435.582
1748.618	434.906
1754.054	434.303
1759.449	433.770
1764.802	433.305
1770.114	432.907
1775.384	432.575
1780.611	432.305
1785.794	432.097
1790.934	431.949
1796.030	431.860
1801.080	431.826
1806.085	431.847
1811.044	431.921
1815.956	432.047
1820.821	432.222
1825.639	432.444
1830.408	432.713
1835.129	433.026
1839.801	433.381
1844.423	433.777
1848.995	434.213
1853.516	434.685
1857.985	435.194
1862.403	435.736
1866.768	436.310
1871.080	436.915
1875.339	437.549
1879.544	438.209
1883.695	438.895
1887.790	439.604
1891.829	440.335
1895.812	441.089
1899.735	441.868
1903.598	442.677
1907.396	443.519
1911.128	444.397
1914.792	445.315
1918.386	446.276
1921.906	447.284
1925.352	448.343
1928.720	449.455
1932.009	450.624
1935.216	451.855
1938.339	453.149
1941.375	454.511
1944.323	455.945
1947.180	457.453
1949.943	459.039
1952.611	460.707
1955.182	462.460
1957.652	464.302
1960.021	466.236
1962.284	468.265
1964.442	470.391
1966.497	472.606
1968.452	474.901
1970.309	477.268
1972.072	479.699
1973.744	482.184
1975.327	484.716
1976.825	487.285
1978.240	489.884
1979.575	492.503
1980.833	495.135
1982.018	497.770
1983.132	500.400
1984.178	503.017
1985.159	505.612
1986.078	508.176
1986.938	510.701
1987.742	513.178
1988.492	515.600
1989.188	517.967
1989.826	520.286
1990.405	522.561
1990.920	524.800
1991.369	527.009
1991.748	529.193
1992.055	531.359
1992.287	533.513
1992.440	535.661
1992.511	537.810
1992.499	539.965
1992.399	542.132
1992.208	544.318
1991.924	546.529
1991.545	548.770
1991.073	551.040
1990.510	553.342
1989.859	555.675
1989.123	558.041
1988.302	560.440
1987.401	562.873
1986.421	565.340
1985.365	567.843
1984.235	570.381
1983.032	572.957
1981.761	575.569
1980.423	578.220
1979.020	580.910
1977.554	583.638
1976.029	586.407
1974.447	589.217
1972.809	592.069
1971.117	594.960
1969.374	597.889
1967.581	600.853
1965.739	603.851
1963.850	606.879
1961.916	609.935
1959.938	613.017
1957.917	616.123
1955.856	619.250
1953.755	622.395
1951.618	625.558
1949.444	628.734
1947.236	631.922
1944.995	635.120
1942.723	638.325
1940.421	641.534
1938.092	644.746
1935.736	647.958
1933.355	651.168
1930.951	654.373
1928.525	657.571
1926.080	660.760
1923.615	663.937
1921.135	667.099
1918.637	670.246
1916.125	673.377
1913.597	676.491
1911.053	679.588
1908.495	682.667
1905.921	685.727
1903.332	688.768
1900.728	691.790
1898.110	694.793
1895.477	697.774
1892.830	700.735
1890.168	703.674
1887.492	706.592
1884.803	709.486
1882.099	712.358
1879.382	715.206
1876.651	718.031
1873.907	720.830
1871.149	723.605
1868.378	726.354
1865.594	729.077
1862.798	731.773
1859.989	734.442
1857.167	737.083
1854.332	739.697
1851.485	742.281
1848.622	744.836
1845.741	747.362
1842.837	749.857
1839.907	752.321
1836.948	754.753
1833.957	757.154
1830.929	759.521
1827.861	761.856
1824.750	764.157
1821.593	766.423
1818.385	768.654
1815.123	770.850
1811.805	773.010
1808.426	775.132
1804.982	777.218
1801.471	779.266
1797.890	781.276
1794.233	783.246
1790.499	785.177
1786.683	787.068
1782.782	788.918
1778.792	790.727
1774.711	792.494
1770.535	794.219
1766.259	795.901
1761.883	797.539
1757.410	799.133
1752.850	800.683
1748.208	802.188
1743.493	803.647
1738.711	805.060
1733.870	806.427
1728.977	807.746
1724.040	809.018
1719.065	810.243
1714.060	811.418
1709.033	812.545
1703.991	813.622
1698.940	814.649
1693.889	815.626
1688.844	816.552
1683.814	817.426
1678.804	818.248
1673.823	819.018
1668.878	819.735
1663.976	820.399
1659.125	821.008
1654.331	821.563
1649.603	822.063
1644.947	822.508
1640.370	822.897
1635.881	823.229
1631.486	823.505
1627.192	823.723
1623.008	823.883
1618.939	823.985
1614.994	824.028
1611.172	824.021
1607.470	823.972
1603.886	823.892
1600.418	823.791
1597.063	823.678
1593.818	823.566
1590.680	823.462
1587.648	823.377
1584.718	823.322
1581.887	823.307
1579.154	823.341
1576.515	823.435
1573.968	823.598
1571.510	823.841
1569.139	824.174
1566.852	824.607
1564.647	825.151
1562.520	825.814
1560.469	826.606
1558.480	827.520
1556.537	828.543
1554.622	829.660
1552.719	830.858
1550.811	832.123
1548.880	833.441
1546.910	834.798
1544.884	836.180
1542.783	837.573
1540.592	838.964
1538.293	840.338
1535.870	841.681
1533.305	842.981
1530.580	844.222
1527.680	845.391
1524.588	846.475
1521.297	847.466
1517.814	848.368
1514.148	849.182
1510.305	849.911
1506.294	850.558
1502.121	851.126
1497.794	851.615
1493.321	852.031
1488.708	852.374
1483.965	852.647
1479.098	852.854
1474.114	852.995
1469.022	853.075
1463.828	853.095
1458.541	853.059
1453.167	852.967
1447.715	852.824
1442.191	852.632
1436.604	852.393
1430.960	852.109
1425.268	851.784
1419.535	851.419
1413.768	851.018
1407.975	850.583
1402.164	850.116
1396.341	849.620
1390.515	849.097
1384.692	848.550
1378.881	847.982
1373.089	847.395
1367.324	846.792
1361.593	846.174
1355.902	845.546
1350.255	844.907
1344.651	844.258
1339.090	843.599
1333.571	842.931
1328.094	842.255
1322.658	841.570
1317.264	840.877
1311.911	840.177
1306.598	839.469
1301.325	838.755
1296.093	838.034
1290.899	837.308
1285.745	836.576
1280.630	835.838
1275.553	835.096
1270.514	834.350
1265.513	833.599
1260.550	832.845
1255.623	832.088
1250.733	831.328
1245.880	830.566
1241.062	829.801
1236.280	829.035
1231.533	828.268
1226.822	827.500
1222.144	826.731
1217.501	825.963
1212.892	825.195
1208.317	824.428
1203.774	823.661
1199.265	822.897
1194.787	822.134
1190.343	821.374
1185.938	820.611
1181.578	819.841
1177.274	819.058
1173.032	818.258
1168.861	817.433
1164.768	816.580
1160.762	815.693
1156.850	814.766
1153.041	813.795
1149.343	812.773
1145.762	811.695
1142.309	810.557
1138.990	809.352
1135.813	808.076
1132.786	806.722
1129.918	805.286
1127.217	803.762
1124.690	802.145
1122.345	800.430
1120.191	798.610
1118.235	796.682
1116.485	794.638
1114.948	792.476
1113.612	790.201
1112.455	787.827
1111.455	785.365
1110.589	782.830
1109.836	780.233
1109.173	777.589
1108.578	774.908
1108.029	772.206
1107.503	769.494
1106.979	766.784
1106.434	764.092
1105.845	761.428
1105.192	758.805
1104.451	756.238
1103.600	753.738
1102.618	751.319
1101.482	748.993
1100.194	746.763
1098.779	744.621
1097.267	742.560
1095.686	740.571
1094.063	738.646
1092.427	736.775
1090.806	734.952
1089.229	733.167
1087.723	731.413
1086.317	729.681
1085.039	727.962
1083.917	726.249
1082.980	724.532
1082.255	722.805
1081.770	721.058
1081.522	719.285
1081.481	717.484
1081.618	715.651
1081.902	713.782
1082.303	711.874
1082.791	709.924
1083.336	707.928
1083.908	705.883
1084.476	703.785
1085.011	701.631
1085.482	699.417
1085.859	697.141
1086.113	694.799
1086.246	692.401
1086.288	689.972
1086.273	687.535
1086.231	685.114
1086.196	682.733
1086.199	680.416
1086.273	678.187
1086.449	676.070
1086.761	674.089
1087.239	672.267
1087.917	670.629
1088.827	669.199
1090.000	668.000
