X	Y
1108.000	774.000
1110.669	772.769
1113.547	771.631
1116.628	770.585
1119.904	769.628
1123.369	768.757
1127.016	767.971
1130.837	767.266
1134.826	766.641
1138.975	766.092
1143.278	765.618
1147.728	765.216
1152.317	764.884
1157.039	764.619
1161.887	764.419
1166.853	764.281
1171.931	764.204
1177.113	764.184
1182.394	764.219
1187.764	764.307
1193.219	764.446
1198.750	764.632
1204.351	764.865
1210.015	765.140
1215.735	765.456
1221.503	765.810
1227.313	766.201
1233.157	766.624
1239.030	767.079
1244.923	767.563
1250.830	768.073
1256.746	768.608
1262.667	769.166
1268.595	769.748
1274.526	770.354
1280.461	770.984
1286.398	771.636
1292.336	772.312
1298.273	773.010
1304.210	773.731
1310.144	774.475
1316.075	775.241
1322.001	776.029
1327.922	776.839
1333.836	777.671
1339.743	778.524
1345.640	779.398
1351.527	780.294
1357.404	781.210
1363.268	782.148
1369.118	783.106
1374.955	784.084
1380.776	785.082
1386.580	786.101
1392.366	787.139
1398.134	788.197
1403.882	789.274
1409.609	790.370
1415.314	791.486
1420.995	792.620
1426.652	793.773
1432.284	794.944
1437.889	796.134
1443.467	797.341
1449.016	798.567
1454.535	799.810
1460.023	801.071
1465.479	802.349
1470.903	803.644
1476.294	804.957
1481.654	806.287
1486.982	807.634
1492.279	808.999
1497.546	810.382
1502.783	811.782
1507.991	813.201
1513.169	814.638
1518.319	816.092
1523.441	817.565
1528.535	819.056
1533.602	820.566
1538.642	822.094
1543.656	823.641
1548.644	825.207
1553.607	826.792
1558.544	828.395
1563.458	830.018
1568.347	831.660
1573.213	833.321
1578.056	835.002
1582.876	836.702
1587.674	838.422
1592.450	840.161
1597.205	841.920
1601.939	843.700
1606.653	845.499
1611.347	847.318
1616.022	849.158
1620.678	851.018
1625.315	852.898
1629.934	854.799
1634.534	856.721
1639.113	858.664
1643.667	860.628
1648.193	862.614
1652.689	864.621
1657.153	866.651
1661.581	868.703
1665.970	870.777
1670.318	872.875
1674.621	874.995
1678.878	877.139
1683.085	879.307
1687.240	881.499
1691.339	883.715
1695.380	885.955
1699.360	888.220
1703.276	890.510
1707.126	892.826
1710.906	895.167
1714.615	897.534
1718.249	899.927
1721.804	902.346
1725.279	904.792
1728.671	907.265
1731.977	909.765
1735.194	912.292
1738.319	914.848
1741.350	917.431
1744.283	920.042
1747.118	922.680
1749.855	925.343
1752.493	928.029
1755.031	930.736
1757.469	933.462
1759.807	936.205
1762.045	938.964
1764.181	941.735
1766.217	944.518
1768.150	947.311
1769.981	950.110
1771.710	952.916
1773.336	955.725
1774.858	958.536
1776.276	961.346
1777.591	964.155
1778.801	966.959
1779.906	969.757
1780.906	972.548
1781.799	975.328
1782.587	978.097
1783.267	980.852
1783.838	983.591
1784.298	986.312
1784.646	989.014
1784.879	991.694
1784.995	994.351
1784.994	996.982
1784.873	999.586
1784.631	1002.160
1784.266	1004.703
1783.776	1007.212
1783.160	1009.686
1782.415	1012.123
1781.541	1014.520
1780.534	1016.876
1779.395	1019.190
1778.124	1021.460
1776.728	1023.688
1775.214	1025.877
1773.586	1028.028
1771.852	1030.144
1770.016	1032.224
1768.086	1034.272
1766.068	1036.290
1763.966	1038.278
1761.788	1040.240
1759.540	1042.176
1757.227	1044.088
1754.856	1045.979
1752.433	1047.849
1749.963	1049.701
1747.453	1051.537
1744.909	1053.358
1742.337	1055.166
1739.739	1056.961
1737.117	1058.744
1734.472	1060.514
1731.805	1062.272
1729.116	1064.017
1726.408	1065.749
1723.680	1067.468
1720.934	1069.173
1718.170	1070.866
1715.391	1072.545
1712.596	1074.210
1709.787	1075.862
1706.964	1077.500
1704.130	1079.124
1701.284	1080.734
1698.428	1082.331
1695.563	1083.913
1692.690	1085.480
1689.810	1087.033
1686.923	1088.572
1684.031	1090.096
1681.132	1091.607
1678.227	1093.105
1675.314	1094.592
1672.393	1096.067
1669.464	1097.532
1666.526	1098.987
1663.579	1100.434
1660.622	1101.873
1657.654	1103.305
1654.676	1104.731
1651.686	1106.151
1648.683	1107.567
1645.669	1108.979
1642.641	1110.388
1639.600	1111.795
1636.544	1113.201
1633.474	1114.606
1630.389	1116.011
1627.288	1117.418
1624.170	1118.826
1621.036	1120.235
1617.883	1121.643
1614.710	1123.046
1611.515	1124.444
1608.298	1125.833
1605.057	1127.210
1601.791	1128.575
1598.497	1129.923
1595.176	1131.254
1591.825	1132.564
1588.444	1133.851
1585.030	1135.113
1581.583	1136.347
1578.101	1137.551
1574.582	1138.723
1571.026	1139.859
1567.431	1140.959
1563.796	1142.020
1560.119	1143.038
1556.399	1144.012
1552.634	1144.940
1548.824	1145.818
1544.967	1146.645
1541.064	1147.421
1537.116	1148.146
1533.127	1148.822
1529.097	1149.447
1525.028	1150.024
1520.923	1150.552
1516.782	1151.033
1512.608	1151.467
1508.403	1151.855
1504.169	1152.197
1499.906	1152.495
1495.618	1152.748
1491.306	1152.957
1486.971	1153.123
1482.617	1153.247
1478.243	1153.328
1473.853	1153.369
1469.448	1153.370
1465.030	1153.330
1460.600	1153.251
1456.162	1153.134
1451.715	1152.979
1447.263	1152.787
1442.807	1152.558
1438.349	1152.293
1433.890	1151.992
1429.433	1151.657
1424.976	1151.286
1420.520	1150.880
1416.064	1150.436
1411.608	1149.956
1407.150	1149.438
1402.690	1148.882
1398.229	1148.286
1393.765	1147.651
1389.298	1146.976
1384.827	1146.260
1380.352	1145.503
1375.872	1144.703
1371.387	1143.861
1366.896	1142.976
1362.399	1142.047
1357.896	1141.074
1353.385	1140.055
1348.866	1138.991
1344.339	1137.881
1339.803	1136.724
1335.258	1135.519
1330.703	1134.266
1326.138	1132.965
1321.562	1131.614
1316.975	1130.214
1312.375	1128.763
1307.764	1127.261
1303.139	1125.707
1298.502	1124.102
1293.857	1122.448
1289.207	1120.749
1284.557	1119.006
1279.910	1117.224
1275.272	1115.404
1270.645	1113.551
1266.034	1111.666
1261.443	1109.753
1256.876	1107.815
1252.338	1105.854
1247.831	1103.874
1243.361	1101.877
1238.932	1099.866
1234.546	1097.845
1230.209	1095.816
1225.925	1093.782
1221.697	1091.746
1217.530	1089.711
1213.428	1087.680
1209.395	1085.655
1205.434	1083.640
1201.551	1081.638
1197.749	1079.652
1194.032	1077.683
1190.404	1075.737
1186.869	1073.814
1183.432	1071.919
1180.096	1070.054
1176.864	1068.221
1173.732	1066.414
1170.693	1064.629
1167.741	1062.858
1164.871	1061.095
1162.075	1059.334
1159.348	1057.569
1156.684	1055.793
1154.077	1054.001
1151.519	1052.186
1149.006	1050.341
1146.530	1048.460
1144.087	1046.538
1141.668	1044.567
1139.270	1042.542
1136.884	1040.457
1134.506	1038.304
1132.128	1036.078
1129.745	1033.773
1127.351	1031.382
1124.939	1028.899
1122.509	1026.322
1120.065	1023.653
1117.613	1020.896
1115.156	1018.052
1112.701	1015.124
1110.253	1012.116
1107.816	1009.029
1105.396	1005.868
1102.998	1002.633
1100.627	999.328
1098.288	995.956
1095.985	992.520
1093.725	989.021
1091.512	985.464
1089.351	981.849
1087.248	978.181
1085.207	974.462
1083.234	970.695
1081.333	966.882
1079.510	963.026
1077.770	959.129
1076.117	955.195
1074.558	951.226
1073.096	947.225
1071.738	943.195
1070.485	939.138
1069.336	935.061
1068.287	930.967
1067.336	926.863
1066.479	922.753
1065.712	918.642
1065.034	914.536
1064.440	910.439
1063.928	906.358
1063.495	902.296
1063.138	898.259
1062.853	894.253
1062.637	890.282
1062.487	886.352
1062.401	882.467
1062.375	878.633
1062.405	874.855
1062.490	871.139
1062.625	867.488
1062.808	863.909
1063.035	860.406
1063.304	856.985
1063.611	853.651
1063.954	850.408
1064.329	847.262
1064.736	844.214
1065.176	841.263
1065.650	838.410
1066.158	835.654
1066.700	832.995
1067.278	830.432
1067.891	827.967
1068.541	825.599
1069.228	823.326
1069.953	821.151
1070.716	819.072
1071.517	817.089
1072.358	815.202
1073.240	813.411
1074.161	811.716
1075.123	810.113
1076.120	808.588
1077.149	807.128
1078.204	805.719
1079.282	804.344
1080.378	802.992
1081.487	801.646
1082.605	800.292
1083.727	798.917
1084.850	797.506
1085.967	796.044
1087.079	794.521
1088.197	792.944
1089.338	791.324
1090.517	789.673
1091.752	788.002
1093.057	786.324
1094.450	784.649
1095.946	782.990
1097.562	781.357
1099.313	779.763
1101.217	778.218
1103.288	776.735
1105.544	775.325
1108.000	774.000
