X,Y
70.880,114.667
70.963,114.582
71.084,114.506
71.239,114.436
71.422,114.370
71.627,114.305
71.849,114.238
72.083,114.166
72.324,114.088
72.566,113.999
72.803,113.899
73.034,113.786
73.259,113.661
73.478,113.528
73.692,113.386
73.902,113.239
74.108,113.087
74.310,112.933
74.511,112.778
74.709,112.624
74.906,112.472
75.102,112.325
75.298,112.184
75.494,112.050
75.691,111.921
75.887,111.797
76.085,111.679
76.283,111.565
76.481,111.455
76.681,111.348
76.882,111.245
77.084,111.145
77.287,111.047
77.492,110.951
77.697,110.856
77.903,110.762
78.108,110.668
78.313,110.574
78.517,110.480
78.719,110.384
78.918,110.286
79.114,110.187
79.307,110.084
79.496,109.978
79.681,109.870
79.863,109.762
80.043,109.657
80.221,109.556
80.399,109.462
80.577,109.377
80.756,109.304
80.936,109.244
81.119,109.200
81.305,109.173
81.492,109.161
81.681,109.163
81.869,109.177
82.055,109.200
82.239,109.230
82.420,109.267
82.596,109.307
82.766,109.349
82.930,109.394
83.089,109.443
83.244,109.497
83.395,109.558
83.541,109.629
83.685,109.710
83.827,109.803
83.965,109.910
84.096,110.028
84.213,110.155
84.310,110.287
84.380,110.422
84.417,110.557
84.416,110.688
84.370,110.814
84.287,110.935
84.175,111.052
84.044,111.166
83.904,111.279
83.763,111.393
83.632,111.509
83.520,111.629
83.431,111.752
83.362,111.881
83.310,112.014
83.271,112.154
83.242,112.300
83.218,112.453
83.196,112.613
83.174,112.779
83.149,112.950
83.120,113.123
83.086,113.296
83.044,113.468
82.993,113.636
82.932,113.799
82.858,113.953
82.773,114.100
82.680,114.240
82.583,114.377
82.485,114.512
82.390,114.648
82.302,114.787
82.224,114.931
82.160,115.083
82.109,115.241
82.068,115.406
82.032,115.574
81.998,115.744
81.963,115.915
81.923,116.085
81.874,116.252
81.813,116.415
81.738,116.573
81.652,116.724
81.554,116.869
81.446,117.006
81.328,117.135
81.201,117.254
81.067,117.364
80.925,117.463
80.777,117.551
80.623,117.628
80.464,117.696
80.301,117.754
80.133,117.803
79.962,117.843
79.789,117.876
79.613,117.900
79.435,117.918
79.255,117.929
79.072,117.937
78.887,117.940
78.697,117.941
78.505,117.941
78.308,117.941
78.107,117.942
77.901,117.945
77.693,117.949
77.482,117.953
77.270,117.957
77.058,117.959
76.848,117.958
76.641,117.953
76.438,117.943
76.240,117.928
76.049,117.906
75.865,117.876
75.687,117.841
75.514,117.800
75.345,117.756
75.178,117.709
75.013,117.661
74.849,117.612
74.684,117.564
74.519,117.518
74.353,117.473
74.188,117.432
74.026,117.393
73.867,117.356
73.713,117.324
73.566,117.294
73.425,117.269
73.291,117.248
73.161,117.232
73.033,117.221
72.905,117.217
72.774,117.219
72.639,117.228
72.498,117.243
72.356,117.258
72.217,117.268
72.086,117.267
71.966,117.250
71.861,117.212
71.772,117.152
71.693,117.078
71.619,116.999
71.543,116.925
71.458,116.863
71.363,116.818
71.263,116.780
71.165,116.740
71.073,116.689
70.995,116.618
70.933,116.525
70.888,116.415
70.860,116.297
70.848,116.177
70.853,116.062
70.873,115.959
70.902,115.863
70.933,115.773
70.958,115.684
70.973,115.593
70.973,115.499
70.962,115.401
70.941,115.299
70.912,115.194
70.878,115.084
70.848,114.974
70.832,114.865
70.839,114.762
70.880,114.667
