X,Y
71.261,116.233
71.379,116.162
71.522,116.109
71.685,116.070
71.865,116.042
72.057,116.021
72.256,116.003
72.458,115.985
72.661,115.967
72.865,115.947
73.070,115.929
73.274,115.910
73.479,115.894
73.682,115.879
73.885,115.867
74.086,115.857
74.287,115.851
74.488,115.846
74.690,115.841
74.893,115.838
75.099,115.833
75.308,115.828
75.521,115.820
75.737,115.811
75.957,115.803
76.178,115.798
76.399,115.799
76.619,115.807
76.837,115.825
77.052,115.856
77.262,115.901
77.466,115.962
77.665,116.037
77.857,116.124
78.043,116.221
78.223,116.325
78.395,116.435
78.560,116.548
78.718,116.664
78.868,116.780
79.010,116.901
79.144,117.026
79.270,117.158
79.389,117.299
79.499,117.449
79.602,117.612
79.696,117.786
79.781,117.968
79.856,118.157
79.919,118.351
79.971,118.546
80.011,118.741
80.037,118.934
80.050,119.123
80.051,119.310
80.043,119.495
80.028,119.681
80.008,119.867
79.985,120.056
79.960,120.249
79.935,120.446
79.909,120.647
79.879,120.850
79.845,121.055
79.803,121.260
79.753,121.464
79.693,121.667
79.621,121.868
79.537,122.065
79.442,122.258
79.338,122.446
79.225,122.630
79.105,122.807
78.978,122.978
78.846,123.142
78.710,123.298
78.571,123.447
78.429,123.589
78.285,123.727
78.140,123.860
77.994,123.989
77.849,124.117
77.704,124.243
77.561,124.368
77.418,124.490
77.275,124.606
77.131,124.716
76.987,124.816
76.841,124.904
76.693,124.979
76.543,125.039
76.390,125.081
76.234,125.103
76.076,125.103
75.916,125.078
75.753,125.028
75.589,124.956
75.429,124.865
75.277,124.763
75.135,124.654
75.007,124.543
74.897,124.437
74.806,124.337
74.729,124.240
74.660,124.139
74.594,124.031
74.525,123.910
74.451,123.776
74.371,123.635
74.286,123.489
74.195,123.345
74.100,123.206
73.999,123.077
73.894,122.960
73.785,122.850
73.675,122.744
73.565,122.637
73.456,122.526
73.350,122.407
73.248,122.279
73.148,122.147
73.050,122.012
72.953,121.877
72.858,121.746
72.763,121.620
72.669,121.500
72.574,121.382
72.479,121.262
72.383,121.136
72.286,121.001
72.187,120.853
72.088,120.693
71.988,120.526
71.889,120.356
71.790,120.186
71.693,120.022
71.599,119.867
71.507,119.725
71.419,119.597
71.335,119.481
71.255,119.372
71.179,119.270
71.107,119.172
71.038,119.075
70.970,118.980
70.898,118.884
70.819,118.788
70.732,118.690
70.642,118.589
70.561,118.486
70.497,118.378
70.461,118.265
70.458,118.147
70.482,118.025
70.526,117.903
70.583,117.781
70.644,117.663
70.706,117.549
70.765,117.437
70.819,117.328
70.866,117.220
70.905,117.112
70.936,117.003
70.964,116.893
70.990,116.779
71.019,116.662
71.055,116.543
71.104,116.428
71.171,116.323
71.261,116.233
