X	Y
314.000	200.500
314.468	199.874
315.164	199.229
316.068	198.565
317.158	197.883
318.413	197.183
319.812	196.465
321.333	195.730
322.955	194.978
324.657	194.210
326.418	193.426
328.216	192.627
330.033	191.812
331.864	190.983
333.711	190.142
335.577	189.289
337.463	188.425
339.371	187.551
341.303	186.670
343.262	185.781
345.248	184.886
347.264	183.987
349.312	183.084
351.394	182.179
353.512	181.272
355.668	180.365
357.863	179.459
360.099	178.556
362.379	177.655
364.702	176.759
367.065	175.865
369.463	174.974
371.892	174.084
374.349	173.195
376.830	172.306
379.331	171.417
381.847	170.526
384.376	169.632
386.913	168.736
389.454	167.836
391.996	166.931
394.534	166.021
397.065	165.105
399.585	164.183
402.090	163.253
404.576	162.314
407.038	161.367
409.474	160.410
411.880	159.442
414.252	158.472
416.591	157.511
418.894	156.572
421.161	155.668
423.391	154.811
425.583	154.016
427.734	153.294
429.846	152.658
431.916	152.121
433.942	151.696
435.926	151.396
437.864	151.233
439.756	151.221
441.601	151.372
443.397	151.699
445.145	152.215
446.840	152.921
448.477	153.808
450.050	154.861
451.553	156.068
452.981	157.416
454.327	158.894
455.586	160.487
456.753	162.184
457.820	163.971
458.782	165.837
459.633	167.768
460.368	169.752
460.981	171.776
461.465	173.828
461.818	175.894
462.042	177.967
462.145	180.038
462.134	182.099
462.017	184.142
461.800	186.159
461.491	188.142
461.096	190.082
460.623	191.972
460.079	193.804
459.471	195.568
458.806	197.258
458.092	198.866
457.335	200.382
456.541	201.800
455.708	203.119
454.823	204.345
453.874	205.484
452.847	206.542
451.731	207.526
450.513	208.441
449.182	209.293
447.723	210.089
446.125	210.835
444.376	211.536
442.463	212.199
440.374	212.829
438.109	213.432
435.682	214.007
433.104	214.557
430.387	215.085
427.545	215.591
424.589	216.077
421.532	216.546
418.387	216.998
415.166	217.437
411.882	217.862
408.547	218.277
405.173	218.683
401.773	219.082
398.359	219.475
394.944	219.865
391.541	220.253
388.161	220.640
384.818	221.029
381.524	221.422
378.290	221.820
375.131	222.224
372.057	222.637
369.083	223.061
366.214	223.495
363.449	223.935
360.782	224.375
358.206	224.810
355.717	225.234
353.308	225.642
350.975	226.029
348.712	226.389
346.512	226.716
344.372	227.005
342.285	227.250
340.245	227.447
338.247	227.589
336.286	227.672
334.356	227.689
332.451	227.636
330.566	227.506
328.700	227.296
326.864	227.007
325.079	226.643
323.361	226.206
321.729	225.699
320.201	225.127
318.795	224.491
317.529	223.796
316.421	223.044
315.489	222.238
314.752	221.382
314.225	220.478
313.897	219.536
313.730	218.566
313.688	217.581
313.733	216.591
313.829	215.610
313.937	214.648
314.021	213.717
314.062	212.822
314.069	211.955
314.055	211.108
314.030	210.273
314.007	209.440
313.999	208.602
314.015	207.753
314.045	206.898
314.076	206.052
314.093	205.225
314.080	204.431
314.023	203.680
313.913	202.984
313.790	202.334
313.720	201.715
313.768	201.109
314.000	200.500
