X	Y
317.667	207.000
319.032	206.395
320.610	205.944
322.388	205.637
324.355	205.461
326.500	205.406
328.811	205.461
331.278	205.613
333.889	205.851
336.633	206.165
339.498	206.541
342.472	206.971
345.546	207.440
348.707	207.939
351.944	208.457
355.245	208.980
358.600	209.499
361.997	210.002
365.425	210.476
368.872	210.912
372.328	211.298
375.780	211.621
379.218	211.874
382.633	212.061
386.017	212.193
389.363	212.282
392.662	212.340
395.908	212.376
399.091	212.404
402.204	212.432
405.240	212.474
408.191	212.541
411.048	212.642
413.804	212.791
416.451	212.997
418.981	213.272
421.387	213.628
423.660	214.076
425.793	214.626
427.778	215.291
429.608	216.081
431.273	217.007
432.767	218.082
434.086	219.309
435.239	220.676
436.237	222.164
437.093	223.755
437.817	225.432
438.422	227.176
438.920	228.970
439.322	230.796
439.640	232.636
439.886	234.472
440.071	236.287
440.207	238.061
440.307	239.779
440.379	241.422
440.426	242.990
440.437	244.492
440.407	245.938
440.327	247.337
440.190	248.697
439.987	250.028
439.712	251.340
439.356	252.642
438.911	253.942
438.370	255.251
437.727	256.575
436.980	257.911
436.131	259.251
435.179	260.590
434.125	261.920
432.971	263.234
431.717	264.527
430.363	265.790
428.911	267.018
427.360	268.202
425.712	269.338
423.968	270.417
422.128	271.434
420.192	272.381
418.167	273.257
416.061	274.067
413.886	274.818
411.652	275.514
409.370	276.162
407.049	276.767
404.702	277.335
402.337	277.872
399.965	278.383
397.598	278.874
395.246	279.352
392.918	279.820
390.626	280.287
388.380	280.756
386.191	281.234
384.068	281.726
382.024	282.239
380.065	282.776
378.187	283.324
376.380	283.868
374.632	284.390
372.933	284.870
371.271	285.294
369.636	285.641
368.017	285.896
366.404	286.039
364.784	286.055
363.149	285.924
361.486	285.631
359.784	285.156
358.035	284.484
356.240	283.622
354.405	282.585
352.538	281.389
350.647	280.051
348.738	278.587
346.818	277.014
344.895	275.347
342.976	273.604
341.069	271.800
339.180	269.952
337.317	268.076
335.486	266.188
333.696	264.305
331.953	262.443
330.265	260.619
328.638	258.849
327.080	257.148
325.599	255.534
324.196	254.007
322.868	252.556
321.615	251.170
320.434	249.835
319.321	248.540
318.275	247.272
317.293	246.019
316.373	244.769
315.512	243.510
314.708	242.229
313.959	240.915
313.262	239.555
312.616	238.137
312.020	236.667
311.480	235.161
310.999	233.636
310.581	232.107
310.230	230.593
309.950	229.110
309.745	227.674
309.619	226.302
309.576	225.011
309.620	223.818
309.753	222.739
309.969	221.763
310.252	220.862
310.585	220.006
310.951	219.165
311.334	218.309
311.717	217.407
312.083	216.431
312.430	215.367
312.782	214.241
313.166	213.080
313.608	211.914
314.138	210.770
314.781	209.679
315.565	208.667
316.518	207.765
317.667	207.000
