X	Y
25.389	11.950
25.441	11.886
25.507	11.821
25.587	11.757
25.681	11.693
25.786	11.629
25.903	11.565
26.030	11.501
26.167	11.437
26.312	11.374
26.464	11.310
26.624	11.246
26.789	11.183
26.959	11.119
27.133	11.056
27.310	10.992
27.489	10.929
27.669	10.865
27.849	10.801
28.029	10.738
28.208	10.674
28.383	10.610
28.556	10.546
28.725	10.482
28.891	10.418
29.054	10.353
29.214	10.288
29.371	10.223
29.526	10.158
29.678	10.092
29.827	10.026
29.975	9.959
30.120	9.892
30.264	9.825
30.406	9.757
30.546	9.688
30.685	9.619
30.822	9.549
30.958	9.479
31.094	9.408
31.228	9.336
31.362	9.263
31.495	9.189
31.627	9.115
31.759	9.040
31.892	8.964
32.024	8.887
32.156	8.809
32.288	8.731
32.420	8.651
32.553	8.571
32.686	8.491
32.820	8.410
32.954	8.328
33.090	8.246
33.226	8.163
33.363	8.079
33.501	7.995
33.641	7.911
33.782	7.826
33.924	7.741
34.068	7.656
34.213	7.570
34.360	7.484
34.509	7.397
34.661	7.311
34.814	7.224
34.968	7.137
35.125	7.051
35.283	6.964
35.442	6.878
35.602	6.792
35.764	6.706
35.926	6.621
36.089	6.536
36.252	6.452
36.415	6.369
36.579	6.287
36.742	6.206
36.905	6.126
37.068	6.047
37.230	5.969
37.391	5.893
37.551	5.819
37.710	5.745
37.868	5.674
38.024	5.604
38.179	5.537
38.332	5.471
38.483	5.407
38.631	5.345
38.778	5.286
38.923	5.229
39.065	5.174
39.207	5.122
39.346	5.072
39.483	5.025
39.620	4.980
39.754	4.938
39.887	4.898
40.019	4.862
40.150	4.828
40.279	4.797
40.407	4.769
40.534	4.745
40.660	4.723
40.786	4.704
40.910	4.689
41.034	4.677
41.157	4.668
41.279	4.663
41.400	4.660
41.521	4.661
41.640	4.664
41.758	4.670
41.874	4.678
41.990	4.689
42.103	4.701
42.216	4.717
42.326	4.734
42.435	4.752
42.541	4.773
42.646	4.795
42.749	4.819
42.849	4.844
42.947	4.870
43.042	4.899
43.133	4.931
43.220	4.966
43.303	5.005
43.381	5.048
43.454	5.095
43.520	5.148
43.581	5.207
43.634	5.272
43.681	5.343
43.719	5.422
43.751	5.508
43.775	5.600
43.793	5.697
43.805	5.800
43.811	5.908
43.812	6.019
43.808	6.134
43.800	6.252
43.788	6.372
43.773	6.493
43.755	6.616
43.734	6.740
43.711	6.864
43.687	6.987
43.661	7.109
43.634	7.230
43.606	7.351
43.577	7.470
43.548	7.589
43.517	7.708
43.485	7.826
43.453	7.944
43.420	8.062
43.387	8.179
43.353	8.297
43.319	8.415
43.284	8.534
43.249	8.653
43.214	8.772
43.178	8.893
43.143	9.014
43.107	9.135
43.071	9.258
43.034	9.381
42.996	9.505
42.957	9.629
42.917	9.754
42.875	9.879
42.832	10.004
42.786	10.130
42.738	10.255
42.688	10.380
42.634	10.505
42.578	10.630
42.519	10.754
42.456	10.878
42.389	11.001
42.318	11.124
42.243	11.246
42.164	11.367
42.081	11.487
41.994	11.606
41.903	11.725
41.810	11.843
41.713	11.960
41.613	12.076
41.511	12.192
41.407	12.307
41.301	12.422
41.193	12.536
41.084	12.649
40.973	12.761
40.862	12.874
40.750	12.985
40.637	13.096
40.524	13.207
40.412	13.317
40.299	13.426
40.188	13.535
40.077	13.644
39.967	13.752
39.858	13.859
39.749	13.966
39.641	14.071
39.533	14.175
39.425	14.277
39.317	14.377
39.209	14.476
39.100	14.572
38.991	14.665
38.881	14.756
38.771	14.845
38.659	14.930
38.547	15.011
38.433	15.089
38.317	15.164
38.200	15.234
38.081	15.301
37.960	15.363
37.838	15.420
37.713	15.473
37.586	15.522
37.457	15.567
37.325	15.609
37.192	15.646
37.057	15.680
36.919	15.711
36.779	15.739
36.637	15.763
36.492	15.785
36.346	15.805
36.197	15.822
36.046	15.837
35.893	15.849
35.737	15.860
35.579	15.869
35.418	15.877
35.256	15.883
35.090	15.889
34.923	15.893
34.754	15.896
34.582	15.897
34.409	15.898
34.234	15.897
34.057	15.895
33.879	15.891
33.701	15.886
33.521	15.879
33.340	15.871
33.158	15.860
32.976	15.849
32.794	15.835
32.612	15.820
32.429	15.802
32.247	15.783
32.065	15.762
31.883	15.738
31.703	15.713
31.523	15.685
31.343	15.655
31.165	15.623
30.989	15.588
30.814	15.551
30.640	15.512
30.468	15.471
30.297	15.427
30.127	15.382
29.959	15.335
29.792	15.287
29.627	15.238
29.462	15.188
29.299	15.138
29.137	15.087
28.975	15.035
28.815	14.984
28.655	14.933
28.497	14.882
28.339	14.832
28.182	14.783
28.026	14.735
27.870	14.688
27.715	14.642
27.560	14.598
27.406	14.557
27.252	14.517
27.099	14.479
26.947	14.444
26.796	14.410
26.647	14.377
26.503	14.344
26.362	14.311
26.226	14.278
26.095	14.243
25.972	14.206
25.855	14.167
25.747	14.125
25.647	14.080
25.558	14.030
25.478	13.976
25.411	13.917
25.355	13.852
25.312	13.781
25.282	13.704
25.264	13.621
25.256	13.533
25.256	13.441
25.263	13.346
25.275	13.250
25.289	13.152
25.306	13.054
25.322	12.957
25.337	12.861
25.348	12.767
25.354	12.677
25.353	12.592
25.347	12.510
25.338	12.432
25.328	12.357
25.321	12.284
25.317	12.215
25.319	12.147
25.331	12.080
25.353	12.015
25.389	11.950
