X	Y
25.319	13.759
25.390	13.714
25.480	13.682
25.587	13.663
25.709	13.656
25.846	13.660
25.996	13.674
26.158	13.697
26.331	13.729
26.514	13.769
26.706	13.816
26.905	13.869
27.110	13.927
27.321	13.990
27.535	14.057
27.752	14.128
27.971	14.200
28.190	14.274
28.409	14.349
28.626	14.423
28.839	14.497
29.050	14.570
29.257	14.642
29.461	14.714
29.662	14.784
29.859	14.855
30.053	14.924
30.243	14.994
30.430	15.063
30.613	15.132
30.792	15.201
30.968	15.270
31.140	15.339
31.308	15.408
31.472	15.477
31.632	15.547
31.788	15.617
31.940	15.688
32.088	15.759
32.232	15.831
32.372	15.903
32.507	15.977
32.639	16.051
32.766	16.126
32.889	16.203
33.008	16.281
33.123	16.360
33.234	16.440
33.341	16.522
33.444	16.606
33.543	16.691
33.638	16.778
33.729	16.867
33.817	16.958
33.900	17.051
33.980	17.146
34.057	17.243
34.130	17.342
34.199	17.443
34.266	17.545
34.329	17.648
34.390	17.752
34.448	17.856
34.503	17.961
34.557	18.066
34.608	18.171
34.657	18.275
34.704	18.379
34.750	18.482
34.794	18.584
34.836	18.687
34.876	18.789
34.914	18.892
34.950	18.995
34.983	19.100
35.013	19.206
35.040	19.314
35.064	19.425
35.085	19.538
35.102	19.654
35.116	19.774
35.126	19.896
35.133	20.022
35.136	20.150
35.136	20.280
35.133	20.413
35.127	20.546
35.118	20.681
35.107	20.817
35.092	20.954
35.075	21.091
35.056	21.227
35.034	21.364
35.010	21.499
34.985	21.634
34.956	21.767
34.926	21.899
34.892	22.030
34.856	22.159
34.816	22.286
34.773	22.412
34.725	22.535
34.674	22.656
34.618	22.775
34.557	22.892
34.491	23.007
34.420	23.118
34.343	23.228
34.260	23.334
34.172	23.437
34.078	23.538
33.980	23.635
33.879	23.728
33.774	23.817
33.668	23.903
33.560	23.984
33.451	24.061
33.343	24.133
33.235	24.201
33.129	24.263
33.025	24.320
32.925	24.371
32.828	24.417
32.734	24.457
32.643	24.490
32.554	24.518
32.464	24.540
32.373	24.556
32.279	24.565
32.182	24.569
32.080	24.566
31.972	24.556
31.856	24.540
31.732	24.518
31.600	24.489
31.461	24.454
31.315	24.412
31.163	24.364
31.006	24.309
30.845	24.247
30.680	24.179
30.513	24.105
30.343	24.023
30.172	23.936
30.001	23.841
29.829	23.740
29.659	23.632
29.490	23.518
29.323	23.396
29.160	23.269
29.000	23.134
28.846	22.993
28.696	22.845
28.552	22.690
28.413	22.530
28.279	22.365
28.150	22.196
28.025	22.023
27.904	21.846
27.788	21.667
27.675	21.486
27.565	21.303
27.459	21.120
27.356	20.937
27.255	20.755
27.157	20.573
27.061	20.394
26.967	20.216
26.874	20.042
26.784	19.872
26.694	19.706
26.605	19.544
26.517	19.389
26.430	19.239
26.342	19.096
26.255	18.960
26.169	18.829
26.084	18.704
26.000	18.585
25.918	18.469
25.838	18.358
25.760	18.250
25.684	18.146
25.612	18.044
25.542	17.944
25.476	17.846
25.414	17.749
25.356	17.653
25.302	17.557
25.252	17.461
25.207	17.365
25.167	17.267
25.131	17.169
25.099	17.070
25.072	16.969
25.049	16.866
25.030	16.760
25.016	16.653
25.006	16.542
25.000	16.429
24.998	16.313
25.000	16.194
25.005	16.073
25.014	15.953
25.025	15.832
25.038	15.713
25.053	15.597
25.069	15.484
25.086	15.375
25.103	15.272
25.121	15.174
25.138	15.085
25.155	15.003
25.170	14.928
25.184	14.857
25.196	14.790
25.205	14.722
25.211	14.654
25.214	14.581
25.212	14.504
25.207	14.419
25.200	14.329
25.193	14.237
25.190	14.144
25.193	14.053
25.205	13.967
25.228	13.887
25.265	13.817
25.319	13.759
