X	Y
67.739	143.255
67.788	143.230
67.848	143.208
67.919	143.189
67.999	143.172
68.085	143.158
68.177	143.145
68.273	143.135
68.372	143.127
68.470	143.121
68.568	143.115
68.663	143.112
68.754	143.109
68.839	143.108
68.916	143.107
68.985	143.107
69.042	143.107
69.088	143.107
69.121	143.108
69.147	143.108
69.169	143.109
69.190	143.108
69.216	143.107
69.249	143.106
69.290	143.103
69.338	143.100
69.394	143.096
69.455	143.092
69.523	143.087
69.597	143.081
69.675	143.076
69.759	143.070
69.846	143.064
69.936	143.059
70.030	143.053
70.127	143.047
70.226	143.042
70.326	143.037
70.427	143.032
70.529	143.028
70.632	143.024
70.736	143.021
70.840	143.019
70.944	143.017
71.048	143.016
71.153	143.015
71.257	143.016
71.362	143.017
71.466	143.019
71.570	143.022
71.673	143.026
71.776	143.031
71.879	143.036
71.981	143.043
72.082	143.051
72.181	143.061
72.280	143.071
72.378	143.083
72.475	143.096
72.570	143.110
72.664	143.125
72.756	143.142
72.847	143.160
72.937	143.180
73.026	143.201
73.114	143.223
73.201	143.246
73.287	143.270
73.373	143.296
73.457	143.323
73.541	143.351
73.625	143.380
73.708	143.410
73.790	143.441
73.873	143.473
73.955	143.507
74.037	143.541
74.118	143.576
74.200	143.613
74.282	143.650
74.364	143.688
74.446	143.727
74.527	143.767
74.608	143.807
74.689	143.847
74.770	143.888
74.850	143.930
74.930	143.972
75.009	144.013
75.088	144.055
75.166	144.097
75.244	144.139
75.320	144.181
75.396	144.222
75.471	144.263
75.545	144.304
75.618	144.344
75.690	144.384
75.760	144.424
75.829	144.464
75.896	144.504
75.960	144.544
76.022	144.586
76.082	144.628
76.138	144.672
76.191	144.717
76.240	144.764
76.285	144.813
76.327	144.865
76.363	144.919
76.395	144.975
76.422	145.035
76.444	145.098
76.461	145.163
76.473	145.229
76.479	145.296
76.481	145.364
76.477	145.431
76.468	145.497
76.453	145.562
76.434	145.625
76.409	145.685
76.379	145.742
76.344	145.794
76.304	145.843
76.258	145.887
76.208	145.927
76.154	145.964
76.097	145.998
76.036	146.029
75.972	146.059
75.907	146.088
75.840	146.116
75.771	146.144
75.702	146.173
75.632	146.202
75.563	146.233
75.494	146.266
75.426	146.301
75.360	146.339
75.295	146.380
75.232	146.423
75.170	146.467
75.110	146.514
75.052	146.562
74.996	146.611
74.941	146.661
74.888	146.712
74.837	146.763
74.788	146.814
74.742	146.865
74.697	146.915
74.654	146.964
74.614	147.013
74.575	147.060
74.538	147.105
74.502	147.149
74.465	147.190
74.428	147.229
74.389	147.266
74.348	147.300
74.304	147.330
74.257	147.358
74.205	147.382
74.149	147.402
74.087	147.419
74.020	147.432
73.949	147.442
73.874	147.449
73.796	147.454
73.715	147.458
73.632	147.461
73.548	147.462
73.463	147.464
73.378	147.466
73.294	147.469
73.210	147.473
73.129	147.479
73.049	147.487
72.973	147.498
72.900	147.511
72.831	147.529
72.767	147.550
72.706	147.574
72.648	147.602
72.594	147.632
72.543	147.664
72.494	147.699
72.448	147.736
72.404	147.774
72.361	147.814
72.321	147.854
72.281	147.896
72.243	147.938
72.205	147.981
72.167	148.023
72.129	148.065
72.090	148.107
72.051	148.148
72.010	148.187
71.967	148.225
71.921	148.261
71.873	148.294
71.821	148.325
71.766	148.354
71.707	148.379
71.644	148.401
71.576	148.420
71.505	148.436
71.431	148.449
71.353	148.458
71.272	148.465
71.189	148.469
71.103	148.470
71.014	148.469
70.924	148.465
70.831	148.458
70.738	148.448
70.642	148.436
70.546	148.422
70.448	148.405
70.350	148.386
70.252	148.365
70.153	148.342
70.054	148.316
69.955	148.288
69.857	148.258
69.759	148.226
69.662	148.192
69.566	148.156
69.471	148.119
69.378	148.079
69.285	148.037
69.195	147.993
69.106	147.948
69.019	147.900
68.935	147.851
68.853	147.800
68.773	147.747
68.697	147.693
68.623	147.637
68.553	147.579
68.486	147.520
68.422	147.459
68.362	147.397
68.306	147.333
68.253	147.268
68.203	147.202
68.158	147.134
68.115	147.066
68.076	146.996
68.041	146.926
68.009	146.855
67.980	146.783
67.955	146.711
67.934	146.638
67.915	146.565
67.900	146.492
67.889	146.418
67.881	146.344
67.876	146.270
67.873	146.196
67.872	146.122
67.874	146.048
67.876	145.974
67.880	145.899
67.884	145.825
67.888	145.750
67.892	145.675
67.895	145.600
67.897	145.525
67.897	145.450
67.895	145.374
67.891	145.299
67.884	145.223
67.873	145.147
67.861	145.072
67.846	144.997
67.830	144.922
67.812	144.848
67.794	144.776
67.775	144.704
67.756	144.634
67.737	144.566
67.719	144.500
67.703	144.437
67.688	144.375
67.676	144.317
67.666	144.261
67.658	144.208
67.654	144.158
67.652	144.111
67.651	144.066
67.652	144.022
67.654	143.980
67.657	143.939
67.661	143.899
67.664	143.858
67.667	143.818
67.669	143.778
67.671	143.737
67.672	143.697
67.672	143.657
67.671	143.616
67.670	143.576
67.667	143.536
67.663	143.497
67.659	143.458
67.656	143.420
67.658	143.383
67.665	143.348
67.679	143.314
67.703	143.283
67.739	143.255
