X,Y
64.589,139.071
64.621,139.050
64.661,139.031
64.709,139.017
64.764,139.005
64.826,138.997
64.893,138.991
64.966,138.988
65.044,138.987
65.125,138.988
65.210,138.991
65.297,138.996
65.387,139.002
65.477,139.010
65.568,139.018
65.660,139.028
65.750,139.038
65.839,139.048
65.928,139.059
66.015,139.070
66.101,139.082
66.186,139.093
66.271,139.105
66.354,139.117
66.437,139.130
66.520,139.142
66.601,139.154
66.682,139.167
66.763,139.179
66.844,139.191
66.924,139.203
67.004,139.215
67.083,139.227
67.163,139.238
67.242,139.249
67.322,139.260
67.402,139.270
67.481,139.280
67.562,139.291
67.642,139.301
67.723,139.311
67.804,139.322
67.886,139.333
67.969,139.344
68.052,139.356
68.136,139.369
68.221,139.383
68.307,139.397
68.394,139.412
68.482,139.428
68.571,139.446
68.661,139.464
68.753,139.484
68.846,139.506
68.940,139.529
69.036,139.553
69.132,139.579
69.229,139.606
69.327,139.634
69.424,139.663
69.521,139.692
69.618,139.723
69.714,139.754
69.809,139.786
69.903,139.818
69.995,139.851
70.086,139.884
70.175,139.917
70.261,139.950
70.345,139.983
70.426,140.016
70.504,140.048
70.579,140.080
70.650,140.112
70.717,140.143
70.781,140.173
70.840,140.204
70.897,140.234
70.950,140.264
71.000,140.294
71.048,140.325
71.092,140.357
71.135,140.390
71.175,140.423
71.213,140.458
71.249,140.495
71.283,140.533
71.316,140.573
71.347,140.615
71.377,140.658
71.404,140.703
71.429,140.750
71.451,140.797
71.471,140.846
71.487,140.897
71.500,140.948
71.510,140.999
71.517,141.052
71.519,141.105
71.517,141.159
71.512,141.213
71.502,141.268
71.489,141.324
71.471,141.380
71.450,141.437
71.425,141.495
71.396,141.554
71.364,141.613
71.327,141.673
71.287,141.734
71.243,141.796
71.195,141.858
71.144,141.922
71.089,141.986
71.031,142.051
70.971,142.117
70.907,142.183
70.842,142.249
70.774,142.315
70.705,142.381
70.635,142.448
70.563,142.514
70.491,142.579
70.418,142.644
70.345,142.709
70.271,142.773
70.199,142.836
70.127,142.897
70.056,142.958
69.986,143.018
69.918,143.076
69.851,143.133
69.787,143.188
69.725,143.241
69.664,143.293
69.605,143.343
69.546,143.391
69.489,143.438
69.432,143.483
69.376,143.527
69.319,143.569
69.263,143.609
69.205,143.648
69.147,143.685
69.088,143.721
69.028,143.754
68.965,143.787
68.901,143.818
68.835,143.847
68.767,143.874
68.697,143.901
68.624,143.926
68.550,143.950
68.475,143.973
68.398,143.996
68.320,144.018
68.241,144.039
68.160,144.060
68.079,144.081
67.997,144.102
67.914,144.123
67.830,144.144
67.747,144.165
67.663,144.187
67.579,144.210
67.495,144.234
67.411,144.258
67.327,144.283
67.244,144.307
67.162,144.331
67.081,144.354
67.000,144.375
66.921,144.394
66.843,144.411
66.767,144.424
66.692,144.434
66.620,144.439
66.549,144.440
66.481,144.435
66.415,144.425
66.351,144.409
66.291,144.386
66.233,144.356
66.179,144.319
66.127,144.275
66.078,144.225
66.031,144.170
65.986,144.110
65.944,144.045
65.903,143.977
65.865,143.905
65.828,143.831
65.792,143.754
65.758,143.675
65.724,143.596
65.692,143.515
65.661,143.435
65.630,143.355
65.599,143.276
65.569,143.199
65.539,143.123
65.510,143.048
65.481,142.975
65.452,142.904
65.423,142.833
65.394,142.764
65.366,142.696
65.339,142.628
65.311,142.562
65.284,142.496
65.258,142.431
65.231,142.366
65.205,142.301
65.180,142.237
65.155,142.173
65.130,142.110
65.106,142.046
65.082,141.982
65.059,141.918
65.036,141.854
65.014,141.790
64.992,141.725
64.972,141.660
64.951,141.595
64.932,141.529
64.913,141.463
64.895,141.396
64.878,141.329
64.862,141.261
64.846,141.193
64.832,141.123
64.818,141.053
64.805,140.983
64.794,140.912
64.783,140.842
64.773,140.772
64.764,140.702
64.757,140.633
64.750,140.564
64.744,140.497
64.740,140.432
64.736,140.368
64.734,140.305
64.732,140.245
64.732,140.187
64.733,140.132
64.734,140.079
64.736,140.028
64.736,139.981
64.736,139.936
64.733,139.894
64.728,139.855
64.719,139.820
64.707,139.787
64.690,139.758
64.668,139.731
64.644,139.707
64.618,139.683
64.593,139.661
64.570,139.637
64.549,139.613
64.534,139.586
64.525,139.557
64.521,139.525
64.520,139.491
64.522,139.455
64.526,139.418
64.531,139.380
64.534,139.342
64.536,139.303
64.537,139.265
64.537,139.228
64.538,139.192
64.543,139.158
64.552,139.126
64.567,139.097
64.589,139.071
