X,Y
64.245,141.109
64.267,141.061
64.300,141.014
64.342,140.966
64.393,140.920
64.451,140.873
64.515,140.826
64.584,140.780
64.657,140.734
64.733,140.688
64.810,140.641
64.887,140.595
64.964,140.550
65.040,140.504
65.115,140.458
65.191,140.413
65.266,140.369
65.341,140.326
65.416,140.283
65.491,140.242
65.567,140.201
65.643,140.163
65.720,140.126
65.798,140.090
65.877,140.057
65.956,140.025
66.037,139.995
66.119,139.967
66.203,139.940
66.287,139.915
66.373,139.891
66.460,139.868
66.549,139.845
66.639,139.823
66.731,139.802
66.824,139.780
66.919,139.759
67.016,139.738
67.114,139.717
67.214,139.695
67.315,139.673
67.418,139.651
67.521,139.629
67.625,139.608
67.730,139.586
67.836,139.564
67.941,139.542
68.047,139.521
68.152,139.500
68.258,139.479
68.362,139.458
68.466,139.438
68.569,139.419
68.672,139.400
68.773,139.381
68.872,139.363
68.972,139.346
69.070,139.330
69.168,139.314
69.265,139.299
69.363,139.284
69.460,139.271
69.557,139.258
69.655,139.246
69.753,139.235
69.852,139.225
69.951,139.215
70.051,139.207
70.153,139.199
70.255,139.193
70.358,139.188
70.461,139.185
70.564,139.185
70.667,139.186
70.769,139.190
70.870,139.197
70.970,139.208
71.068,139.221
71.164,139.239
71.258,139.261
71.350,139.287
71.439,139.319
71.525,139.355
71.607,139.396
71.686,139.442
71.761,139.493
71.833,139.547
71.900,139.605
71.964,139.666
72.023,139.730
72.078,139.796
72.129,139.864
72.175,139.933
72.217,140.003
72.254,140.074
72.286,140.144
72.312,140.214
72.334,140.284
72.349,140.352
72.358,140.418
72.360,140.481
72.355,140.542
72.343,140.600
72.322,140.653
72.293,140.702
72.257,140.747
72.213,140.788
72.163,140.826
72.110,140.862
72.054,140.897
71.996,140.930
71.938,140.964
71.881,140.999
71.827,141.035
71.777,141.074
71.731,141.115
71.689,141.159
71.651,141.205
71.618,141.255
71.589,141.308
71.565,141.364
71.546,141.423
71.532,141.487
71.523,141.553
71.517,141.623
71.515,141.696
71.516,141.770
71.518,141.846
71.520,141.923
71.523,142.000
71.524,142.077
71.523,142.154
71.520,142.229
71.513,142.302
71.503,142.372
71.488,142.441
71.470,142.508
71.448,142.573
71.422,142.636
71.394,142.698
71.362,142.758
71.328,142.818
71.291,142.876
71.251,142.934
71.209,142.990
71.165,143.046
71.119,143.102
71.072,143.157
71.023,143.211
70.972,143.265
70.920,143.319
70.868,143.372
70.814,143.425
70.760,143.477
70.705,143.530
70.650,143.582
70.595,143.634
70.540,143.686
70.484,143.737
70.429,143.788
70.373,143.838
70.318,143.888
70.263,143.937
70.208,143.985
70.153,144.032
70.099,144.078
70.046,144.124
69.992,144.168
69.939,144.211
69.886,144.254
69.833,144.296
69.781,144.337
69.728,144.378
69.675,144.418
69.621,144.458
69.568,144.497
69.514,144.535
69.460,144.571
69.405,144.604
69.351,144.632
69.298,144.656
69.245,144.672
69.192,144.681
69.141,144.681
69.090,144.671
69.041,144.652
68.993,144.625
68.948,144.591
68.904,144.552
68.864,144.509
68.827,144.463
68.793,144.414
68.763,144.365
68.736,144.316
68.712,144.266
68.690,144.216
68.670,144.166
68.650,144.116
68.630,144.065
68.609,144.015
68.587,143.965
68.564,143.916
68.538,143.866
68.509,143.818
68.478,143.770
68.443,143.723
68.405,143.677
68.363,143.632
68.316,143.588
68.265,143.545
68.210,143.504
68.152,143.464
68.091,143.426
68.027,143.390
67.962,143.355
67.896,143.323
67.830,143.292
67.764,143.263
67.698,143.237
67.634,143.213
67.570,143.191
67.508,143.170
67.446,143.151
67.385,143.133
67.325,143.115
67.264,143.098
67.203,143.080
67.142,143.062
67.081,143.043
67.019,143.024
66.956,143.003
66.893,142.982
66.829,142.960
66.764,142.938
66.698,142.915
66.632,142.893
66.564,142.870
66.496,142.847
66.427,142.825
66.357,142.803
66.286,142.782
66.214,142.761
66.142,142.740
66.070,142.720
65.997,142.700
65.924,142.680
65.852,142.661
65.780,142.642
65.708,142.624
65.637,142.606
65.566,142.588
65.497,142.570
65.427,142.552
65.359,142.534
65.292,142.514
65.225,142.494
65.159,142.472
65.094,142.448
65.029,142.422
64.966,142.394
64.903,142.363
64.842,142.330
64.783,142.295
64.727,142.258
64.674,142.220
64.625,142.182
64.580,142.144
64.541,142.106
64.508,142.069
64.481,142.033
64.460,141.997
64.444,141.962
64.431,141.925
64.420,141.887
64.411,141.847
64.402,141.804
64.393,141.758
64.383,141.710
64.371,141.660
64.359,141.609
64.345,141.557
64.329,141.505
64.311,141.454
64.291,141.403
64.271,141.353
64.254,141.303
64.241,141.254
64.234,141.205
64.234,141.157
64.245,141.109
