X	Y
69.160	144.245
69.128	144.240
69.085	144.247
69.036	144.261
68.984	144.280
68.931	144.300
68.880	144.319
68.836	144.333
68.801	144.339
68.778	144.333
68.768	144.315
68.771	144.285
68.786	144.243
68.814	144.190
68.853	144.126
68.903	144.053
68.963	143.970
69.034	143.877
69.114	143.777
69.204	143.667
69.302	143.551
69.409	143.427
69.523	143.296
69.645	143.159
69.774	143.016
69.909	142.869
70.051	142.716
70.198	142.559
70.350	142.398
70.507	142.234
70.668	142.067
70.832	141.898
71.000	141.727
71.171	141.554
71.344	141.381
71.520	141.207
71.696	141.034
71.874	140.860
72.052	140.688
72.231	140.518
72.409	140.349
72.586	140.183
72.762	140.019
72.938	139.858
73.114	139.699
73.288	139.542
73.462	139.387
73.635	139.234
73.808	139.084
73.980	138.935
74.152	138.789
74.323	138.644
74.494	138.501
74.665	138.360
74.835	138.221
75.004	138.083
75.174	137.947
75.343	137.812
75.512	137.679
75.681	137.547
75.849	137.417
76.018	137.287
76.186	137.159
76.354	137.033
76.523	136.907
76.691	136.782
76.859	136.659
77.027	136.536
77.196	136.414
77.364	136.293
77.533	136.173
77.702	136.053
77.871	135.934
78.040	135.816
78.209	135.698
78.379	135.581
78.549	135.464
78.720	135.347
78.891	135.231
79.062	135.115
79.234	134.999
79.406	134.883
79.579	134.767
79.753	134.652
79.927	134.536
80.101	134.421
80.276	134.306
80.452	134.191
80.628	134.076
80.805	133.962
80.982	133.847
81.160	133.733
81.339	133.620
81.518	133.507
81.699	133.394
81.879	133.281
82.061	133.169
82.243	133.057
82.426	132.945
82.610	132.834
82.794	132.724
82.979	132.614
83.165	132.504
83.352	132.395
83.539	132.286
83.728	132.178
83.917	132.071
84.107	131.964
84.298	131.857
84.490	131.752
84.682	131.647
84.876	131.542
85.071	131.438
85.266	131.335
85.462	131.233
85.660	131.131
85.858	131.030
86.058	130.930
86.258	130.830
86.459	130.732
86.662	130.634
86.865	130.537
87.069	130.441
87.275	130.346
87.481	130.251
87.688	130.158
87.896	130.065
88.105	129.974
88.315	129.883
88.526	129.793
88.737	129.705
88.950	129.617
89.163	129.530
89.376	129.445
89.591	129.360
89.806	129.277
90.021	129.195
90.237	129.114
90.454	129.033
90.671	128.955
90.889	128.877
91.107	128.800
91.326	128.725
91.545	128.651
91.764	128.578
91.984	128.507
92.204	128.437
92.425	128.368
92.645	128.300
92.866	128.234
93.087	128.169
93.309	128.106
93.530	128.043
93.752	127.983
93.974	127.924
94.195	127.866
94.417	127.809
94.639	127.755
94.861	127.701
95.083	127.650
95.304	127.599
95.526	127.551
95.748	127.504
95.969	127.458
96.190	127.414
96.411	127.372
96.632	127.331
96.852	127.293
97.072	127.255
97.292	127.220
97.511	127.186
97.730	127.154
97.948	127.124
98.166	127.096
98.383	127.069
98.599	127.045
98.815	127.022
99.030	127.001
99.245	126.982
99.458	126.965
99.671	126.950
99.883	126.937
100.094	126.925
100.304	126.916
100.513	126.909
100.722	126.904
100.929	126.901
101.135	126.900
101.339	126.901
101.543	126.904
101.746	126.910
101.947	126.918
102.147	126.927
102.345	126.939
102.543	126.954
102.738	126.970
102.933	126.989
103.126	127.010
103.317	127.034
103.507	127.059
103.695	127.087
103.882	127.118
104.066	127.151
104.250	127.186
104.431	127.224
104.610	127.264
104.786	127.306
104.960	127.351
105.132	127.399
105.301	127.448
105.467	127.501
105.630	127.555
105.790	127.613
105.947	127.672
106.100	127.735
106.249	127.799
106.395	127.866
106.537	127.936
106.675	128.008
106.809	128.083
106.938	128.160
107.063	128.240
107.183	128.322
107.299	128.407
107.409	128.494
107.515	128.584
107.615	128.677
107.710	128.772
107.799	128.869
107.883	128.970
107.960	129.072
108.032	129.178
108.099	129.286
108.159	129.397
108.214	129.510
108.264	129.626
108.309	129.745
108.349	129.866
108.385	129.990
108.415	130.117
108.442	130.246
108.464	130.378
108.482	130.513
108.497	130.651
108.507	130.791
108.514	130.934
108.518	131.080
108.519	131.229
108.517	131.381
108.512	131.535
108.504	131.693
108.494	131.853
108.482	132.016
108.467	132.182
108.451	132.351
108.432	132.523
108.413	132.697
108.391	132.875
