X	Y
346.000	168.000
346.374	167.086
346.867	166.149
347.474	165.188
348.190	164.206
349.010	163.203
349.929	162.181
350.940	161.141
352.040	160.084
353.222	159.012
354.482	157.925
355.814	156.825
357.213	155.714
358.674	154.592
360.191	153.460
361.759	152.320
363.373	151.174
365.028	150.022
366.719	148.865
368.440	147.705
370.187	146.543
371.960	145.380
373.758	144.216
375.580	143.052
377.427	141.889
379.297	140.727
381.191	139.568
383.107	138.411
385.044	137.259
387.004	136.110
388.984	134.967
390.985	133.830
393.006	132.699
395.046	131.575
397.105	130.460
399.182	129.353
401.277	128.255
403.390	127.168
405.519	126.092
407.664	125.027
409.826	123.975
412.002	122.935
414.193	121.910
416.399	120.899
418.618	119.903
420.850	118.923
423.095	117.960
425.352	117.014
427.619	116.084
429.896	115.171
432.181	114.274
434.472	113.392
436.769	112.524
439.070	111.671
441.373	110.831
443.678	110.004
445.982	109.189
448.285	108.386
450.586	107.595
452.882	106.814
455.173	106.044
457.457	105.283
459.733	104.532
461.999	103.789
464.254	103.054
466.497	102.327
468.727	101.606
470.942	100.892
473.140	100.184
475.321	99.481
477.483	98.784
479.624	98.090
481.744	97.400
483.841	96.713
485.914	96.029
487.961	95.347
489.984	94.667
491.985	93.992
493.966	93.320
495.929	92.654
497.875	91.993
499.807	91.339
501.726	90.692
503.634	90.053
505.533	89.423
507.425	88.803
509.312	88.193
511.196	87.594
513.078	87.007
514.961	86.432
516.846	85.871
518.735	85.323
520.630	84.791
522.533	84.274
524.447	83.774
526.371	83.290
528.310	82.825
530.264	82.378
532.235	81.950
534.225	81.543
536.232	81.154
538.255	80.784
540.293	80.432
542.344	80.097
544.406	79.779
546.480	79.476
548.562	79.189
550.652	78.915
552.748	78.656
554.848	78.409
556.953	78.175
559.059	77.953
561.165	77.741
563.271	77.540
565.375	77.348
567.474	77.165
569.569	76.990
571.657	76.822
573.738	76.661
575.809	76.506
577.869	76.357
579.918	76.212
581.953	76.072
583.972	75.934
585.975	75.802
587.959	75.678
589.921	75.566
591.858	75.471
593.768	75.395
595.649	75.344
597.498	75.320
599.312	75.328
601.089	75.372
602.827	75.454
604.522	75.580
606.173	75.753
607.777	75.976
609.331	76.254
610.832	76.590
612.279	76.989
613.669	77.453
614.999	77.988
616.267	78.596
617.470	79.282
618.605	80.045
619.671	80.882
620.663	81.789
621.581	82.760
622.421	83.791
623.180	84.879
623.856	86.017
624.447	87.203
624.949	88.431
625.360	89.698
625.678	90.998
625.900	92.327
626.023	93.681
626.045	95.055
625.962	96.445
625.777	97.848
625.493	99.266
625.118	100.698
624.657	102.145
624.116	103.609
623.501	105.090
622.818	106.589
622.074	108.107
621.274	109.644
620.424	111.202
619.530	112.781
618.598	114.382
617.635	116.007
616.646	117.654
615.637	119.326
614.614	121.024
613.583	122.748
612.551	124.498
611.522	126.277
610.504	128.084
609.502	129.920
608.517	131.784
607.545	133.669
606.583	135.571
605.626	137.486
604.670	139.406
603.712	141.328
602.748	143.247
601.773	145.156
600.783	147.052
599.776	148.928
598.746	150.780
597.689	152.602
596.603	154.389
595.482	156.137
594.324	157.839
593.123	159.492
591.877	161.089
590.580	162.625
589.230	164.096
587.821	165.496
586.351	166.820
584.816	168.062
583.210	169.218
581.531	170.283
579.777	171.254
577.949	172.136
576.050	172.932
574.082	173.648
572.048	174.286
569.950	174.853
567.790	175.351
565.572	175.786
563.296	176.162
560.966	176.483
558.585	176.754
556.153	176.978
553.675	177.161
551.151	177.307
548.585	177.419
545.979	177.503
543.336	177.563
540.657	177.603
537.945	177.627
535.203	177.640
532.433	177.646
529.637	177.650
526.817	177.656
523.977	177.668
521.118	177.691
518.243	177.729
515.354	177.786
512.454	177.867
509.544	177.976
506.628	178.117
503.707	178.290
500.781	178.493
497.852	178.724
494.922	178.982
491.991	179.265
489.060	179.570
486.130	179.897
483.203	180.244
480.280	180.608
477.361	180.988
474.449	181.383
471.543	181.790
468.646	182.207
465.758	182.634
462.880	183.067
460.014	183.506
457.160	183.949
454.320	184.394
451.496	184.838
448.687	185.281
445.895	185.721
443.121	186.155
440.367	186.583
437.634	187.002
434.922	187.410
432.232	187.806
429.567	188.188
426.927	188.554
424.312	188.903
421.725	189.233
419.166	189.541
416.637	189.826
414.138	190.087
411.671	190.323
409.235	190.535
406.830	190.723
404.457	190.888
402.116	191.032
399.806	191.156
397.529	191.260
395.283	191.346
393.069	191.415
390.887	191.467
388.738	191.504
386.621	191.526
384.536	191.535
382.483	191.531
380.463	191.516
378.476	191.491
376.521	191.456
374.599	191.413
372.710	191.362
370.854	191.305
369.031	191.243
367.241	191.176
365.484	191.106
363.760	191.033
362.070	190.959
360.418	190.880
358.811	190.792
357.258	190.688
355.765	190.562
354.342	190.410
352.996	190.224
351.734	190.000
350.564	189.732
349.495	189.414
348.534	189.040
347.689	188.605
346.968	188.102
346.378	187.527
345.927	186.872
345.616	186.138
345.428	185.334
345.342	184.470
345.340	183.557
345.401	182.605
345.506	181.627
345.635	180.632
345.769	179.632
345.888	178.636
345.972	177.657
346.003	176.705
345.973	175.784
345.900	174.889
345.803	174.016
345.699	173.157
345.609	172.308
345.550	171.463
345.541	170.615
345.600	169.759
345.747	168.889
346.000	168.000
