X	Y
368.000	243.000
368.994	242.501
370.221	242.216
371.662	242.129
373.298	242.220
375.111	242.473
377.080	242.869
379.188	243.390
381.414	244.018
383.739	244.735
386.145	245.523
388.613	246.365
391.122	247.241
393.655	248.135
396.192	249.028
398.714	249.902
401.204	250.742
403.662	251.543
406.093	252.308
408.503	253.036
410.894	253.729
413.274	254.388
415.646	255.013
418.016	255.606
420.389	256.168
422.769	256.699
425.161	257.201
427.571	257.673
430.003	258.119
432.463	258.537
434.955	258.930
437.483	259.297
440.054	259.641
442.672	259.962
445.341	260.261
448.055	260.543
450.808	260.812
453.591	261.073
456.396	261.333
459.217	261.594
462.045	261.864
464.872	262.146
467.690	262.446
470.493	262.769
473.272	263.120
476.020	263.504
478.728	263.926
481.390	264.391
483.997	264.903
486.541	265.469
489.015	266.093
491.412	266.781
493.723	267.536
495.940	268.365
498.058	269.269
500.071	270.248
501.975	271.299
503.763	272.421
505.432	273.614
506.976	274.875
508.391	276.203
509.671	277.596
510.811	279.054
511.807	280.575
512.653	282.158
513.345	283.800
513.877	285.502
514.248	287.260
514.473	289.067
514.582	290.914
514.604	292.790
514.569	294.684
514.505	296.587
514.441	298.488
514.406	300.377
514.430	302.243
514.542	304.077
514.770	305.868
515.144	307.606
515.693	309.280
516.444	310.881
517.393	312.405
518.510	313.856
519.764	315.237
521.122	316.550
522.555	317.798
524.029	318.986
525.514	320.116
526.979	321.190
528.391	322.213
529.719	323.187
530.933	324.115
532.000	325.000
532.892	325.847
533.589	326.664
534.075	327.461
534.332	328.246
534.343	329.030
534.093	329.823
533.568	330.631
532.797	331.445
531.826	332.249
530.702	333.025
529.472	333.757
528.181	334.426
526.878	335.016
525.608	335.509
524.418	335.890
523.352	336.142
522.403	336.286
521.532	336.369
520.696	336.435
519.854	336.533
518.966	336.707
517.989	337.004
516.894	337.459
515.696	338.059
514.422	338.784
513.099	339.609
511.753	340.512
510.412	341.471
509.100	342.462
507.846	343.464
506.676	344.454
505.617	345.409
504.694	346.306
503.915	347.142
503.258	347.938
502.697	348.717
502.209	349.504
501.769	350.323
501.353	351.196
500.936	352.149
500.504	353.196
500.066	354.327
499.636	355.532
499.228	356.798
498.857	358.113
498.535	359.464
498.276	360.839
498.096	362.227
498.007	363.614
498.020	364.990
498.117	366.350
498.264	367.692
498.425	369.016
498.567	370.320
498.654	371.604
498.653	372.866
498.528	374.106
498.244	375.322
497.768	376.513
497.085	377.678
496.202	378.811
495.130	379.909
493.876	380.967
492.450	381.981
490.862	382.947
489.121	383.861
487.236	384.718
485.215	385.514
483.069	386.245
480.807	386.907
478.437	387.495
475.970	388.006
473.413	388.435
470.776	388.783
468.066	389.050
465.292	389.236
462.461	389.343
459.582	389.370
456.663	389.318
453.711	389.189
450.736	388.981
447.744	388.696
444.745	388.334
441.745	387.896
438.754	387.383
435.780	386.794
432.830	386.130
429.912	385.393
427.036	384.582
424.208	383.697
421.436	382.740
418.730	381.711
416.097	380.611
413.541	379.441
411.062	378.204
408.657	376.906
406.327	375.549
404.068	374.138
401.881	372.676
399.763	371.167
397.713	369.615
395.730	368.024
393.812	366.398
391.959	364.740
390.168	363.054
388.438	361.345
386.768	359.615
385.156	357.870
383.601	356.112
382.102	354.345
380.658	352.574
379.267	350.799
377.929	349.014
376.646	347.214
375.417	345.391
374.244	343.540
373.126	341.655
372.064	339.728
371.059	337.755
370.110	335.728
369.218	333.641
368.385	331.488
367.609	329.263
366.892	326.959
366.235	324.570
365.636	322.091
365.098	319.513
364.620	316.834
364.200	314.063
363.837	311.213
363.527	308.301
363.270	305.342
363.062	302.350
362.901	299.340
362.785	296.329
362.712	293.329
362.680	290.358
362.685	287.430
362.726	284.559
362.801	281.761
362.907	279.052
363.042	276.445
363.204	273.957
363.390	271.602
363.598	269.395
363.826	267.352
364.072	265.487
364.331	263.801
364.596	262.268
364.859	260.863
365.114	259.556
365.351	258.322
365.564	257.132
365.744	255.959
365.884	254.775
365.977	253.554
366.015	252.270
366.015	250.929
366.014	249.568
366.047	248.223
366.151	246.930
366.362	245.725
366.716	244.644
367.250	243.723
368.000	243.000
