X	Y
20.832	11.368
20.868	11.318
20.912	11.268
20.965	11.218
21.025	11.169
21.093	11.121
21.169	11.072
21.252	11.023
21.341	10.975
21.436	10.927
21.538	10.878
21.644	10.829
21.757	10.780
21.874	10.731
21.995	10.681
22.121	10.631
22.251	10.580
22.384	10.528
22.520	10.476
22.660	10.423
22.802	10.368
22.946	10.313
23.092	10.258
23.240	10.201
23.391	10.144
23.543	10.086
23.696	10.027
23.852	9.968
24.008	9.908
24.166	9.848
24.325	9.787
24.485	9.726
24.645	9.664
24.807	9.602
24.968	9.540
25.130	9.478
25.293	9.416
25.455	9.353
25.618	9.291
25.780	9.228
25.942	9.166
26.104	9.103
26.264	9.041
26.425	8.979
26.584	8.917
26.742	8.856
26.899	8.795
27.055	8.734
27.209	8.673
27.362	8.614
27.513	8.554
27.663	8.495
27.810	8.437
27.956	8.379
28.101	8.322
28.243	8.265
28.384	8.209
28.523	8.154
28.660	8.099
28.795	8.044
28.928	7.990
29.060	7.937
29.189	7.884
29.317	7.832
29.443	7.780
29.567	7.729
29.689	7.678
29.809	7.628
29.927	7.579
30.043	7.530
30.157	7.482
30.269	7.435
30.379	7.388
30.487	7.341
30.592	7.295
30.696	7.250
30.798	7.206
30.899	7.163
30.999	7.120
31.098	7.079
31.196	7.038
31.294	6.999
31.393	6.961
31.491	6.925
31.590	6.890
31.690	6.857
31.791	6.825
31.893	6.795
31.997	6.767
32.103	6.741
32.211	6.717
32.322	6.695
32.436	6.676
32.552	6.659
32.672	6.644
32.794	6.631
32.919	6.621
33.046	6.613
33.174	6.607
33.305	6.603
33.436	6.602
33.568	6.602
33.700	6.604
33.833	6.608
33.966	6.615
34.098	6.622
34.229	6.632
34.359	6.644
34.488	6.657
34.615	6.671
34.740	6.688
34.863	6.706
34.983	6.725
35.100	6.746
35.213	6.768
35.323	6.791
35.429	6.816
35.531	6.843
35.629	6.871
35.724	6.902
35.814	6.934
35.901	6.970
35.984	7.008
36.063	7.050
36.138	7.095
36.210	7.143
36.278	7.196
36.342	7.252
36.402	7.313
36.459	7.379
36.512	7.450
36.561	7.525
36.607	7.606
36.649	7.692
36.687	7.782
36.722	7.875
36.754	7.972
36.781	8.071
36.805	8.173
36.825	8.277
36.842	8.381
36.855	8.487
36.865	8.592
36.870	8.698
36.873	8.802
36.871	8.906
36.867	9.008
36.858	9.107
36.846	9.204
36.830	9.298
36.811	9.388
36.789	9.476
36.764	9.562
36.735	9.646
36.705	9.728
36.672	9.809
36.637	9.889
36.600	9.968
36.562	10.047
36.522	10.126
36.480	10.205
36.438	10.285
36.395	10.367
36.351	10.449
36.307	10.534
36.263	10.621
36.219	10.709
36.174	10.800
36.129	10.892
36.083	10.986
36.036	11.081
35.988	11.177
35.938	11.275
35.888	11.373
35.836	11.473
35.783	11.573
35.728	11.673
35.671	11.774
35.612	11.875
35.551	11.976
35.487	12.077
35.421	12.177
35.353	12.278
35.282	12.377
35.208	12.476
35.131	12.574
35.052	12.671
34.970	12.767
34.887	12.862
34.802	12.956
34.716	13.048
34.629	13.138
34.541	13.226
34.453	13.313
34.366	13.398
34.279	13.480
34.192	13.561
34.107	13.639
34.023	13.714
33.941	13.787
33.861	13.857
33.784	13.924
33.709	13.988
33.637	14.048
33.569	14.106
33.505	14.160
33.443	14.211
33.383	14.259
33.325	14.303
33.268	14.345
33.210	14.384
33.151	14.419
33.091	14.453
33.028	14.483
32.962	14.511
32.892	14.537
32.817	14.561
32.736	14.582
32.649	14.602
32.556	14.619
32.457	14.634
32.352	14.648
32.242	14.659
32.126	14.669
32.006	14.677
31.881	14.683
31.752	14.688
31.619	14.691
31.482	14.692
31.341	14.692
31.197	14.690
31.049	14.687
30.899	14.682
30.747	14.676
30.592	14.668
30.435	14.660
30.276	14.650
30.116	14.638
29.954	14.626
29.792	14.613
29.628	14.598
29.464	14.583
29.300	14.566
29.136	14.548
28.971	14.530
28.806	14.510
28.642	14.490
28.476	14.468
28.311	14.446
28.146	14.423
27.980	14.398
27.815	14.373
27.649	14.347
27.483	14.319
27.318	14.291
27.152	14.262
26.986	14.232
26.820	14.201
26.655	14.169
26.489	14.136
26.323	14.103
26.158	14.068
25.993	14.032
25.827	13.996
25.662	13.958
25.497	13.920
25.332	13.881
25.168	13.840
25.003	13.799
24.839	13.757
24.675	13.714
24.512	13.671
24.348	13.626
24.186	13.581
24.024	13.535
23.863	13.489
23.704	13.443
23.546	13.397
23.391	13.352
23.237	13.307
23.086	13.262
22.937	13.219
22.791	13.176
22.648	13.135
22.509	13.095
22.373	13.056
22.241	13.020
22.113	12.985
21.989	12.952
21.870	12.922
21.756	12.894
21.647	12.869
21.544	12.847
21.445	12.828
21.353	12.812
21.267	12.799
21.187	12.790
21.114	12.783
21.047	12.778
20.986	12.773
20.932	12.766
20.885	12.756
20.844	12.742
20.811	12.722
20.784	12.695
20.764	12.660
20.750	12.616
20.742	12.565
20.738	12.507
20.739	12.444
20.742	12.377
20.747	12.307
20.754	12.234
20.760	12.161
20.766	12.088
20.771	12.015
20.773	11.945
20.772	11.878
20.769	11.814
20.766	11.752
20.764	11.692
20.764	11.634
20.766	11.579
20.773	11.524
20.786	11.471
20.805	11.419
20.832	11.368
