X	Y
20.891	12.916
20.939	12.879
21.000	12.850
21.074	12.826
21.161	12.809
21.259	12.798
21.368	12.793
21.488	12.793
21.618	12.798
21.757	12.807
21.905	12.822
22.061	12.840
22.225	12.862
22.395	12.888
22.572	12.917
22.754	12.950
22.941	12.985
23.133	13.022
23.329	13.062
23.528	13.104
23.729	13.147
23.933	13.192
24.138	13.237
24.343	13.283
24.549	13.330
24.755	13.377
24.959	13.424
25.163	13.470
25.364	13.517
25.565	13.563
25.763	13.609
25.961	13.654
26.156	13.699
26.350	13.744
26.541	13.789
26.731	13.833
26.918	13.876
27.104	13.920
27.287	13.962
27.468	14.005
27.646	14.047
27.822	14.088
27.995	14.129
28.165	14.169
28.333	14.209
28.498	14.248
28.659	14.287
28.818	14.325
28.974	14.362
29.126	14.399
29.275	14.435
29.420	14.470
29.562	14.505
29.701	14.538
29.835	14.572
29.966	14.604
30.093	14.636
30.217	14.667
30.336	14.699
30.452	14.731
30.565	14.764
30.674	14.798
30.780	14.834
30.882	14.872
30.981	14.911
31.076	14.954
31.169	14.999
31.258	15.047
31.344	15.099
31.427	15.155
31.507	15.215
31.584	15.280
31.658	15.350
31.730	15.425
31.798	15.505
31.862	15.589
31.923	15.676
31.979	15.768
32.031	15.861
32.077	15.958
32.118	16.055
32.153	16.154
32.182	16.254
32.204	16.354
32.219	16.453
32.227	16.551
32.227	16.648
32.219	16.743
32.202	16.836
32.176	16.926
32.142	17.012
32.101	17.096
32.052	17.178
31.997	17.257
31.936	17.334
31.869	17.409
31.798	17.482
31.724	17.553
31.646	17.623
31.565	17.692
31.482	17.759
31.398	17.826
31.314	17.892
31.229	17.957
31.145	18.022
31.062	18.086
30.980	18.151
30.899	18.215
30.819	18.279
30.740	18.342
30.660	18.405
30.581	18.467
30.501	18.529
30.422	18.591
30.341	18.652
30.260	18.712
30.177	18.771
30.094	18.830
30.008	18.888
29.921	18.946
29.832	19.002
29.741	19.057
29.648	19.112
29.552	19.165
29.454	19.218
29.353	19.269
29.251	19.319
29.145	19.368
29.038	19.415
28.928	19.462
28.816	19.507
28.702	19.550
28.586	19.592
28.467	19.632
28.346	19.671
28.223	19.708
28.097	19.743
27.970	19.776
27.840	19.808
27.708	19.837
27.574	19.865
27.438	19.891
27.299	19.914
27.159	19.936
27.018	19.955
26.875	19.972
26.731	19.987
26.586	19.999
26.441	20.009
26.295	20.016
26.149	20.021
26.004	20.023
25.859	20.023
25.715	20.020
25.571	20.014
25.429	20.005
25.288	19.993
25.149	19.979
25.012	19.961
24.877	19.940
24.744	19.917
24.614	19.890
24.487	19.859
24.363	19.826
24.243	19.789
24.126	19.749
24.012	19.705
23.902	19.658
23.795	19.608
23.692	19.555
23.591	19.498
23.494	19.438
23.401	19.375
23.310	19.308
23.223	19.239
23.139	19.166
23.058	19.090
22.980	19.011
22.906	18.929
22.834	18.844
22.766	18.756
22.701	18.665
22.639	18.571
22.579	18.473
22.523	18.374
22.469	18.272
22.417	18.167
22.368	18.061
22.320	17.954
22.275	17.845
22.231	17.735
22.189	17.624
22.148	17.512
22.109	17.400
22.070	17.288
22.032	17.176
21.995	17.065
21.959	16.954
21.923	16.844
21.887	16.735
21.851	16.628
21.815	16.522
21.779	16.418
21.742	16.315
21.705	16.214
21.668	16.113
21.631	16.014
21.594	15.916
21.556	15.819
21.517	15.723
21.479	15.627
21.440	15.531
21.401	15.436
21.361	15.341
21.321	15.247
21.281	15.152
21.240	15.057
21.199	14.962
21.157	14.866
21.115	14.771
21.074	14.675
21.033	14.581
20.994	14.488
20.956	14.396
20.921	14.307
20.888	14.220
20.859	14.136
20.833	14.056
20.811	13.980
20.793	13.908
20.781	13.841
20.774	13.779
20.773	13.723
20.777	13.672
20.785	13.625
20.795	13.581
20.807	13.538
20.818	13.494
20.826	13.449
20.831	13.401
20.832	13.349
20.828	13.293
20.824	13.235
20.820	13.177
20.819	13.118
20.824	13.062
20.836	13.008
20.858	12.959
20.891	12.916
