X	Y
338.000	183.000
338.560	182.465
339.273	181.998
340.119	181.583
341.075	181.206
342.120	180.850
343.231	180.500
344.388	180.142
345.569	179.759
346.751	179.337
347.914	178.859
349.035	178.312
350.093	177.678
351.067	176.944
351.941	176.097
352.724	175.145
353.431	174.094
354.074	172.953
354.666	171.730
355.222	170.433
355.755	169.071
356.277	167.651
356.804	166.182
357.347	164.672
357.921	163.129
358.539	161.562
359.214	159.978
359.960	158.386
360.790	156.794
361.718	155.210
362.757	153.642
363.920	152.099
365.219	150.587
366.653	149.108
368.217	147.660
369.907	146.243
371.717	144.855
373.645	143.497
375.684	142.166
377.832	140.863
380.082	139.586
382.431	138.334
384.874	137.107
387.407	135.903
390.025	134.722
392.724	133.563
395.498	132.425
398.345	131.307
401.258	130.209
404.234	129.128
407.268	128.066
410.356	127.019
413.493	125.989
416.674	124.973
419.896	123.971
423.153	122.983
426.442	122.006
429.756	121.041
433.093	120.086
436.448	119.141
439.815	118.204
443.192	117.276
446.572	116.354
449.952	115.438
453.326	114.528
456.692	113.622
460.043	112.719
463.378	111.819
466.694	110.925
469.991	110.036
473.268	109.154
476.524	108.282
479.759	107.419
482.971	106.568
486.160	105.730
489.324	104.906
492.463	104.098
495.575	103.307
498.661	102.535
501.719	101.782
504.749	101.050
507.748	100.341
510.717	99.656
513.655	98.997
516.560	98.364
519.433	97.759
522.271	97.184
525.075	96.639
527.842	96.127
530.573	95.648
533.267	95.205
535.922	94.798
538.538	94.429
541.113	94.098
543.648	93.809
546.140	93.561
548.590	93.357
550.996	93.197
553.358	93.083
555.674	93.017
557.944	93.000
560.167	93.032
562.343	93.112
564.473	93.236
566.558	93.402
568.598	93.608
570.594	93.849
572.546	94.124
574.455	94.429
576.322	94.762
578.147	95.120
579.931	95.499
581.674	95.898
583.377	96.314
585.041	96.742
586.666	97.182
588.253	97.629
589.803	98.082
591.315	98.536
592.791	98.990
594.231	99.440
595.636	99.885
597.007	100.320
598.340	100.751
599.631	101.184
600.878	101.625
602.076	102.082
603.221	102.562
604.309	103.070
605.337	103.615
606.300	104.202
607.194	104.838
608.016	105.531
608.762	106.288
609.428	107.114
610.009	108.016
610.504	109.001
610.914	110.063
611.241	111.199
611.488	112.404
611.658	113.672
611.754	114.998
611.778	116.378
611.732	117.806
611.620	119.278
611.445	120.788
611.208	122.333
610.913	123.905
610.562	125.502
610.158	127.117
609.703	128.746
609.201	130.383
608.653	132.025
608.063	133.668
607.432	135.310
606.761	136.952
606.054	138.591
605.312	140.227
604.537	141.858
603.731	143.483
602.896	145.101
602.034	146.711
601.147	148.311
600.237	149.901
599.306	151.479
598.355	153.044
597.388	154.595
596.405	156.131
595.409	157.650
594.402	159.152
593.386	160.634
592.362	162.097
591.334	163.538
590.301	164.958
589.264	166.353
588.217	167.725
587.157	169.071
586.080	170.392
584.982	171.685
583.860	172.951
582.709	174.188
581.526	175.395
580.306	176.572
579.046	177.718
577.741	178.831
576.389	179.911
574.985	180.957
573.525	181.968
572.005	182.944
570.422	183.883
568.771	184.784
567.048	185.646
565.251	186.470
563.374	187.253
561.417	187.996
559.382	188.701
557.272	189.371
555.090	190.007
552.838	190.611
550.520	191.187
548.139	191.735
545.697	192.259
543.197	192.760
540.643	193.241
538.036	193.704
535.381	194.150
532.679	194.583
529.934	195.005
527.149	195.417
524.326	195.822
521.468	196.222
518.579	196.619
515.661	197.015
512.716	197.413
509.749	197.815
506.762	198.223
503.757	198.639
500.738	199.066
497.707	199.505
494.668	199.959
491.623	200.430
488.575	200.920
485.527	201.432
482.482	201.967
479.443	202.528
476.412	203.117
473.392	203.734
470.385	204.377
467.391	205.043
464.412	205.728
461.447	206.428
458.500	207.140
455.569	207.861
452.658	208.588
449.766	209.317
446.895	210.045
444.045	210.768
441.219	211.483
438.416	212.187
435.638	212.876
432.886	213.547
430.162	214.197
427.465	214.822
424.797	215.418
422.160	215.984
419.554	216.514
416.980	217.006
414.440	217.456
411.934	217.861
409.464	218.218
407.030	218.523
404.634	218.773
402.276	218.965
399.958	219.094
397.681	219.159
395.446	219.155
393.253	219.079
391.105	218.927
389.001	218.701
386.942	218.402
384.928	218.037
382.959	217.608
381.034	217.120
379.155	216.577
377.322	215.983
375.534	215.342
373.791	214.659
372.094	213.936
370.443	213.179
368.838	212.392
367.279	211.579
365.767	210.743
364.300	209.889
362.880	209.021
361.507	208.143
360.180	207.259
358.900	206.373
357.668	205.490
356.482	204.614
355.343	203.749
354.253	202.903
353.211	202.083
352.217	201.297
351.273	200.550
350.379	199.850
349.535	199.204
348.742	198.620
348.000	198.104
347.310	197.663
346.673	197.304
346.088	197.034
345.554	196.859
345.058	196.769
344.578	196.752
344.096	196.792
343.591	196.876
343.044	196.990
342.442	197.120
341.801	197.243
341.149	197.338
340.512	197.381
339.918	197.350
339.394	197.221
338.966	196.972
338.652	196.588
338.436	196.081
338.297	195.465
338.215	194.757
338.168	193.972
338.136	193.126
338.098	192.234
338.032	191.314
337.920	190.379
337.769	189.441
337.602	188.511
337.443	187.598
337.316	186.711
337.245	185.859
337.255	185.053
337.367	184.301
337.608	183.614
338.000	183.000
