X	Y
341.500	197.000
342.085	196.299
342.811	195.648
343.678	195.045
344.685	194.488
345.832	193.974
347.118	193.503
348.543	193.070
350.105	192.676
351.805	192.317
353.642	191.992
355.615	191.698
357.723	191.434
359.967	191.197
362.345	190.986
364.857	190.799
367.502	190.633
370.280	190.486
373.189	190.358
376.220	190.246
379.365	190.152
382.616	190.075
385.964	190.015
389.400	189.971
392.915	189.944
396.502	189.933
400.150	189.938
403.853	189.959
407.600	189.996
411.384	190.048
415.195	190.115
419.026	190.197
422.866	190.294
426.709	190.406
430.545	190.532
434.366	190.673
438.162	190.827
441.925	190.995
445.648	191.177
449.320	191.373
452.933	191.581
456.479	191.803
459.949	192.038
463.335	192.285
466.627	192.545
469.818	192.816
472.898	193.100
475.859	193.396
478.692	193.704
481.388	194.023
483.940	194.353
486.338	194.695
488.587	195.047
490.701	195.410
492.693	195.783
494.577	196.167
496.366	196.561
498.076	196.965
499.720	197.379
501.312	197.803
502.865	198.236
504.394	198.679
505.913	199.130
507.435	199.591
508.974	200.060
510.545	200.539
512.161	201.025
513.835	201.520
515.583	202.024
517.413	202.535
519.318	203.057
521.286	203.591
523.307	204.140
525.368	204.705
527.460	205.289
529.570	205.894
531.688	206.522
533.803	207.175
535.903	207.855
537.977	208.564
540.014	209.305
542.003	210.080
543.933	210.890
545.792	211.738
547.570	212.626
549.255	213.556
550.836	214.531
552.302	215.551
553.642	216.621
554.847	217.739
555.916	218.900
556.851	220.099
557.651	221.330
558.317	222.586
558.849	223.860
559.249	225.149
559.517	226.444
559.653	227.740
559.658	229.030
559.532	230.310
559.276	231.572
558.891	232.810
558.379	234.022
557.748	235.209
557.006	236.373
556.162	237.518
555.223	238.645
554.199	239.758
553.096	240.859
551.923	241.951
550.689	243.035
549.401	244.116
548.068	245.194
546.698	246.273
545.299	247.356
543.879	248.444
542.447	249.541
541.008	250.648
539.563	251.765
538.111	252.891
536.650	254.024
535.178	255.164
533.695	256.309
532.199	257.458
530.688	258.610
529.162	259.764
527.619	260.919
526.057	262.074
524.476	263.227
522.873	264.378
521.247	265.525
519.598	266.667
517.923	267.804
516.222	268.933
514.492	270.055
512.734	271.167
510.944	272.268
509.123	273.358
507.271	274.434
505.387	275.495
503.470	276.539
501.520	277.565
499.536	278.571
497.518	279.556
495.466	280.518
493.379	281.456
491.256	282.367
489.097	283.251
486.901	284.106
484.669	284.930
482.399	285.722
480.091	286.480
477.745	287.203
475.360	287.889
472.935	288.536
470.471	289.143
467.966	289.709
465.420	290.231
462.833	290.709
460.207	291.142
457.547	291.531
454.858	291.879
452.146	292.186
449.415	292.454
446.672	292.685
443.921	292.879
441.168	293.039
438.418	293.166
435.677	293.261
432.949	293.327
430.240	293.363
427.555	293.373
424.899	293.357
422.278	293.316
419.697	293.254
417.162	293.169
414.677	293.066
412.248	292.944
409.880	292.805
407.579	292.651
405.349	292.483
403.197	292.303
401.126	292.112
399.143	291.911
397.248	291.700
395.433	291.473
393.691	291.226
392.017	290.953
390.403	290.650
388.841	290.311
387.326	289.932
385.850	289.509
384.407	289.034
382.989	288.505
381.590	287.916
380.202	287.262
378.820	286.538
377.435	285.740
376.042	284.861
374.633	283.899
373.208	282.853
371.772	281.730
370.329	280.537
368.883	279.277
367.439	277.958
366.002	276.585
364.575	275.165
363.163	273.702
361.771	272.203
360.402	270.673
359.062	269.119
357.754	267.546
356.484	265.960
355.254	264.366
354.071	262.772
352.938	261.182
351.860	259.603
350.840	258.040
349.884	256.498
348.991	254.980
348.160	253.484
347.386	252.008
346.669	250.552
346.006	249.115
345.395	247.695
344.832	246.290
344.315	244.901
343.843	243.524
343.413	242.160
343.022	240.807
342.668	239.463
342.349	238.128
342.061	236.801
341.803	235.479
341.574	234.163
341.371	232.852
341.193	231.546
341.040	230.244
340.908	228.946
340.798	227.651
340.707	226.360
340.635	225.071
340.579	223.785
340.539	222.501
340.513	221.219
340.500	219.938
340.497	218.658
340.503	217.382
340.516	216.112
340.532	214.850
340.549	213.598
340.565	212.360
340.577	211.137
340.583	209.933
340.580	208.748
340.565	207.586
340.537	206.450
340.492	205.341
340.434	204.262
340.377	203.215
340.340	202.203
340.339	201.229
340.393	200.294
340.518	199.401
340.733	198.553
341.054	197.752
341.500	197.000
