X	Y
34.476	32.618
34.549	32.549
34.674	32.488
34.843	32.429
35.045	32.372
35.270	32.312
35.510	32.247
35.754	32.174
35.994	32.091
36.231	31.998
36.464	31.896
36.696	31.786
36.928	31.670
37.162	31.547
37.398	31.420
37.639	31.289
37.884	31.155
38.137	31.020
38.397	30.883
38.663	30.746
38.934	30.609
39.209	30.472
39.487	30.336
39.767	30.200
40.048	30.065
40.328	29.931
40.607	29.799
40.884	29.669
41.157	29.542
41.427	29.417
41.692	29.296
41.954	29.178
42.212	29.065
42.467	28.957
42.720	28.855
42.969	28.759
43.217	28.670
43.463	28.588
43.706	28.514
43.948	28.449
44.188	28.392
44.424	28.344
44.656	28.303
44.883	28.271
45.104	28.246
45.320	28.229
45.528	28.220
45.727	28.219
45.916	28.229
46.088	28.252
46.241	28.292
46.369	28.351
46.470	28.434
46.540	28.542
46.581	28.672
46.597	28.822
46.589	28.988
46.560	29.168
46.515	29.357
46.453	29.554
46.379	29.757
46.294	29.962
46.199	30.168
46.096	30.373
45.989	30.575
45.877	30.770
45.765	30.958
45.651	31.136
45.538	31.307
45.425	31.469
45.314	31.623
45.204	31.769
45.096	31.908
44.991	32.039
44.886	32.165
44.777	32.288
44.659	32.411
44.528	32.536
44.380	32.666
44.210	32.805
44.015	32.953
43.800	33.109
43.571	33.270
43.335	33.433
43.097	33.595
42.863	33.754
42.641	33.906
42.435	34.049
42.253	34.180
42.100	34.297
41.973	34.399
41.864	34.488
41.761	34.567
41.655	34.638
41.534	34.704
41.394	34.766
41.237	34.823
41.067	34.873
40.886	34.915
40.700	34.949
40.510	34.973
40.320	34.985
40.133	34.985
39.948	34.971
39.768	34.943
39.593	34.899
39.424	34.839
39.263	34.761
39.109	34.667
38.958	34.561
38.804	34.449
38.645	34.335
38.475	34.225
38.291	34.124
38.087	34.037
37.863	33.966
37.621	33.910
37.365	33.868
37.099	33.838
36.827	33.817
36.553	33.804
36.279	33.797
36.011	33.795
35.751	33.796
35.504	33.796
35.273	33.794
35.064	33.784
34.882	33.762
34.729	33.725
34.612	33.666
34.535	33.583
34.496	33.477
34.485	33.357
34.492	33.236
34.505	33.123
34.514	33.027
34.516	32.941
34.504	32.859
34.478	32.776
34.460	32.694
34.476	32.618
