X	Y
34.607	33.586
34.674	33.540
34.763	33.504
34.871	33.479
34.997	33.463
35.137	33.455
35.290	33.454
35.453	33.459
35.625	33.468
35.802	33.482
35.983	33.498
36.166	33.516
36.347	33.535
36.526	33.554
36.701	33.573
36.872	33.592
37.038	33.612
37.199	33.634
37.355	33.657
37.504	33.683
37.646	33.711
37.780	33.742
37.907	33.777
38.025	33.816
38.134	33.859
38.234	33.907
38.324	33.960
38.408	34.017
38.486	34.077
38.560	34.141
38.632	34.209
38.703	34.279
38.775	34.351
38.850	34.425
38.927	34.501
39.004	34.579
39.078	34.658
39.148	34.739
39.209	34.822
39.260	34.907
39.298	34.993
39.320	35.081
39.324	35.171
39.311	35.261
39.282	35.350
39.237	35.437
39.178	35.519
39.105	35.595
39.020	35.663
38.923	35.723
38.816	35.773
38.700	35.814
38.575	35.846
38.444	35.869
38.307	35.884
38.165	35.892
38.021	35.893
37.874	35.887
37.726	35.874
37.579	35.856
37.434	35.833
37.291	35.805
37.151	35.772
37.013	35.734
36.878	35.693
36.744	35.648
36.613	35.599
36.484	35.547
36.356	35.492
36.231	35.434
36.107	35.373
35.985	35.310
35.864	35.246
35.745	35.180
35.629	35.113
35.515	35.047
35.406	34.983
35.300	34.922
35.200	34.863
35.105	34.809
35.017	34.761
34.935	34.719
34.861	34.683
34.795	34.652
34.737	34.622
34.688	34.589
34.649	34.551
34.619	34.502
34.598	34.443
34.584	34.375
34.575	34.300
34.567	34.219
34.560	34.134
34.550	34.047
34.539	33.959
34.531	33.873
34.529	33.790
34.538	33.713
34.563	33.645
34.607	33.586
