X,Y
504.000,191.500
504.430,190.387
505.072,189.247
505.901,188.086
506.892,186.914
508.019,185.740
509.257,184.572
510.581,183.418
511.966,182.288
513.385,181.191
514.815,180.134
516.234,179.124
517.644,178.156
519.058,177.220
520.485,176.307
521.939,175.405
523.430,174.506
524.970,173.600
526.571,172.676
528.243,171.724
529.999,170.736
531.849,169.701
533.806,168.608
535.878,167.451
538.063,166.232
540.354,164.956
542.743,163.631
545.225,162.261
547.793,160.853
550.438,159.414
553.156,157.948
555.938,156.463
558.778,154.964
561.669,153.457
564.605,151.949
567.578,150.446
570.582,148.953
573.609,147.476
576.654,146.023
579.709,144.598
582.767,143.208
585.821,141.859
588.865,140.557
591.892,139.306
594.900,138.106
597.885,136.953
600.846,135.844
603.779,134.775
606.683,133.744
609.555,132.747
612.392,131.780
615.193,130.842
617.955,129.927
620.674,129.034
623.350,128.159
625.979,127.298
628.559,126.449
631.088,125.608
633.563,124.772
635.982,123.938
638.342,123.103
640.641,122.263
642.880,121.415
645.068,120.560
647.212,119.695
649.320,118.819
651.403,117.932
653.467,117.033
655.522,116.120
657.576,115.193
659.637,114.250
661.714,113.290
663.815,112.313
665.949,111.317
668.125,110.302
670.350,109.265
672.633,108.207
674.979,107.127
677.386,106.027
679.849,104.910
682.366,103.776
684.933,102.628
687.547,101.468
690.205,100.298
692.903,99.119
695.638,97.935
698.407,96.747
701.206,95.556
704.033,94.365
706.883,93.176
709.753,91.991
712.641,90.812
715.542,89.640
718.454,88.478
721.373,87.328
724.296,86.192
727.221,85.071
730.147,83.967
733.075,82.880
736.005,81.813
738.937,80.766
741.870,79.740
744.806,78.736
747.744,77.756
750.685,76.801
753.627,75.871
756.572,74.969
759.520,74.095
762.471,73.250
765.424,72.436
768.380,71.654
771.340,70.904
774.302,70.189
777.268,69.508
780.237,68.864
783.209,68.258
786.183,67.690
789.154,67.163
792.117,66.676
795.070,66.232
798.006,65.831
800.921,65.475
803.812,65.166
806.673,64.903
809.501,64.689
812.290,64.525
815.037,64.412
817.737,64.351
820.385,64.344
822.977,64.391
825.508,64.495
827.975,64.655
830.373,64.874
832.697,65.152
834.945,65.490
837.114,65.889
839.203,66.347
841.211,66.864
843.135,67.440
844.975,68.075
846.728,68.769
848.393,69.522
849.968,70.333
851.452,71.201
852.843,72.128
854.139,73.112
855.339,74.152
856.447,75.244
857.464,76.385
858.393,77.568
859.237,78.790
859.998,80.046
860.679,81.331
861.283,82.641
861.812,83.972
862.269,85.319
862.660,86.681
862.995,88.063
863.282,89.468
863.530,90.898
863.749,92.357
863.947,93.849
864.133,95.376
864.316,96.942
864.506,98.550
864.708,100.203
864.921,101.899
865.138,103.638
865.356,105.417
865.568,107.235
865.770,109.091
865.958,110.983
866.126,112.908
866.269,114.867
866.382,116.856
866.460,118.875
866.499,120.923
866.494,122.995
866.444,125.087
866.346,127.190
866.202,129.297
866.009,131.400
865.767,133.492
865.474,135.565
865.131,137.611
864.736,139.623
864.288,141.594
863.786,143.515
863.230,145.379
862.618,147.178
861.953,148.907
861.254,150.567
860.552,152.166
859.874,153.710
859.251,155.206
858.709,156.660
858.280,158.078
857.991,159.468
857.872,160.836
857.950,162.188
858.249,163.532
858.726,164.869
859.311,166.204
859.932,167.538
860.518,168.873
860.997,170.212
861.297,171.558
861.349,172.912
861.079,174.277
860.433,175.655
859.460,177.035
858.252,178.407
856.903,179.757
855.503,181.073
854.146,182.343
852.923,183.554
851.927,184.695
851.249,185.752
850.983,186.713
851.210,187.569
851.898,188.334
852.943,189.039
854.241,189.717
855.686,190.398
857.174,191.115
858.601,191.897
859.861,192.778
860.849,193.787
861.473,194.951
861.727,196.240
861.641,197.606
861.248,198.998
860.579,200.366
859.666,201.660
858.540,202.830
857.233,203.826
855.777,204.598
854.207,205.123
852.568,205.451
850.907,205.645
849.271,205.764
847.705,205.870
846.257,206.025
844.973,206.290
843.899,206.726
843.083,207.395
842.558,208.345
842.282,209.549
842.186,210.954
842.199,212.507
842.254,214.152
842.280,215.838
842.208,217.509
841.969,219.112
841.492,220.594
840.710,221.901
839.602,223.010
838.227,223.949
836.649,224.751
834.934,225.446
833.146,226.067
831.352,226.645
829.614,227.212
828.000,227.800
826.573,228.441
825.399,229.166
824.538,230.006
823.987,230.970
823.689,232.051
823.587,233.241
823.623,234.533
823.739,235.917
823.877,237.388
823.980,238.935
823.990,240.552
823.870,242.227
823.616,243.937
823.225,245.664
822.695,247.387
822.022,249.084
821.206,250.735
820.244,252.319
819.132,253.816
817.869,255.205
816.453,256.465
814.880,257.575
813.154,258.523
811.293,259.319
809.319,259.978
807.254,260.516
805.119,260.948
802.936,261.289
800.727,261.556
798.513,261.763
796.317,261.925
794.160,262.059
792.065,262.180
790.051,262.303
788.142,262.444
786.357,262.616
784.686,262.823
783.098,263.061
781.563,263.322
780.051,263.604
778.531,263.899
776.972,264.203
775.343,264.511
773.615,264.817
771.757,265.117
769.738,265.405
767.531,265.675
765.138,265.926
762.583,266.157
759.892,266.366
757.088,266.552
754.196,266.714
751.241,266.852
748.246,266.964
745.237,267.049
742.237,267.106
739.271,267.135
736.364,267.134
733.540,267.103
730.823,267.039
728.238,266.943
725.810,266.813
723.562,266.648
721.519,266.447
719.685,266.214
718.027,265.958
716.504,265.692
715.079,265.427
713.711,265.174
712.361,264.945
710.992,264.752
709.562,264.607
708.035,264.519
706.370,264.503
704.549,264.560
702.581,264.685
700.478,264.871
698.250,265.110
695.908,265.395
693.464,265.719
690.929,266.075
688.314,266.455
685.631,266.853
682.890,267.260
680.103,267.671
677.280,268.077
674.434,268.472
671.575,268.848
668.714,269.198
665.863,269.514
663.030,269.793
660.220,270.035
657.433,270.243
654.672,270.422
651.938,270.574
649.232,270.702
646.557,270.811
643.914,270.903
641.304,270.982
638.730,271.050
636.192,271.112
633.694,271.171
631.235,271.229
628.819,271.291
626.447,271.359
624.119,271.437
621.839,271.528
619.605,271.632
617.412,271.744
615.256,271.856
613.131,271.962
611.032,272.055
608.954,272.130
606.891,272.179
604.839,272.196
602.791,272.175
600.744,272.109
598.692,271.991
596.630,271.815
594.551,271.575
592.453,271.264
590.337,270.884
588.209,270.437
586.073,269.928
583.936,269.361
581.803,268.739
579.680,268.067
577.571,267.348
575.483,266.587
573.422,265.786
571.391,264.950
569.398,264.083
567.447,263.189
565.544,262.271
563.694,261.333
561.898,260.380
560.152,259.414
558.456,258.439
556.806,257.458
555.200,256.476
553.635,255.495
552.110,254.519
550.621,253.551
549.167,252.595
547.746,251.655
546.354,250.734
544.990,249.835
543.649,248.957
542.327,248.100
541.021,247.261
539.727,246.438
538.439,245.628
537.153,244.831
535.866,244.044
534.574,243.265
533.271,242.493
531.955,241.725
530.628,240.967
529.294,240.227
527.959,239.512
526.627,238.831
525.304,238.190
523.993,237.597
522.700,237.060
521.429,236.587
520.187,236.186
518.983,235.843
517.839,235.523
516.775,235.186
515.812,234.793
514.972,234.307
514.276,233.687
513.742,232.897
513.365,231.936
513.115,230.837
512.961,229.636
512.871,228.367
512.816,227.065
512.763,225.764
512.682,224.500
512.545,223.302
512.352,222.167
512.108,221.082
511.821,220.033
511.498,219.005
511.147,217.986
510.775,216.960
510.388,215.915
509.995,214.848
509.604,213.760
509.222,212.654
508.858,211.533
508.519,210.397
508.213,209.251
507.949,208.095
507.729,206.936
507.539,205.788
507.368,204.668
507.202,203.591
507.028,202.573
506.831,201.630
506.599,200.776
506.325,200.013
506.015,199.307
505.675,198.626
505.311,197.934
504.932,197.198
504.551,196.394
504.208,195.524
503.940,194.594
503.790,193.609
503.796,192.576
504.000,191.500
