X,Y
515.000,216.000
516.059,215.224
517.534,214.695
519.368,214.382
521.503,214.255
523.885,214.283
526.456,214.436
529.160,214.684
531.940,214.997
534.739,215.344
537.503,215.695
540.173,216.020
542.709,216.296
545.121,216.528
547.431,216.724
549.660,216.893
551.829,217.044
553.959,217.186
556.071,217.329
558.186,217.481
560.326,217.651
562.511,217.849
564.762,218.083
567.088,218.358
569.477,218.671
571.917,219.020
574.396,219.401
576.901,219.811
579.419,220.248
581.937,220.708
584.443,221.188
586.924,221.686
589.367,222.197
591.761,222.720
594.092,223.252
596.361,223.791
598.582,224.341
600.770,224.906
602.939,225.486
605.104,226.087
607.279,226.709
609.478,227.357
611.717,228.034
614.010,228.741
616.372,229.483
618.816,230.261
621.347,231.076
623.950,231.924
626.611,232.799
629.315,233.697
632.046,234.614
634.789,235.544
637.529,236.482
640.252,237.424
642.941,238.365
645.582,239.301
648.161,240.226
650.660,241.135
653.066,242.025
655.370,242.892
657.586,243.741
659.732,244.582
661.828,245.420
663.893,246.265
665.947,247.122
668.009,248.000
670.097,248.906
672.231,249.848
674.430,250.833
676.714,251.869
679.098,252.962
681.575,254.105
684.131,255.289
686.752,256.503
689.423,257.738
692.130,258.984
694.859,260.231
697.596,261.468
700.326,262.687
703.035,263.876
705.708,265.026
708.332,266.128
710.891,267.170
713.372,268.143
715.767,269.045
718.082,269.891
720.329,270.699
722.516,271.487
724.654,272.274
726.753,273.079
728.822,273.919
730.872,274.813
732.912,275.779
734.953,276.836
737.004,278.002
739.070,279.290
741.137,280.692
743.185,282.194
745.193,283.781
747.143,285.440
749.014,287.158
750.787,288.920
752.441,290.713
753.958,292.522
755.317,294.335
756.498,296.137
757.484,297.914
758.283,299.667
758.931,301.405
759.466,303.140
759.924,304.883
760.344,306.645
760.761,308.437
761.214,310.271
761.739,312.157
762.370,314.105
763.105,316.110
763.903,318.151
764.727,320.206
765.536,322.256
766.292,324.278
766.955,326.252
767.487,328.157
767.848,329.973
767.999,331.677
767.906,333.255
767.581,334.718
767.054,336.096
766.356,337.417
765.518,338.707
764.570,339.996
763.544,341.311
762.469,342.678
761.365,344.109
760.242,345.593
759.109,347.121
757.974,348.682
756.846,350.269
755.734,351.870
754.647,353.476
753.593,355.077
752.581,356.663
751.605,358.214
750.644,359.698
749.673,361.079
748.669,362.326
747.608,363.404
746.467,364.279
745.222,364.918
743.859,365.301
742.423,365.500
740.985,365.623
739.617,365.782
738.388,366.084
737.369,366.640
736.628,367.552
736.145,368.811
735.831,370.308
735.592,371.931
735.337,373.568
734.971,375.107
734.402,376.436
733.541,377.446
732.392,378.140
731.060,378.630
729.651,379.037
728.274,379.479
727.036,380.074
726.044,380.943
725.379,382.174
724.988,383.719
724.780,385.488
724.663,387.392
724.547,389.340
724.341,391.243
723.953,393.012
723.292,394.557
722.277,395.796
720.934,396.745
719.359,397.481
717.647,398.080
715.896,398.621
714.200,399.180
712.658,399.836
711.364,400.666
710.407,401.741
709.770,403.051
709.366,404.535
709.110,406.130
708.915,407.774
708.694,409.405
708.360,410.960
707.827,412.376
707.048,413.612
706.041,414.660
704.833,415.519
703.452,416.185
701.925,416.656
700.278,416.928
698.538,416.999
696.737,416.893
694.911,416.677
693.099,416.429
691.340,416.222
689.670,416.132
688.129,416.233
686.755,416.602
685.586,417.311
684.620,418.367
683.807,419.683
683.091,421.166
682.417,422.723
681.729,424.260
680.971,425.684
680.089,426.902
679.035,427.838
677.819,428.499
676.463,428.924
674.991,429.151
673.428,429.216
671.798,429.158
670.126,429.013
668.430,428.817
666.714,428.585
664.971,428.331
663.197,428.065
661.389,427.800
659.540,427.548
657.647,427.319
655.704,427.127
653.708,426.983
651.656,426.893
649.550,426.857
647.397,426.868
645.200,426.922
642.964,427.014
640.694,427.139
638.393,427.292
636.068,427.469
633.722,427.665
631.359,427.875
628.986,428.094
626.606,428.314
624.227,428.522
621.855,428.705
619.499,428.851
617.164,428.946
614.857,428.979
612.586,428.936
610.357,428.804
608.177,428.571
606.053,428.224
603.992,427.750
601.993,427.153
600.050,426.451
598.155,425.663
596.300,424.808
594.478,423.905
592.682,422.972
590.905,422.029
589.138,421.094
587.375,420.187
585.608,419.325
583.835,418.507
582.053,417.727
580.262,416.977
578.460,416.250
576.644,415.538
574.814,414.835
572.969,414.132
571.106,413.423
569.224,412.701
567.327,411.962
565.426,411.212
563.532,410.454
561.656,409.692
559.810,408.930
558.005,408.174
556.251,407.426
554.561,406.692
552.945,405.975
551.412,405.272
549.960,404.550
548.587,403.770
547.289,402.893
546.064,401.879
544.908,400.690
543.818,399.287
542.790,397.630
541.821,395.704
540.909,393.540
540.049,391.179
539.239,388.659
538.474,386.020
537.752,383.300
537.068,380.539
536.420,377.776
535.804,375.050
535.216,372.400
534.654,369.866
534.114,367.487
533.592,365.296
533.087,363.284
532.597,361.422
532.122,359.679
531.661,358.027
531.212,356.435
530.775,354.875
530.348,353.316
529.930,351.728
529.520,350.090
529.114,348.393
528.709,346.634
528.301,344.808
527.888,342.910
527.465,340.935
527.030,338.879
526.578,336.738
526.107,334.506
525.613,332.181
525.095,329.771
524.554,327.288
523.989,324.748
523.399,322.162
522.786,319.544
522.149,316.909
521.489,314.268
520.804,311.637
520.096,309.027
519.363,306.453
518.607,303.928
517.826,301.465
517.025,299.073
516.209,296.754
515.389,294.504
514.572,292.324
513.766,290.211
512.981,288.166
512.224,286.186
511.504,284.271
510.829,282.419
510.209,280.630
509.651,278.903
509.162,277.243
508.749,275.663
508.419,274.174
508.178,272.787
508.033,271.513
507.990,270.364
508.054,269.347
508.209,268.418
508.427,267.497
508.677,266.504
508.932,265.361
509.162,263.994
509.361,262.409
509.529,260.651
509.668,258.766
509.780,256.800
509.868,254.801
509.932,252.815
509.975,250.887
509.999,249.066
510.009,247.385
510.025,245.830
510.070,244.374
510.167,242.987
510.342,241.641
510.616,240.308
511.014,238.959
511.546,237.571
512.172,236.138
512.839,234.660
513.498,233.136
514.095,231.565
514.579,229.946
514.899,228.279
515.003,226.561
514.889,224.809
514.646,223.062
514.374,221.367
514.174,219.768
514.144,218.311
514.386,217.040
515.000,216.000
