X	Y
17.796	4.697
17.824	4.676
17.854	4.656
17.888	4.636
17.924	4.618
17.964	4.600
18.005	4.583
18.050	4.567
18.096	4.551
18.145	4.536
18.196	4.521
18.249	4.506
18.304	4.492
18.361	4.479
18.419	4.465
18.479	4.452
18.540	4.439
18.603	4.425
18.666	4.412
18.731	4.399
18.797	4.385
18.864	4.372
18.931	4.358
18.999	4.344
19.067	4.329
19.136	4.314
19.205	4.298
19.275	4.282
19.344	4.266
19.413	4.248
19.482	4.230
19.551	4.211
19.621	4.192
19.690	4.172
19.759	4.152
19.828	4.131
19.897	4.109
19.967	4.087
20.036	4.064
20.105	4.041
20.174	4.018
20.243	3.994
20.313	3.969
20.382	3.944
20.451	3.918
20.521	3.893
20.590	3.866
20.659	3.840
20.729	3.812
20.798	3.785
20.868	3.757
20.937	3.729
21.007	3.701
21.077	3.672
21.146	3.643
21.216	3.613
21.286	3.584
21.356	3.554
21.426	3.524
21.496	3.493
21.566	3.463
21.636	3.432
21.707	3.401
21.777	3.370
21.848	3.338
21.918	3.307
21.989	3.275
22.059	3.244
22.130	3.212
22.201	3.180
22.272	3.148
22.343	3.116
22.414	3.084
22.484	3.052
22.555	3.020
22.626	2.988
22.697	2.956
22.768	2.923
22.839	2.891
22.910	2.859
22.981	2.827
23.051	2.796
23.122	2.764
23.193	2.732
23.263	2.700
23.334	2.669
23.404	2.638
23.474	2.607
23.545	2.576
23.615	2.545
23.685	2.514
23.754	2.484
23.824	2.454
23.894	2.424
23.963	2.394
24.032	2.365
24.102	2.335
24.170	2.307
24.239	2.278
24.308	2.250
24.376	2.222
24.444	2.194
24.512	2.167
24.580	2.140
24.648	2.114
24.715	2.088
24.783	2.062
24.850	2.037
24.918	2.012
24.985	1.988
25.052	1.963
25.120	1.940
25.187	1.917
25.255	1.894
25.322	1.872
25.390	1.850
25.458	1.829
25.525	1.808
25.593	1.788
25.662	1.768
25.730	1.749
25.799	1.730
25.868	1.712
25.937	1.694
26.006	1.677
26.076	1.660
26.146	1.644
26.216	1.629
26.287	1.614
26.358	1.600
26.430	1.586
26.502	1.574
26.574	1.561
26.647	1.549
26.721	1.538
26.795	1.528
26.869	1.518
26.944	1.509
27.019	1.500
27.095	1.493
27.171	1.485
27.247	1.478
27.324	1.472
27.400	1.467
27.477	1.462
27.554	1.457
27.631	1.453
27.708	1.449
27.785	1.446
27.861	1.444
27.938	1.442
28.015	1.440
28.091	1.439
28.167	1.438
28.243	1.438
28.318	1.438
28.393	1.438
28.468	1.439
28.542	1.440
28.615	1.441
28.688	1.443
28.761	1.445
28.832	1.448
28.903	1.450
28.974	1.454
29.043	1.457
29.112	1.460
29.180	1.464
29.247	1.468
29.313	1.472
29.378	1.477
29.442	1.481
29.504	1.486
29.566	1.492
29.626	1.498
29.685	1.504
29.743	1.511
29.799	1.519
29.854	1.527
29.907	1.536
29.958	1.547
30.008	1.558
30.055	1.571
30.101	1.584
30.145	1.599
30.187	1.616
30.227	1.633
30.265	1.653
30.300	1.674
30.334	1.696
30.364	1.721
30.393	1.747
30.419	1.775
30.442	1.806
30.463	1.838
30.481	1.872
30.497	1.909
30.511	1.947
30.522	1.987
30.531	2.028
