X	Y
17.706	6.083
17.730	6.059
17.760	6.037
17.796	6.016
17.837	5.996
17.883	5.978
17.934	5.961
17.989	5.945
18.049	5.930
18.113	5.916
18.180	5.903
18.251	5.892
18.325	5.881
18.402	5.871
18.482	5.862
18.564	5.854
18.649	5.847
18.735	5.840
18.823	5.834
18.912	5.829
19.003	5.825
19.095	5.821
19.187	5.818
19.279	5.815
19.372	5.813
19.465	5.811
19.557	5.810
19.649	5.809
19.740	5.809
19.831	5.810
19.922	5.810
20.012	5.812
20.102	5.814
20.192	5.817
20.281	5.821
20.369	5.825
20.458	5.831
20.546	5.837
20.633	5.844
20.720	5.852
20.807	5.860
20.893	5.870
20.979	5.881
21.064	5.893
21.149	5.906
21.233	5.921
21.317	5.936
21.401	5.953
21.484	5.971
21.566	5.990
21.648	6.011
21.730	6.033
21.811	6.056
21.892	6.081
21.972	6.107
22.051	6.135
22.130	6.165
22.209	6.196
22.287	6.228
22.364	6.262
22.441	6.297
22.517	6.333
22.592	6.370
22.666	6.409
22.740	6.448
22.813	6.488
22.884	6.529
22.955	6.571
23.025	6.613
23.094	6.656
23.162	6.699
23.228	6.743
23.294	6.787
23.358	6.831
23.421	6.876
23.483	6.921
23.543	6.965
23.602	7.010
23.660	7.054
23.716	7.098
23.770	7.142
23.823	7.185
23.875	7.228
23.925	7.271
23.973	7.312
24.019	7.354
24.064	7.395
24.108	7.436
24.149	7.476
24.190	7.517
24.228	7.558
24.265	7.599
24.300	7.640
24.334	7.682
24.367	7.724
24.397	7.767
24.427	7.811
24.454	7.856
24.480	7.902
24.505	7.949
24.528	7.997
24.550	8.047
24.570	8.098
24.589	8.150
24.606	8.205
24.622	8.260
24.636	8.317
24.649	8.375
24.660	8.434
24.669	8.494
24.677	8.554
24.683	8.616
24.687	8.677
24.689	8.740
24.689	8.802
24.688	8.865
24.684	8.928
24.679	8.991
24.671	9.053
24.662	9.116
24.650	9.178
24.637	9.239
24.621	9.300
24.603	9.360
24.583	9.419
24.560	9.477
24.536	9.534
24.509	9.591
24.481	9.646
24.451	9.700
24.418	9.753
24.384	9.806
24.349	9.857
24.311	9.906
24.273	9.955
24.232	10.003
24.190	10.049
24.147	10.094
24.103	10.138
24.057	10.180
24.010	10.221
23.962	10.261
23.913	10.300
23.863	10.337
23.812	10.372
23.761	10.406
23.708	10.439
23.655	10.470
23.601	10.500
23.547	10.529
23.492	10.556
23.437	10.581
23.382	10.606
23.326	10.629
23.270	10.650
23.215	10.671
23.159	10.690
23.103	10.708
23.047	10.725
22.992	10.741
22.937	10.755
22.882	10.768
22.828	10.781
22.774	10.792
22.721	10.802
22.668	10.811
22.616	10.819
22.565	10.827
22.515	10.834
22.466	10.840
22.418	10.847
22.371	10.854
22.325	10.862
22.281	10.870
22.237	10.880
22.195	10.890
22.154	10.903
22.114	10.917
22.077	10.934
22.040	10.952
22.005	10.974
21.972	10.998
21.941	11.025
21.910	11.055
21.881	11.088
21.853	11.122
21.825	11.158
21.798	11.196
21.771	11.234
21.743	11.274
21.715	11.314
21.686	11.354
21.656	11.394
21.625	11.434
21.593	11.472
21.558	11.510
21.522	11.547
21.483	11.582
21.442	11.615
21.398	11.645
21.352	11.674
21.304	11.701
21.254	11.727
21.202	11.750
21.149	11.773
21.094	11.793
21.039	11.812
20.982	11.830
20.925	11.847
20.868	11.862
20.810	11.876
20.753	11.890
20.696	11.902
20.639	11.914
20.582	11.925
20.527	11.935
20.473	11.944
20.420	11.954
20.369	11.962
20.318	11.971
20.270	11.978
20.222	11.985
20.174	11.990
20.128	11.994
20.082	11.996
20.036	11.997
19.990	11.996
19.944	11.993
19.897	11.987
19.850	11.979
19.803	11.968
19.754	11.954
19.705	11.937
19.654	11.917
19.601	11.893
19.547	11.866
19.492	11.835
19.435	11.801
19.377	11.764
19.318	11.723
19.259	11.680
19.199	11.633
19.139	11.585
19.079	11.533
19.019	11.480
18.959	11.424
18.900	11.366
18.842	11.306
18.784	11.244
18.728	11.181
18.673	11.116
18.620	11.050
18.568	10.983
18.518	10.914
18.471	10.845
18.426	10.775
18.383	10.705
18.343	10.634
18.306	10.563
18.272	10.492
18.241	10.420
18.214	10.349
18.191	10.278
18.171	10.208
18.154	10.137
18.140	10.068
18.129	9.998
18.120	9.929
18.113	9.860
18.107	9.792
18.104	9.725
18.101	9.657
18.100	9.591
18.100	9.525
18.099	9.460
18.100	9.395
18.100	9.331
18.099	9.267
18.098	9.205
18.097	9.143
18.094	9.082
18.089	9.022
18.084	8.962
18.076	8.904
18.066	8.846
18.053	8.789
18.039	8.733
18.022	8.678
18.004	8.624
17.984	8.570
17.963	8.517
17.941	8.465
17.919	8.413
17.895	8.362
17.871	8.311
17.847	8.261
17.824	8.211
17.800	8.161
17.777	8.112
17.755	8.063
17.734	8.015
17.714	7.966
17.696	7.918
17.679	7.869
17.664	7.821
17.651	7.773
17.640	7.724
17.630	7.676
17.622	7.629
17.616	7.581
17.611	7.534
17.607	7.487
17.605	7.440
17.603	7.394
17.603	7.348
17.604	7.302
17.605	7.257
17.607	7.213
17.610	7.169
17.614	7.126
17.618	7.084
17.622	7.042
17.626	7.001
17.631	6.961
17.636	6.921
17.642	6.883
17.647	6.845
17.652	6.808
17.657	6.773
17.662	6.738
17.666	6.704
17.670	6.671
17.674	6.640
17.677	6.609
17.680	6.580
17.682	6.551
17.683	6.523
17.684	6.496
17.684	6.469
17.683	6.442
17.682	6.415
17.680	6.388
17.676	6.360
17.672	6.332
17.668	6.303
17.664	6.274
17.661	6.246
17.660	6.217
17.661	6.188
17.666	6.161
17.674	6.134
17.687	6.107
17.706	6.083
