X	Y
4.784	2.591
4.790	2.584
4.797	2.578
4.805	2.572
4.815	2.567
4.826	2.562
4.838	2.557
4.851	2.553
4.865	2.549
4.880	2.545
4.896	2.541
4.912	2.536
4.929	2.532
4.946	2.528
4.964	2.524
4.982	2.519
5.001	2.514
5.019	2.508
5.037	2.502
5.056	2.496
5.074	2.489
5.093	2.482
5.111	2.474
5.129	2.466
5.148	2.457
5.166	2.448
5.185	2.438
5.203	2.428
5.222	2.418
5.240	2.408
5.259	2.397
5.278	2.386
5.297	2.374
5.316	2.362
5.336	2.350
5.355	2.338
5.375	2.326
5.395	2.313
5.415	2.300
5.436	2.287
5.457	2.274
5.478	2.261
5.499	2.248
5.521	2.235
5.543	2.221
5.565	2.208
5.588	2.194
5.611	2.181
5.635	2.168
5.659	2.154
5.683	2.141
5.708	2.128
5.733	2.114
5.759	2.101
5.784	2.088
5.811	2.074
5.837	2.061
5.864	2.048
5.891	2.035
5.919	2.022
5.947	2.009
5.975	1.996
6.003	1.983
6.032	1.970
6.061	1.957
6.091	1.944
6.120	1.932
6.150	1.919
6.181	1.906
6.211	1.894
6.242	1.882
6.273	1.869
6.304	1.857
6.336	1.845
6.367	1.833
6.399	1.821
6.432	1.809
6.464	1.797
6.497	1.785
6.530	1.774
6.563	1.762
6.596	1.751
6.630	1.740
6.663	1.729
6.697	1.718
6.731	1.707
6.765	1.696
6.800	1.685
6.834	1.675
6.869	1.664
6.904	1.654
6.939	1.644
6.974	1.634
7.009	1.624
7.044	1.615
7.079	1.605
7.114	1.596
7.150	1.587
7.185	1.578
7.220	1.569
7.256	1.560
7.291	1.551
7.326	1.543
7.362	1.535
7.397	1.527
7.432	1.519
7.467	1.512
7.502	1.504
7.537	1.497
7.572	1.490
7.606	1.483
7.641	1.476
7.675	1.470
7.710	1.464
7.744	1.458
7.778	1.452
7.811	1.446
7.845	1.441
7.878	1.436
7.911	1.431
7.944	1.426
7.976	1.422
8.009	1.418
8.041	1.414
8.072	1.410
8.104	1.406
8.135	1.403
8.166	1.400
8.196	1.397
8.226	1.395
8.256	1.393
8.285	1.391
8.314	1.389
8.342	1.388
8.370	1.387
8.398	1.387
8.425	1.387
8.452	1.388
8.478	1.389
8.503	1.391
8.528	1.393
8.552	1.396
8.576	1.399
8.599	1.403
8.622	1.408
8.644	1.413
8.665	1.420
8.685	1.427
8.705	1.434
8.724	1.443
8.742	1.452
8.760	1.463
8.777	1.474
8.793	1.486
8.808	1.499
8.822	1.513
8.836	1.528
8.848	1.544
8.860	1.561
8.871	1.580
8.881	1.598
8.890	1.618
8.898	1.639
8.906	1.660
8.913	1.682
8.919	1.704
8.925	1.727
8.930	1.750
8.934	1.774
8.937	1.798
8.940	1.822
8.943	1.847
8.945	1.871
8.946	1.896
8.947	1.920
8.947	1.944
8.947	1.969
8.946	1.993
8.945	2.016
8.944	2.040
8.942	2.063
8.940	2.085
8.937	2.107
8.934	2.128
8.931	2.149
8.928	2.169
8.924	2.188
8.920	2.206
8.915	2.224
8.910	2.242
8.905	2.258
8.900	2.275
8.893	2.290
8.887	2.306
8.880	2.320
8.872	2.335
8.864	2.349
8.855	2.363
8.846	2.376
8.836	2.390
8.825	2.403
8.813	2.416
8.801	2.428
8.788	2.441
8.775	2.454
8.760	2.466
8.745	2.479
8.729	2.491
8.712	2.504
8.695	2.516
8.676	2.529
8.658	2.541
8.638	2.553
8.618	2.566
8.597	2.578
8.576	2.590
8.554	2.602
8.532	2.614
8.510	2.626
8.487	2.638
8.463	2.649
8.440	2.661
8.416	2.672
8.392	2.683
8.367	2.694
8.342	2.705
