X	Y
833.000	300.000
833.840	298.949
834.812	297.915
835.911	296.898
837.132	295.897
838.469	294.910
839.919	293.938
841.477	292.978
843.136	292.030
844.894	291.093
846.744	290.166
848.682	289.249
850.702	288.340
852.801	287.439
854.973	286.544
857.213	285.655
859.517	284.770
861.880	283.890
864.296	283.012
866.761	282.137
869.269	281.263
871.817	280.389
874.399	279.514
877.011	278.638
879.647	277.759
882.302	276.877
884.973	275.991
887.653	275.100
890.337	274.202
893.023	273.298
895.703	272.386
898.373	271.465
901.029	270.534
903.666	269.593
906.278	268.640
908.862	267.675
911.413	266.698
913.935	265.708
916.429	264.708
918.896	263.697
921.340	262.677
923.760	261.648
926.160	260.612
928.541	259.568
930.906	258.519
933.255	257.464
935.590	256.405
937.915	255.343
940.230	254.278
942.537	253.210
944.838	252.142
947.135	251.074
949.431	250.006
951.725	248.939
954.022	247.875
956.322	246.814
958.627	245.756
960.939	244.704
963.260	243.657
965.593	242.616
967.937	241.583
970.297	240.558
972.672	239.541
975.066	238.534
977.480	237.538
979.916	236.553
982.376	235.581
984.862	234.621
987.375	233.676
989.917	232.745
992.490	231.829
995.097	230.930
997.738	230.048
1000.417	229.184
1003.133	228.339
1005.888	227.512
1008.680	226.704
1011.508	225.912
1014.371	225.138
1017.268	224.380
1020.197	223.637
1023.158	222.909
1026.149	222.196
1029.170	221.497
1032.220	220.811
1035.296	220.137
1038.399	219.476
1041.527	218.826
1044.679	218.187
1047.853	217.559
1051.050	216.940
1054.267	216.330
1057.504	215.729
1060.759	215.136
1064.032	214.550
1067.321	213.971
1070.626	213.398
1073.944	212.831
1077.276	212.269
1080.620	211.711
1083.974	211.157
1087.339	210.607
1090.712	210.059
1094.092	209.513
1097.480	208.968
1100.872	208.425
1104.269	207.882
1107.670	207.338
1111.072	206.794
1114.476	206.248
1117.879	205.700
1121.282	205.150
1124.682	204.596
1128.079	204.038
1131.471	203.476
1134.859	202.909
1138.239	202.337
1141.612	201.758
1144.976	201.173
1148.330	200.580
1151.674	199.979
1155.005	199.370
1158.324	198.752
1161.628	198.124
1164.920	197.488
1168.200	196.844
1171.467	196.192
1174.724	195.534
1177.969	194.869
1181.205	194.198
1184.431	193.522
1187.647	192.841
1190.856	192.157
1194.056	191.469
1197.249	190.778
1200.435	190.085
1203.615	189.390
1206.790	188.694
1209.959	187.997
1213.124	187.301
1216.284	186.605
1219.442	185.910
1222.596	185.217
1225.748	184.526
1228.899	183.838
1232.048	183.154
1235.196	182.474
1238.345	181.798
1241.494	181.128
1244.644	180.463
1247.796	179.805
1250.950	179.154
1254.107	178.510
1257.267	177.875
1260.431	177.248
1263.599	176.630
1266.772	176.023
1269.951	175.425
1273.136	174.839
1276.328	174.264
1279.527	173.702
1282.734	173.152
1285.949	172.616
1289.174	172.093
1292.407	171.585
1295.651	171.092
1298.905	170.615
1302.171	170.154
1305.448	169.709
1308.738	169.282
1312.040	168.873
1315.356	168.483
1318.682	168.111
1322.019	167.758
1325.365	167.426
1328.718	167.113
1332.077	166.820
1335.442	166.548
1338.809	166.297
1342.179	166.068
1345.550	165.860
1348.920	165.674
1352.288	165.512
1355.653	165.372
1359.013	165.255
1362.368	165.162
1365.715	165.093
1369.054	165.048
1372.383	165.029
1375.701	165.034
1379.006	165.065
1382.297	165.122
1385.573	165.205
1388.833	165.315
1392.074	165.452
1395.297	165.616
1398.498	165.808
1401.678	166.028
1404.835	166.277
1407.967	166.554
1411.073	166.861
1414.152	167.197
1417.202	167.564
1420.222	167.961
1423.211	168.388
1426.167	168.847
1429.090	169.337
1431.977	169.859
1434.828	170.413
1437.640	171.000
1440.413	171.620
1443.146	172.273
1445.837	172.960
1448.484	173.681
1451.087	174.436
1453.644	175.226
1456.153	176.052
1458.614	176.913
1461.028	177.808
1463.394	178.738
1465.714	179.702
1467.989	180.698
1470.218	181.726
1472.403	182.785
1474.545	183.876
1476.645	184.996
1478.702	186.146
1480.718	187.325
1482.693	188.531
1484.629	189.765
1486.525	191.025
1488.384	192.312
1490.204	193.624
1491.988	194.960
1493.735	196.320
1495.447	197.704
1497.125	199.110
1498.768	200.538
1500.378	201.987
1501.956	203.456
1503.501	204.946
1505.016	206.454
1506.500	207.981
1507.955	209.526
1509.381	211.088
1510.778	212.666
1512.148	214.260
1513.492	215.869
1514.809	217.493
1516.101	219.130
1517.368	220.780
1518.609	222.444
1519.822	224.120
1521.004	225.808
1522.156	227.510
1523.274	229.224
1524.357	230.950
1525.403	232.688
1526.412	234.439
1527.380	236.202
1528.307	237.976
1529.190	239.763
1530.029	241.561
1530.821	243.371
1531.564	245.192
1532.257	247.025
1532.899	248.869
1533.487	250.725
1534.020	252.591
1534.496	254.468
1534.913	256.357
1535.271	258.255
1535.566	260.165
1535.798	262.085
1535.964	264.016
1536.064	265.956
1536.095	267.907
1536.055	269.868
1535.944	271.839
1535.760	273.820
1535.507	275.810
1535.185	277.809
1534.797	279.816
1534.345	281.830
1533.830	283.852
1533.256	285.880
1532.624	287.914
1531.935	289.954
1531.192	292.000
1530.397	294.050
1529.552	296.104
1528.660	298.161
1527.720	300.222
1526.737	302.285
1525.712	304.351
