X	Y
827.000	341.000
828.036	340.134
829.213	339.333
830.529	338.596
831.980	337.921
833.563	337.307
835.274	336.753
837.111	336.257
839.069	335.818
841.146	335.434
843.338	335.106
845.641	334.830
848.053	334.606
850.570	334.432
853.189	334.307
855.906	334.230
858.718	334.199
861.622	334.213
864.614	334.271
867.692	334.372
870.850	334.513
874.088	334.694
877.400	334.913
880.783	335.170
884.235	335.462
887.752	335.788
891.331	336.148
894.968	336.539
898.660	336.960
902.403	337.411
906.195	337.889
910.031	338.393
913.909	338.923
917.825	339.476
921.776	340.052
925.759	340.648
929.769	341.265
933.805	341.899
937.862	342.551
941.937	343.218
946.027	343.900
950.128	344.595
954.238	345.301
958.352	346.018
962.468	346.743
966.581	347.477
970.690	348.217
974.790	348.962
978.878	349.710
982.954	350.463
987.018	351.218
991.069	351.978
995.108	352.740
999.134	353.506
1003.147	354.275
1007.147	355.047
1011.134	355.823
1015.108	356.601
1019.068	357.383
1023.015	358.167
1026.948	358.954
1030.868	359.744
1034.774	360.537
1038.666	361.332
1042.544	362.130
1046.408	362.931
1050.257	363.734
1054.092	364.539
1057.913	365.347
1061.718	366.157
1065.509	366.970
1069.285	367.784
1073.047	368.601
1076.792	369.419
1080.523	370.240
1084.238	371.062
1087.938	371.887
1091.622	372.713
1095.290	373.541
1098.943	374.370
1102.579	375.201
1106.199	376.034
1109.803	376.868
1113.391	377.703
1116.962	378.540
1120.517	379.378
1124.055	380.218
1127.576	381.058
1131.080	381.900
1134.567	382.742
1138.036	383.586
1141.489	384.430
1144.923	385.275
1148.341	386.121
1151.740	386.968
1155.122	387.815
1158.486	388.663
1161.832	389.512
1165.159	390.361
1168.469	391.210
1171.759	392.059
1175.032	392.909
1178.285	393.759
1181.520	394.609
1184.736	395.460
1187.933	396.310
1191.113	397.161
1194.275	398.012
1197.420	398.865
1200.549	399.718
1203.662	400.573
1206.761	401.429
1209.845	402.287
1212.916	403.147
1215.974	404.010
1219.020	404.874
1222.053	405.742
1225.076	406.613
1228.088	407.486
1231.091	408.363
1234.084	409.244
1237.068	410.129
1240.045	411.018
1243.014	411.911
1245.977	412.809
1248.933	413.711
1251.884	414.619
1254.830	415.532
1257.772	416.451
1260.711	417.375
1263.646	418.305
1266.579	419.241
1269.511	420.184
1272.441	421.134
1275.371	422.090
1278.301	423.054
1281.232	424.025
1284.165	425.003
1287.099	425.990
1290.036	426.984
1292.977	427.987
1295.921	428.999
1298.871	430.019
1301.825	431.048
1304.785	432.087
1307.752	433.135
1310.725	434.192
1313.707	435.260
1316.697	436.337
1319.696	437.426
1322.704	438.524
1325.723	439.634
1328.750	440.755
1331.785	441.888
1334.824	443.033
1337.866	444.192
1340.908	445.364
1343.948	446.551
1346.984	447.752
1350.013	448.969
1353.033	450.201
1356.042	451.451
1359.038	452.717
1362.018	454.002
1364.980	455.304
1367.922	456.626
1370.842	457.967
1373.736	459.329
1376.604	460.711
1379.443	462.115
1382.250	463.540
1385.024	464.988
1387.762	466.460
1390.461	467.955
1393.120	469.474
1395.736	471.018
1398.307	472.587
1400.831	474.183
1403.305	475.805
1405.728	477.455
1408.096	479.132
1410.408	480.838
1412.662	482.573
1414.855	484.337
1416.985	486.132
1419.049	487.957
1421.046	489.814
1422.972	491.703
1424.827	493.624
1426.608	495.579
1428.311	497.567
1429.936	499.589
1431.480	501.647
1432.940	503.740
1434.314	505.869
1435.601	508.035
1436.799	510.236
