X	Y
8.761	4.761
8.772	4.745
8.785	4.728
8.799	4.710
8.814	4.692
8.831	4.672
8.850	4.652
8.870	4.632
8.891	4.611
8.914	4.589
8.938	4.567
8.963	4.545
8.989	4.521
9.016	4.498
9.044	4.474
9.074	4.450
9.104	4.425
9.135	4.400
9.167	4.375
9.199	4.349
9.233	4.324
9.266	4.298
9.301	4.272
9.336	4.246
9.372	4.219
9.408	4.193
9.444	4.167
9.481	4.140
9.518	4.114
9.555	4.088
9.592	4.061
9.630	4.035
9.667	4.009
9.705	3.984
9.742	3.958
9.780	3.933
9.817	3.907
9.854	3.883
9.891	3.858
9.927	3.834
9.963	3.810
9.999	3.787
10.034	3.764
10.068	3.742
10.103	3.720
10.136	3.698
10.169	3.678
10.201	3.657
10.233	3.637
10.264	3.618
10.295	3.598
10.325	3.579
10.355	3.561
10.385	3.543
10.414	3.525
10.443	3.507
10.472	3.489
10.500	3.472
10.529	3.455
10.556	3.438
10.584	3.421
10.612	3.404
10.639	3.387
10.667	3.371
10.694	3.354
10.722	3.337
10.749	3.320
10.776	3.303
10.804	3.286
10.831	3.269
10.859	3.251
10.887	3.234
10.915	3.216
10.943	3.198
10.972	3.179
11.000	3.161
11.029	3.142
11.059	3.122
11.088	3.103
11.118	3.082
11.149	3.062
11.180	3.041
11.211	3.019
11.243	2.997
11.275	2.974
11.308	2.951
11.341	2.928
11.375	2.903
11.410	2.879
11.444	2.854
11.479	2.828
11.515	2.802
11.551	2.776
11.587	2.749
11.624	2.722
11.661	2.695
11.698	2.667
11.736	2.639
11.773	2.611
11.811	2.583
11.850	2.554
11.888	2.526
11.927	2.497
11.966	2.468
12.005	2.439
12.045	2.409
12.084	2.380
12.124	2.351
12.163	2.321
12.203	2.292
12.243	2.262
12.283	2.233
12.323	2.203
12.363	2.174
12.402	2.145
12.442	2.116
12.482	2.087
12.522	2.058
12.562	2.029
12.602	2.001
12.641	1.973
12.681	1.945
12.720	1.917
12.759	1.889
12.798	1.862
12.837	1.835
12.876	1.809
12.914	1.783
12.952	1.757
12.990	1.732
13.028	1.707
13.065	1.682
13.102	1.658
13.139	1.635
13.175	1.612
13.211	1.590
13.247	1.568
13.282	1.546
13.317	1.526
13.351	1.505
13.385	1.486
13.419	1.467
13.452	1.448
13.485	1.430
13.518	1.412
13.550	1.395
13.582	1.379
13.614	1.362
13.645	1.347
13.676	1.331
13.707	1.317
13.737	1.302
13.767	1.288
13.797	1.275
13.827	1.261
13.856	1.249
13.885	1.236
13.913	1.224
13.942	1.212
13.970	1.201
13.997	1.190
14.025	1.180
14.052	1.169
14.079	1.159
14.106	1.150
14.132	1.140
14.158	1.131
14.184	1.122
14.210	1.114
14.235	1.105
14.261	1.097
14.286	1.089
14.311	1.082
14.335	1.074
14.360	1.067
14.384	1.061
14.408	1.054
14.431	1.048
14.455	1.043
14.477	1.038
14.500	1.033
14.522	1.030
14.544	1.027
14.565	1.024
14.585	1.023
14.606	1.023
14.625	1.023
14.644	1.025
14.663	1.027
14.681	1.031
14.698	1.036
14.714	1.042
14.730	1.049
14.745	1.058
14.759	1.068
14.773	1.080
14.786	1.093
14.798	1.107
14.809	1.123
14.819	1.141
14.829	1.159
14.838	1.179
14.847	1.200
14.855	1.222
14.862	1.245
14.869	1.269
14.876	1.293
14.882	1.319
14.888	1.345
14.893	1.372
14.898	1.399
14.903	1.427
14.907	1.455
14.912	1.484
14.916	1.513
14.920	1.542
14.923	1.571
14.927	1.601
14.931	1.630
14.935	1.660
14.938	1.689
14.942	1.718
14.946	1.747
14.950	1.776
14.954	1.804
14.958	1.831
14.963	1.859
14.968	1.886
14.973	1.912
14.978	1.939
14.983	1.964
14.988	1.990
14.994	2.016
15.000	2.041
15.006	2.066
15.012	2.091
15.018	2.115
15.024	2.140
15.030	2.165
15.036	2.189
15.043	2.214
15.049	2.239
15.056	2.263
15.062	2.288
15.069	2.313
15.076	2.338
15.082	2.364
15.089	2.389
15.096	2.415
15.103	2.441
15.109	2.468
15.116	2.494
15.123	2.522
15.129	2.549
15.136	2.577
15.142	2.606
15.149	2.635
15.155	2.664
15.162	2.694
15.168	2.724
15.174	2.755
15.180	2.786
15.186	2.818
15.192	2.849
15.198	2.881
15.203	2.914
15.209	2.946
15.214	2.979
15.219	3.012
15.225	3.046
15.229	3.079
15.234	3.113
15.239	3.146
15.243	3.180
