X	Y
8.807	5.216
8.818	5.203
8.830	5.189
8.842	5.177
8.856	5.165
8.870	5.153
8.885	5.141
8.901	5.130
8.918	5.119
8.935	5.108
8.954	5.098
8.973	5.088
8.993	5.079
9.014	5.070
9.036	5.061
9.059	5.053
9.082	5.045
9.107	5.038
9.132	5.030
9.158	5.024
9.185	5.017
9.212	5.011
9.241	5.006
9.270	5.000
9.301	4.996
9.332	4.991
9.363	4.987
9.396	4.983
9.429	4.980
9.464	4.977
9.498	4.974
9.534	4.972
9.570	4.970
9.607	4.968
9.644	4.967
9.682	4.966
9.721	4.965
9.760	4.964
9.800	4.964
9.840	4.964
9.880	4.964
9.921	4.965
9.963	4.966
10.005	4.967
10.047	4.968
10.090	4.969
10.132	4.971
10.176	4.973
10.219	4.975
10.263	4.977
10.307	4.980
10.351	4.982
10.396	4.985
10.441	4.988
10.485	4.991
10.530	4.994
10.575	4.998
10.620	5.001
10.666	5.005
10.711	5.008
10.756	5.012
10.801	5.016
10.846	5.020
10.891	5.024
10.936	5.028
10.981	5.032
11.026	5.037
11.071	5.041
11.115	5.045
11.160	5.049
11.204	5.054
11.248	5.058
11.292	5.063
11.335	5.067
11.379	5.072
11.422	5.077
11.466	5.081
11.509	5.086
11.551	5.091
11.594	5.096
11.637	5.101
11.679	5.106
11.721	5.112
11.763	5.117
11.805	5.122
11.846	5.128
11.887	5.133
11.928	5.139
11.969	5.145
12.010	5.151
12.050	5.157
12.090	5.163
12.130	5.169
12.170	5.175
12.209	5.181
12.249	5.188
12.288	5.194
12.326	5.201
12.365	5.208
12.403	5.215
12.441	5.222
12.479	5.229
12.516	5.237
12.553	5.244
12.590	5.252
12.627	5.259
12.663	5.267
12.699	5.275
12.735	5.283
12.770	5.292
12.806	5.300
12.841	5.309
12.875	5.317
12.909	5.326
12.944	5.335
12.977	5.345
13.011	5.354
13.044	5.364
13.077	5.374
13.110	5.384
13.143	5.395
13.175	5.405
13.207	5.416
13.239	5.427
13.271	5.439
13.303	5.451
13.334	5.463
13.365	5.475
13.396	5.488
13.427	5.501
13.457	5.514
13.488	5.528
13.518	5.541
13.548	5.556
13.578	5.571
13.608	5.586
13.638	5.601
13.667	5.617
13.697	5.633
13.726	5.650
13.755	5.667
13.784	5.684
13.813	5.702
13.842	5.720
13.871	5.739
13.899	5.758
13.928	5.778
13.956	5.798
13.984	5.819
14.011	5.839
14.039	5.860
14.066	5.882
14.092	5.903
14.118	5.925
14.144	5.947
14.169	5.970
14.194	5.992
14.217	6.015
14.241	6.037
14.263	6.060
14.285	6.083
14.306	6.106
14.326	6.129
14.345	6.152
14.363	6.175
14.381	6.198
14.397	6.221
14.412	6.244
14.426	6.267
14.439	6.289
14.451	6.312
