X,Y
9.136,3.489
9.148,3.478
9.162,3.470
9.180,3.464
9.201,3.459
9.224,3.454
9.248,3.451
9.274,3.447
9.301,3.442
9.329,3.437
9.357,3.431
9.385,3.423
9.412,3.413
9.438,3.400
9.464,3.385
9.488,3.368
9.511,3.349
9.534,3.328
9.556,3.306
9.577,3.284
9.598,3.261
9.619,3.237
9.639,3.214
9.659,3.191
9.679,3.169
9.699,3.148
9.719,3.129
9.739,3.111
9.760,3.095
9.780,3.081
9.801,3.069
9.823,3.059
9.845,3.051
9.867,3.043
9.890,3.037
9.913,3.032
9.936,3.027
9.960,3.023
9.985,3.019
10.010,3.015
10.036,3.011
10.063,3.007
10.090,3.002
10.118,2.997
10.146,2.992
10.175,2.987
10.205,2.981
10.236,2.975
10.267,2.969
10.299,2.962
10.332,2.955
10.366,2.947
10.400,2.940
10.436,2.932
10.472,2.923
10.509,2.915
10.547,2.906
10.586,2.896
10.626,2.886
10.666,2.876
10.708,2.866
10.750,2.855
10.792,2.844
10.836,2.833
10.880,2.821
10.924,2.810
10.969,2.797
11.014,2.785
11.060,2.772
11.106,2.759
11.152,2.746
11.198,2.732
11.244,2.719
11.290,2.705
11.336,2.690
11.382,2.676
11.428,2.661
11.474,2.646
11.519,2.631
11.564,2.616
11.609,2.601
11.653,2.585
11.696,2.569
11.740,2.553
11.782,2.537
11.825,2.521
11.867,2.505
11.909,2.489
11.950,2.472
11.991,2.456
12.032,2.440
12.073,2.424
12.114,2.408
12.155,2.392
12.195,2.376
12.236,2.360
12.276,2.345
12.317,2.329
12.358,2.314
12.398,2.300
12.439,2.285
12.481,2.271
12.522,2.257
12.564,2.244
12.606,2.231
12.648,2.218
12.690,2.205
12.733,2.193
12.776,2.181
12.819,2.170
12.862,2.158
12.905,2.147
12.949,2.136
12.992,2.124
13.035,2.113
13.078,2.102
13.121,2.091
13.164,2.079
13.206,2.068
13.249,2.056
13.291,2.044
13.333,2.032
13.374,2.019
13.415,2.007
13.456,1.993
13.496,1.980
13.535,1.965
13.574,1.951
13.613,1.936
13.651,1.920
13.689,1.904
13.726,1.888
13.763,1.872
13.799,1.856
13.836,1.839
13.872,1.822
13.908,1.806
13.943,1.789
13.979,1.773
14.014,1.756
14.049,1.740
14.085,1.725
14.120,1.709
14.155,1.694
14.191,1.679
14.226,1.665
14.262,1.652
14.298,1.639
14.334,1.627
14.370,1.615
14.406,1.604
14.443,1.593
14.481,1.583
14.518,1.574
14.556,1.565
14.595,1.557
14.634,1.549
14.673,1.541
14.713,1.534
14.754,1.528
14.795,1.522
14.837,1.516
14.880,1.511
14.923,1.506
14.968,1.501
15.013,1.497
15.058,1.493
15.105,1.490
15.153,1.487
15.201,1.484
15.251,1.481
15.300,1.479
15.350,1.477
15.401,1.476
15.451,1.475
15.501,1.474
15.551,1.474
15.601,1.474
15.650,1.475
15.698,1.477
15.746,1.478
15.792,1.481
15.837,1.484
15.881,1.487
15.923,1.492
15.964,1.496
16.003,1.502
16.040,1.508
16.075,1.515
16.107,1.523
16.138,1.531
16.165,1.540
16.190,1.550
16.212,1.561
16.232,1.572
16.249,1.585
16.263,1.599
16.275,1.614
16.284,1.630
16.290,1.648
16.294,1.667
16.296,1.688
16.294,1.710
16.291,1.732
16.285,1.756
16.277,1.780
16.267,1.804
16.255,1.828
16.242,1.851
16.228,1.873
16.212,1.893
16.196,1.912
16.178,1.929
16.160,1.943
16.141,1.954
16.121,1.963
16.101,1.969
16.081,1.974
16.059,1.976
16.037,1.977
16.015,1.977
15.991,1.975
15.967,1.973
15.941,1.971
15.915,1.968
15.888,1.965
15.860,1.962
15.832,1.960
15.804,1.958
15.776,1.958
15.750,1.958
15.725,1.959
15.702,1.961
15.681,1.965
15.664,1.970
15.649,1.977
15.638,1.986
15.632,1.997
15.630,2.009
15.631,2.023
15.637,2.037
15.646,2.051
15.658,2.064
15.673,2.075
15.691,2.084
15.712,2.091
15.735,2.095
15.760,2.098
15.787,2.099
15.816,2.099
15.846,2.098
15.877,2.095
15.910,2.093
15.943,2.090
15.976,2.087
16.010,2.084
16.044,2.082
16.078,2.080
16.111,2.079
16.143,2.080
16.175,2.082
16.206,2.085
16.235,2.090
16.262,2.097
16.288,2.106
16.311,2.116
16.332,2.128
16.349,2.142
16.364,2.158
16.375,2.176
16.383,2.196
16.387,2.219
16.386,2.243
16.382,2.270
16.374,2.298
16.363,2.328
16.349,2.358
16.333,2.390
16.315,2.422
16.295,2.454
16.273,2.486
16.251,2.517
16.228,2.548
16.204,2.578
16.180,2.607
16.157,2.634
16.134,2.660
16.112,2.683
16.091,2.704
16.072,2.723
16.055,2.738
16.041,2.752
16.030,2.763
16.023,2.772
16.020,2.778
16.021,2.783
16.027,2.786
16.039,2.787
16.054,2.787
16.071,2.788
16.091,2.788
16.113,2.789
16.134,2.792
16.155,2.796
16.174,2.803
16.191,2.813
16.205,2.826
16.217,2.842
16.227,2.860
16.234,2.880
16.240,2.903
16.245,2.927
16.247,2.952
16.249,2.978
16.250,3.004
16.250,3.031
16.250,3.057
16.249,3.083
16.248,3.109
16.246,3.134
16.243,3.158
16.238,3.181
16.232,3.204
16.223,3.225
16.213,3.245
16.200,3.263
16.184,3.280
16.165,3.296
16.142,3.310
16.116,3.322
16.088,3.333
16.057,3.342
16.026,3.350
15.994,3.357
15.962,3.364
15.932,3.370
15.904,3.376
15.878,3.382
15.856,3.388
15.838,3.394
15.825,3.401
15.818,3.408
15.818,3.417
15.823,3.426
15.834,3.437
15.849,3.449
15.868,3.461
15.891,3.475
15.915,3.490
15.941,3.507
15.969,3.524
15.996,3.543
16.023,3.562
16.048,3.584
16.072,3.606
16.093,3.630
16.111,3.655
16.127,3.680
16.140,3.707
16.150,3.733
16.156,3.760
16.160,3.787
16.160,3.813
16.158,3.839
16.152,3.865
16.142,3.889
16.129,3.912
16.112,3.934
16.092,3.954
16.068,3.972
16.042,3.990
16.015,4.006
15.986,4.022
15.956,4.037
15.926,4.051
15.896,4.065
15.867,4.080
15.840,4.094
15.815,4.108
15.793,4.123
15.774,4.139
15.759,4.155
15.749,4.173
15.743,4.192
15.742,4.211
15.744,4.232
15.749,4.254
15.757,4.277
15.767,4.301
15.778,4.326
15.791,4.351
15.803,4.377
15.815,4.403
15.826,4.430
15.836,4.458
15.843,4.486
15.848,4.514
15.850,4.542
15.850,4.570
15.847,4.598
15.841,4.624
15.833,4.650
15.822,4.674
15.808,4.696
15.791,4.717
15.771,4.736
15.748,4.752
15.722,4.766
15.693,4.776
15.662,4.784
15.628,4.789
15.593,4.792
15.556,4.794
15.520,4.794
15.485,4.793
15.451,4.791
15.418,4.789
15.389,4.788
15.363,4.786
15.341,4.786
15.324,4.788
15.312,4.791
15.307,4.796
15.308,4.803
15.315,4.813
15.326,4.825
15.342,4.839
15.361,4.855
15.381,4.872
15.403,4.891
15.424,4.911
15.445,4.931
15.464,4.953
15.480,4.975
15.493,4.997
15.501,5.020
15.506,5.043
15.507,5.066
15.504,5.089
15.499,5.112
15.491,5.134
15.481,5.157
15.470,5.179
15.456,5.200
15.442,5.221
15.427,5.242
15.411,5.262
15.395,5.281
15.378,5.299
15.361,5.317
