X,Y
9.239,4.102
9.258,4.102
9.279,4.105
9.303,4.110
9.328,4.118
9.355,4.128
9.384,4.140
9.414,4.153
9.446,4.168
9.479,4.185
9.513,4.203
9.548,4.223
9.583,4.243
9.620,4.264
9.657,4.286
9.694,4.308
9.732,4.330
9.770,4.352
9.808,4.375
9.845,4.397
9.883,4.418
9.920,4.439
9.957,4.459
9.993,4.479
10.028,4.497
10.062,4.514
10.095,4.529
10.127,4.544
10.158,4.557
10.188,4.570
10.216,4.582
10.242,4.594
10.267,4.605
10.290,4.615
10.311,4.626
10.330,4.637
10.348,4.647
10.363,4.659
10.375,4.670
10.386,4.682
10.394,4.695
10.399,4.708
10.402,4.722
10.403,4.737
10.402,4.753
10.401,4.769
10.400,4.784
10.399,4.800
10.399,4.815
10.401,4.830
10.405,4.844
10.412,4.857
10.422,4.869
10.435,4.881
10.451,4.891
10.469,4.901
10.489,4.910
10.512,4.919
10.536,4.928
10.563,4.937
10.591,4.945
10.620,4.954
10.650,4.963
10.681,4.972
10.713,4.981
10.746,4.992
10.779,5.002
10.812,5.014
10.845,5.027
10.878,5.040
10.911,5.055
10.943,5.071
10.975,5.088
11.007,5.105
11.039,5.124
11.070,5.143
11.102,5.164
11.133,5.184
11.165,5.206
11.196,5.228
11.227,5.251
11.258,5.274
11.290,5.298
11.321,5.322
11.353,5.346
11.385,5.371
11.417,5.396
11.449,5.421
11.481,5.446
11.514,5.471
11.547,5.496
11.581,5.521
11.615,5.546
11.649,5.571
11.684,5.596
11.719,5.620
11.755,5.644
11.791,5.668
11.828,5.692
11.865,5.715
11.902,5.738
11.940,5.761
11.978,5.784
12.016,5.807
12.054,5.829
12.093,5.852
12.132,5.874
12.171,5.896
12.210,5.918
12.249,5.940
12.288,5.962
12.328,5.984
12.367,6.006
12.406,6.028
12.446,6.050
12.485,6.072
12.524,6.094
12.562,6.116
12.601,6.138
12.640,6.161
12.678,6.183
12.716,6.206
12.753,6.228
12.791,6.251
12.828,6.274
12.864,6.298
12.900,6.321
12.936,6.345
12.971,6.368
13.006,6.392
13.040,6.416
13.073,6.440
13.106,6.464
13.138,6.487
13.169,6.511
13.200,6.535
13.229,6.559
13.258,6.582
13.286,6.606
13.313,6.629
13.339,6.652
13.364,6.675
13.388,6.697
13.410,6.719
13.432,6.741
13.452,6.763
13.472,6.784
13.490,6.805
13.506,6.826
13.522,6.846
13.536,6.866
13.549,6.886
13.560,6.906
13.571,6.926
13.580,6.945
13.588,6.965
13.595,6.986
13.601,7.006
13.605,7.027
13.609,7.049
13.612,7.071
13.613,7.094
13.614,7.118
13.613,7.143
13.612,7.169
13.609,7.195
13.606,7.221
13.602,7.248
13.596,7.275
13.589,7.302
13.582,7.329
13.573,7.355
13.562,7.380
13.551,7.404
13.538,7.428
13.524,7.450
13.509,7.470
13.493,7.489
13.475,7.507
13.456,7.522
13.435,7.535
13.413,7.546
13.390,7.555
13.366,7.562
13.341,7.567
13.315,7.571
13.288,7.573
13.260,7.573
13.232,7.572
13.203,7.570
13.174,7.567
13.144,7.563
13.114,7.558
13.085,7.552
13.055,7.546
13.025,7.538
12.995,7.531
12.966,7.523
12.936,7.514
12.908,7.506
12.880,7.498
12.854,7.490
12.829,7.483
12.806,7.477
12.785,7.472
12.766,7.468
12.750,7.466
12.736,7.466
12.726,7.468
12.719,7.471
12.716,7.478
12.716,7.487
12.720,7.499
12.727,7.513
12.737,7.529
12.748,7.547
12.762,7.567
12.776,7.589
12.791,7.612
12.807,7.636
12.822,7.662
12.837,7.689
12.851,7.716
12.863,7.744
