X	Y
9.934	4.092
9.941	4.074
9.949	4.056
9.957	4.037
9.967	4.019
9.977	4.001
9.987	3.982
9.999	3.964
10.012	3.945
10.025	3.926
10.040	3.907
10.055	3.888
10.072	3.869
10.090	3.850
10.109	3.830
10.129	3.810
10.150	3.790
10.172	3.770
10.196	3.750
10.222	3.729
10.248	3.708
10.276	3.687
10.306	3.666
10.336	3.644
10.369	3.622
10.402	3.600
10.437	3.578
10.472	3.555
10.509	3.533
10.547	3.510
10.586	3.487
10.626	3.463
10.667	3.440
10.709	3.417
10.752	3.393
10.795	3.369
10.839	3.345
10.884	3.321
10.929	3.297
10.975	3.273
11.022	3.249
11.068	3.225
11.116	3.201
11.163	3.177
11.211	3.153
11.260	3.129
11.308	3.105
11.357	3.081
11.405	3.057
11.454	3.033
11.503	3.010
11.552	2.986
11.600	2.962
11.649	2.939
11.697	2.916
11.745	2.893
11.793	2.870
11.840	2.847
11.887	2.824
11.934	2.802
11.980	2.780
12.025	2.758
12.070	2.736
12.114	2.715
12.158	2.694
12.201	2.673
12.244	2.652
12.286	2.632
12.328	2.611
12.369	2.591
12.410	2.571
12.451	2.552
12.491	2.532
12.531	2.513
12.571	2.494
12.611	2.475
12.650	2.457
12.689	2.438
12.728	2.420
12.767	2.402
12.806	2.384
12.844	2.366
12.883	2.349
12.922	2.331
12.960	2.314
12.999	2.297
13.038	2.280
13.077	2.263
13.116	2.247
13.155	2.230
13.195	2.214
13.234	2.198
13.274	2.181
13.315	2.165
13.355	2.150
13.396	2.134
13.437	2.118
13.479	2.103
13.521	2.087
13.563	2.072
13.606	2.057
13.650	2.042
13.693	2.027
13.737	2.012
13.782	1.997
13.827	1.983
13.872	1.968
13.917	1.954
13.962	1.940
14.008	1.926
14.054	1.912
14.100	1.898
14.147	1.884
14.193	1.870
14.240	1.857
14.287	1.843
14.334	1.830
14.381	1.817
14.428	1.804
14.475	1.791
14.523	1.778
14.570	1.765
14.617	1.753
14.664	1.740
14.712	1.728
14.759	1.716
14.806	1.704
14.853	1.692
14.900	1.680
14.946	1.668
14.993	1.657
15.039	1.646
15.085	1.634
15.131	1.623
15.177	1.612
15.223	1.602
15.268	1.591
15.313	1.580
15.357	1.570
15.402	1.560
15.446	1.550
15.490	1.540
15.533	1.530
15.576	1.521
15.619	1.511
15.661	1.502
15.703	1.493
15.745	1.484
15.787	1.475
15.828	1.467
15.868	1.458
15.909	1.450
15.949	1.442
15.988	1.434
16.028	1.427
16.066	1.419
16.105	1.412
16.143	1.405
16.181	1.398
16.218	1.392
16.255	1.385
16.292	1.379
16.328	1.373
16.364	1.368
16.399	1.362
16.434	1.357
16.468	1.352
16.502	1.347
16.536	1.343
16.569	1.338
16.602	1.334
16.634	1.331
16.666	1.327
16.698	1.324
16.728	1.322
16.759	1.319
16.789	1.317
16.818	1.316
16.847	1.316
16.876	1.315
16.904	1.316
16.931	1.317
16.958	1.319
16.985	1.322
17.011	1.325
17.036	1.330
17.061	1.335
17.085	1.341
17.108	1.348
17.132	1.357
17.154	1.366
17.176	1.376
17.197	1.388
17.218	1.400
17.238	1.414
17.257	1.429
17.276	1.444
17.294	1.461
17.312	1.479
17.329	1.497
17.345	1.516
17.360	1.536
17.375	1.557
17.388	1.578
17.401	1.600
17.414	1.622
17.425	1.644
17.436	1.667
17.446	1.691
17.455	1.714
17.463	1.738
17.470	1.762
17.476	1.786
17.482	1.810
17.486	1.834
17.490	1.858
17.493	1.882
17.495	1.906
17.497	1.931
17.498	1.955
17.498	1.979
17.498	2.003
17.497	2.027
17.496	2.050
17.495	2.074
17.493	2.098
17.490	2.121
17.488	2.145
17.485	2.168
17.482	2.191
17.479	2.214
17.476	2.237
17.473	2.260
17.470	2.282
17.467	2.304
17.464	2.326
17.461	2.348
17.458	2.370
17.456	2.392
17.454	2.413
17.452	2.435
17.451	2.456
17.450	2.477
17.449	2.499
17.449	2.520
17.450	2.541
17.451	2.562
17.453	2.582
17.455	2.603
17.459	2.624
17.463	2.645
17.468	2.666
17.473	2.687
17.479	2.707
17.486	2.728
17.493	2.749
17.500	2.771
17.507	2.792
17.515	2.813
17.522	2.835
17.530	2.857
17.537	2.879
17.544	2.901
17.550	2.924
17.557	2.947
17.562	2.970
17.567	2.994
17.572	3.018
17.575	3.043
17.578	3.068
17.580	3.093
17.581	3.119
17.581	3.145
17.581	3.171
17.580	3.198
17.578	3.224
17.576	3.251
17.573	3.278
17.570	3.305
17.566	3.332
17.562	3.360
17.558	3.387
17.553	3.414
17.547	3.441
17.542	3.468
17.536	3.494
17.530	3.521
17.524	3.547
17.518	3.573
17.512	3.599
17.506	3.624
17.499	3.649
17.493	3.674
17.487	3.698
17.480	3.723
17.474	3.746
17.467	3.770
17.460	3.794
17.454	3.817
17.447	3.841
17.440	3.864
17.433	3.888
17.425	3.911
17.418	3.935
17.410	3.958
17.403	3.982
17.395	4.006
17.387	4.030
17.379	4.055
17.370	4.079
17.361	4.104
17.352	4.130
17.343	4.155
17.334	4.181
17.324	4.208
17.314	4.234
17.304	4.261
17.294	4.289
17.283	4.316
17.271	4.343
17.260	4.371
17.248	4.399
17.236	4.427
17.223	4.455
17.210	4.484
17.196	4.512
17.182	4.540
17.168	4.569
17.153	4.597
17.138	4.625
17.122	4.654
17.106	4.682
17.089	4.710
17.072	4.738
17.054	4.766
17.035	4.794
17.016	4.822
16.997	4.849
16.976	4.876
16.956	4.903
16.934	4.930
16.913	4.956
16.891	4.982
16.868	5.007
16.845	5.032
16.821	5.057
16.797	5.081
16.773	5.104
16.748	5.127
16.723	5.149
16.697	5.171
16.671	5.192
16.645	5.212
16.619	5.231
16.592	5.249
16.565	5.267
16.537	5.284
16.510	5.300
16.482	5.314
16.454	5.328
16.426	5.341
16.397	5.353
16.369	5.363
16.340	5.373
16.311	5.381
16.282	5.389
16.252	5.395
16.223	5.400
16.194	5.404
16.164	5.408
16.134	5.410
16.105	5.412
16.075	5.412
16.045	5.412
16.015	5.411
15.985	5.409
15.955	5.407
15.925	5.404
15.895	5.400
15.865	5.396
15.835	5.391
15.805	5.385
15.775	5.379
15.745	5.372
15.715	5.365
15.685	5.358
15.655	5.350
15.625	5.341
15.595	5.333
15.566	5.324
15.536	5.315
15.506	5.305
15.477	5.296
15.447	5.286
15.418	5.277
15.389	5.267
15.359	5.258
15.330	5.249
15.301	5.240
15.271	5.231
15.242	5.222
15.213	5.214
15.184	5.207
15.155	5.199
15.126	5.193
15.097	5.187
15.068	5.181
15.038	5.176
15.009	5.172
14.980	5.169
14.951	5.167
14.922	5.165
14.893	5.165
14.864	5.165
14.835	5.166
14.806	5.168
14.777	5.171
14.748	5.175
14.718	5.179
14.689	5.184
14.659	5.190
14.629	5.196
14.599	5.202
14.569	5.209
14.539	5.217
14.508	5.225
14.477	5.233
14.446	5.241
14.415	5.250
14.383	5.258
14.351	5.267
14.319	5.276
14.286	5.285
14.253	5.294
14.219	5.303
14.185	5.312
14.151	5.320
14.116	5.328
14.081	5.336
14.045	5.344
14.009	5.352
13.972	5.359
