X	Y
9.802	5.033
9.820	5.026
9.841	5.022
9.864	5.019
9.889	5.019
9.917	5.021
9.946	5.024
9.977	5.029
10.009	5.036
10.043	5.044
10.077	5.053
10.112	5.063
10.149	5.074
10.185	5.086
10.222	5.099
10.258	5.112
10.295	5.126
10.331	5.139
10.367	5.153
10.402	5.167
10.436	5.181
10.469	5.194
10.500	5.206
10.530	5.219
10.558	5.230
10.584	5.240
10.609	5.250
10.631	5.258
10.652	5.266
10.672	5.274
10.691	5.281
10.709	5.287
10.727	5.293
10.743	5.299
10.760	5.304
10.776	5.309
10.792	5.314
10.808	5.320
10.825	5.325
10.842	5.330
10.860	5.336
10.879	5.342
10.898	5.347
10.918	5.354
10.939	5.360
10.961	5.366
10.984	5.372
11.007	5.378
11.031	5.384
11.055	5.390
11.081	5.395
11.107	5.401
11.134	5.406
11.162	5.411
11.191	5.416
11.221	5.420
11.251	5.424
11.282	5.427
11.314	5.430
11.347	5.432
11.380	5.434
11.415	5.436
11.450	5.437
11.485	5.437
11.522	5.438
11.558	5.437
11.596	5.437
11.634	5.436
11.672	5.435
11.711	5.433
11.750	5.431
11.790	5.429
11.829	5.427
11.870	5.424
11.910	5.422
11.950	5.419
11.991	5.416
12.032	5.413
12.072	5.409
12.113	5.406
12.154	5.402
12.195	5.399
12.236	5.395
12.276	5.391
12.316	5.388
12.357	5.384
12.397	5.381
12.436	5.377
12.475	5.374
12.515	5.370
12.553	5.367
12.592	5.364
12.630	5.360
12.668	5.357
12.706	5.354
12.744	5.351
12.781	5.348
12.819	5.344
12.856	5.341
12.893	5.338
12.930	5.335
12.967	5.331
13.004	5.328
13.040	5.324
13.077	5.321
13.114	5.317
13.150	5.314
13.187	5.310
13.223	5.306
13.260	5.302
13.296	5.298
13.333	5.294
13.370	5.290
13.407	5.286
13.444	5.281
13.481	5.277
13.518	5.272
13.555	5.267
13.592	5.262
13.630	5.257
13.667	5.252
13.704	5.247
13.742	5.242
13.780	5.237
13.817	5.233
13.855	5.228
13.892	5.224
13.930	5.219
13.968	5.215
14.005	5.212
14.043	5.208
14.081	5.205
14.118	5.202
14.156	5.200
14.193	5.198
14.231	5.196
14.268	5.195
14.305	5.194
14.343	5.194
14.380	5.194
14.417	5.195
14.454	5.196
14.490	5.198
14.527	5.201
14.564	5.204
14.600	5.208
14.636	5.212
14.673	5.217
14.709	5.223
14.744	5.229
14.780	5.236
14.816	5.243
14.851	5.251
14.887	5.259
14.922	5.267
14.957	5.276
14.991	5.285
15.026	5.295
15.061	5.305
15.095	5.316
15.129	5.326
15.163	5.337
15.197	5.349
15.230	5.361
15.264	5.372
15.297	5.385
15.330	5.397
15.363	5.410
15.396	5.422
15.428	5.435
15.460	5.448
15.493	5.462
15.524	5.475
15.556	5.489
15.588	5.502
