X	Y
26.877	11.719
26.907	11.676
26.942	11.633
26.982	11.590
27.026	11.548
27.074	11.505
27.127	11.463
27.183	11.421
27.244	11.379
27.308	11.337
27.375	11.294
27.446	11.252
27.520	11.210
27.597	11.167
27.677	11.124
27.759	11.081
27.843	11.038
27.930	10.995
28.019	10.951
28.110	10.906
28.202	10.862
28.296	10.817
28.392	10.771
28.488	10.725
28.586	10.679
28.684	10.631
28.783	10.584
28.882	10.535
28.982	10.486
29.081	10.436
29.181	10.385
29.281	10.334
29.380	10.282
29.478	10.229
29.577	10.175
29.675	10.120
29.772	10.065
29.870	10.009
29.967	9.952
30.064	9.895
30.160	9.837
30.256	9.779
30.352	9.719
30.448	9.660
30.544	9.599
30.639	9.538
30.734	9.477
30.829	9.415
30.923	9.353
31.018	9.290
31.112	9.227
31.206	9.163
31.300	9.100
31.394	9.035
31.488	8.971
31.581	8.906
31.675	8.840
31.768	8.775
31.861	8.709
31.955	8.643
32.048	8.577
32.141	8.511
32.234	8.444
32.327	8.378
32.420	8.311
32.513	8.244
32.606	8.177
32.699	8.110
32.792	8.043
32.885	7.976
32.978	7.909
33.071	7.842
33.164	7.775
33.257	7.708
33.351	7.642
33.444	7.575
33.538	7.508
33.631	7.442
33.725	7.375
33.819	7.309
33.913	7.243
34.007	7.176
34.102	7.110
34.196	7.045
34.291	6.979
34.386	6.913
34.482	6.848
34.577	6.783
34.673	6.718
34.769	6.653
34.865	6.588
34.962	6.524
35.058	6.460
35.156	6.396
35.253	6.332
35.351	6.269
35.449	6.206
35.547	6.143
35.646	6.080
35.745	6.018
35.845	5.956
35.945	5.894
36.045	5.833
36.146	5.772
36.247	5.711
36.349	5.651
36.451	5.590
36.553	5.531
36.656	5.471
36.760	5.412
36.864	5.354
36.968	5.296
37.073	5.238
37.178	5.181
37.284	5.124
37.390	5.067
37.497	5.011
37.604	4.955
37.711	4.900
37.818	4.846
37.926	4.791
38.034	4.738
38.143	4.684
38.251	4.631
38.360	4.579
38.469	4.527
38.578	4.476
38.687	4.425
38.796	4.375
38.906	4.325
39.015	4.276
39.125	4.228
39.234	4.180
39.343	4.132
39.453	4.085
39.562	4.039
39.671	3.993
39.781	3.948
39.890	3.904
39.998	3.860
40.107	3.817
40.215	3.774
40.324	3.732
40.432	3.691
40.539	3.650
40.647	3.610
40.754	3.571
40.861	3.533
40.967	3.495
41.073	3.458
41.179	3.421
41.284	3.385
41.389	3.350
41.493	3.316
41.597	3.283
41.700	3.250
41.802	3.218
41.904	3.187
42.004	3.158
42.104	3.129
42.203	3.101
42.302	3.074
42.399	3.048
42.495	3.024
42.590	3.000
42.684	2.978
42.776	2.957
42.868	2.937
42.958	2.919
43.047	2.902
43.134	2.886
43.220	2.872
43.304	2.859
43.387	2.847
43.468	2.837
43.547	2.829
43.625	2.822
43.701	2.817
43.775	2.813
43.848	2.811
43.918	2.811
43.986	2.813
44.053	2.816
44.117	2.821
44.180	2.828
44.240	2.836
44.299	2.846
44.357	2.858
44.413	2.871
44.469	2.885
44.523	2.900
44.576	2.916
44.629	2.934
44.682	2.952
44.734	2.971
44.786	2.991
44.838	3.011
44.890	3.032
44.942	3.053
44.995	3.075
45.048	3.097
45.102	3.120
45.158	3.142
45.214	3.165
45.271	3.187
45.328	3.210
45.386	3.234
45.444	3.258
45.503	3.282
45.561	3.307
45.618	3.333
45.676	3.360
