X	Y
11.376	5.547
11.389	5.516
11.402	5.486
11.417	5.456
11.433	5.427
11.451	5.397
11.470	5.368
11.490	5.339
11.511	5.310
11.534	5.282
11.557	5.253
11.582	5.225
11.608	5.197
11.635	5.169
11.664	5.141
11.693	5.113
11.723	5.085
11.755	5.058
11.787	5.031
11.820	5.003
11.854	4.976
11.890	4.949
11.926	4.922
11.963	4.895
12.000	4.868
12.039	4.841
12.078	4.815
12.118	4.788
12.159	4.761
12.201	4.735
12.243	4.708
12.286	4.681
12.329	4.655
12.374	4.628
12.418	4.601
12.464	4.575
12.510	4.548
12.556	4.521
12.603	4.495
12.650	4.468
12.697	4.441
12.745	4.415
12.794	4.388
12.842	4.362
12.891	4.336
12.940	4.309
12.989	4.283
13.038	4.257
13.087	4.231
13.136	4.205
13.185	4.180
13.234	4.154
13.283	4.129
13.332	4.104
13.380	4.079
13.428	4.055
13.477	4.030
13.524	4.006
13.572	3.982
13.619	3.958
13.665	3.935
13.712	3.912
13.757	3.889
13.802	3.867
13.847	3.845
13.891	3.823
13.934	3.801
13.976	3.780
14.018	3.760
14.059	3.739
14.099	3.719
14.138	3.700
14.177	3.681
14.214	3.662
14.251	3.644
14.286	3.626
14.320	3.609
14.354	3.592
14.386	3.576
14.417	3.560
14.447	3.544
14.477	3.529
14.506	3.514
14.534	3.499
14.562	3.485
14.589	3.470
14.615	3.456
14.642	3.441
14.668	3.427
14.694	3.412
14.721	3.398
14.747	3.383
14.773	3.368
14.800	3.352
14.827	3.337
14.854	3.321
14.882	3.304
14.910	3.287
14.939	3.270
14.969	3.252
14.999	3.233
15.031	3.214
15.063	3.194
15.097	3.173
15.132	3.151
15.168	3.129
15.205	3.106
15.243	3.082
15.282	3.057
15.323	3.031
15.364	3.005
15.407	2.979
15.450	2.951
15.494	2.923
15.539	2.895
15.584	2.866
15.631	2.837
15.678	2.807
15.726	2.777
15.774	2.746
15.823	2.716
15.872	2.685
15.922	2.653
15.972	2.622
16.022	2.590
16.073	2.559
16.124	2.527
16.176	2.495
16.227	2.463
16.279	2.431
16.330	2.399
16.382	2.368
16.434	2.336
16.485	2.305
16.537	2.273
16.588	2.242
16.640	2.212
16.691	2.181
16.741	2.151
16.792	2.121
16.842	2.092
16.891	2.063
16.940	2.035
16.989	2.007
17.037	1.980
17.084	1.953
17.131	1.927
17.177	1.902
17.222	1.877
17.267	1.853
17.311	1.830
17.354	1.807
17.396	1.786
17.437	1.765
17.478	1.744
17.518	1.725
17.557	1.706
17.596	1.687
17.634	1.670
17.672	1.653
17.709	1.636
17.746	1.620
17.782	1.604
17.818	1.589
17.854	1.575
17.890	1.560
17.925	1.547
17.960	1.533
17.995	1.520
18.030	1.507
18.064	1.495
18.099	1.483
18.134	1.471
18.168	1.459
18.203	1.448
18.238	1.436
