X	Y
11.478	6.093
11.498	6.077
11.522	6.063
11.548	6.049
11.576	6.036
11.607	6.024
11.640	6.013
11.676	6.003
11.714	5.994
11.754	5.986
11.796	5.978
11.841	5.971
11.887	5.965
11.935	5.960
11.985	5.955
12.037	5.951
12.090	5.948
12.145	5.945
12.202	5.943
12.260	5.941
12.320	5.940
12.381	5.940
12.444	5.940
12.507	5.940
12.572	5.941
12.638	5.943
12.705	5.944
12.773	5.947
12.842	5.949
12.912	5.952
12.983	5.955
13.054	5.959
13.126	5.962
13.199	5.966
13.272	5.971
13.345	5.975
13.419	5.979
13.494	5.984
13.568	5.989
13.643	5.994
13.718	5.999
13.793	6.004
13.868	6.009
13.943	6.014
14.017	6.019
14.092	6.023
14.166	6.028
14.240	6.033
14.313	6.037
14.386	6.042
14.459	6.046
14.531	6.050
14.603	6.054
14.675	6.058
14.746	6.062
14.816	6.066
14.887	6.069
14.956	6.073
15.026	6.076
15.095	6.079
15.163	6.082
15.232	6.085
15.299	6.088
15.367	6.090
15.433	6.093
15.500	6.095
15.566	6.097
15.631	6.099
15.696	6.101
15.761	6.103
15.825	6.104
15.889	6.106
15.952	6.107
16.015	6.108
16.078	6.110
16.140	6.110
16.201	6.111
16.262	6.112
16.323	6.112
16.383	6.113
16.443	6.113
16.502	6.113
16.561	6.113
16.619	6.113
16.677	6.112
16.734	6.112
16.791	6.111
16.847	6.110
16.903	6.109
16.959	6.108
17.014	6.107
17.068	6.105
17.122	6.104
17.176	6.102
17.229	6.100
17.281	6.098
17.333	6.096
17.385	6.093
17.436	6.091
17.486	6.088
17.536	6.085
17.585	6.083
17.634	6.080
17.683	6.077
17.731	6.074
17.778	6.071
17.825	6.069
17.872	6.066
17.918	6.064
17.963	6.062
18.008	6.060
18.052	6.059
18.096	6.057
18.139	6.056
18.182	6.056
18.224	6.056
18.266	6.056
18.307	6.057
18.348	6.058
18.388	6.060
18.428	6.062
18.467	6.065
18.505	6.068
18.543	6.073
18.581	6.078
18.618	6.083
18.654	6.090
18.690	6.097
18.725	6.105
18.760	6.114
18.794	6.123
18.827	6.134
18.860	6.146
18.893	6.158
18.925	6.172
18.956	6.186
18.987	6.201
19.017	6.218
19.046	6.234
19.075	6.252
19.103	6.271
19.131	6.290
19.158	6.310
19.184	6.330
19.209	6.352
19.234	6.374
19.258	6.396
