X	Y
30.630	19.055
30.662	18.936
30.709	18.814
30.769	18.689
30.842	18.562
30.927	18.433
31.024	18.302
31.131	18.169
31.248	18.035
31.374	17.898
31.509	17.760
31.651	17.620
31.801	17.479
31.957	17.336
32.118	17.192
32.285	17.047
32.455	16.901
32.630	16.755
32.807	16.607
32.986	16.458
33.166	16.309
33.347	16.160
33.528	16.010
33.709	15.860
33.889	15.709
34.069	15.558
34.248	15.407
34.427	15.254
34.605	15.101
34.783	14.948
34.960	14.794
35.137	14.638
35.314	14.482
35.491	14.325
35.667	14.167
35.843	14.008
36.019	13.848
36.194	13.686
36.370	13.523
36.545	13.359
36.720	13.194
36.894	13.027
37.069	12.858
37.244	12.688
37.418	12.516
37.592	12.343
37.767	12.168
37.941	11.991
38.115	11.812
38.290	11.631
38.464	11.448
38.638	11.263
38.813	11.077
38.987	10.890
39.160	10.703
39.334	10.515
39.507	10.327
39.679	10.140
39.851	9.953
40.023	9.767
40.194	9.582
40.364	9.399
40.533	9.218
40.701	9.039
40.869	8.863
41.035	8.690
41.200	8.519
41.364	8.353
41.527	8.190
41.689	8.032
41.849	7.878
42.008	7.729
42.165	7.586
42.321	7.448
42.475	7.315
42.627	7.189
42.778	7.070
42.926	6.957
43.073	6.850
43.219	6.750
43.364	6.656
43.507	6.568
43.649	6.485
43.791	6.407
43.932	6.335
44.073	6.267
44.214	6.203
44.355	6.144
44.496	6.089
44.637	6.037
44.780	5.989
44.923	5.944
45.067	5.902
45.212	5.863
45.358	5.826
45.506	5.791
45.655	5.759
45.806	5.729
45.957	5.701
46.109	5.676
46.261	5.653
46.413	5.633
46.564	5.615
46.716	5.601
46.867	5.589
47.017	5.580
47.165	5.574
47.313	5.571
47.458	5.571
47.602	5.575
47.744	5.581
47.883	5.591
48.019	5.605
48.152	5.622
48.282	5.643
48.406	5.669
48.526	5.700
48.640	5.736
48.748	5.777
48.848	5.824
48.941	5.878
49.026	5.938
49.102	6.005
49.168	6.080
49.225	6.162
49.271	6.251
49.307	6.348
49.334	6.451
49.353	6.560
49.362	6.673
49.364	6.790
49.359	6.911
49.347	7.034
49.329	7.159
49.305	7.285
49.276	7.411
49.243	7.537
49.205	7.662
49.164	7.785
49.119	7.906
49.073	8.026
49.025	8.145
48.975	8.262
48.925	8.379
48.875	8.494
48.826	8.609
48.779	8.724
48.733	8.838
48.690	8.951
48.650	9.065
48.614	9.179
48.582	9.292
48.556	9.406
48.534	9.521
48.518	9.635
48.507	9.750
48.501	9.865
48.501	9.980
48.507	10.095
48.518	10.210
48.534	10.325
48.557	10.440
48.585	10.554
48.619	10.669
48.660	10.783
48.706	10.896
48.757	11.010
48.812	11.123
48.870	11.236
48.930	11.348
48.990	11.461
49.050	11.573
49.109	11.685
49.165	11.797
49.217	11.909
49.265	12.021
49.307	12.133
49.342	12.244
49.369	12.356
49.387	12.468
49.397	12.580
49.399	12.693
49.394	12.806
49.383	12.921
49.366	13.037
49.345	13.154
49.320	13.273
49.292	13.394
49.261	13.518
49.229	13.643
49.195	13.772
49.162	13.904
49.128	14.038
49.096	14.177
49.065	14.318
49.035	14.462
49.004	14.609
48.974	14.758
48.944	14.910
48.914	15.064
48.883	15.219
48.851	15.375
48.819	15.533
48.785	15.692
48.749	15.851
48.712	16.011
48.673	16.171
48.632	16.332
48.588	16.491
48.541	16.651
48.492	16.809
48.439	16.967
48.384	17.124
48.326	17.279
48.265	17.434
48.201	17.587
48.135	17.740
48.067	17.891
47.997	18.041
47.924	18.190
47.850	18.337
47.774	18.484
47.696	18.629
47.617	18.772
47.536	18.915
47.454	19.056
47.371	19.195
47.287	19.333
47.202	19.470
47.116	19.605
47.029	19.738
46.942	19.870
46.853	19.998
46.763	20.124
46.671	20.247
46.577	20.365
46.482	20.480
46.384	20.590
46.284	20.696
46.181	20.796
46.076	20.890
45.968	20.979
45.857	21.061
45.742	21.136
45.624	21.204
45.503	21.264
45.377	21.317
45.248	21.362
45.115	21.400
44.978	21.433
44.838	21.459
44.694	21.481
44.546	21.499
44.395	21.513
44.240	21.524
44.082	21.532
43.921	21.538
43.756	21.543
43.587	21.547
43.416	21.551
43.241	21.556
43.063	21.561
42.882	21.569
42.697	21.578
42.510	21.590
42.320	21.605
42.127	21.621
41.932	21.640
41.736	21.660
41.537	21.682
41.337	21.704
41.135	21.728
40.933	21.753
40.730	21.778
40.527	21.804
40.323	21.830
40.119	21.855
39.916	21.881
39.713	21.905
39.511	21.929
39.311	21.952
39.111	21.974
38.913	21.994
38.717	22.012
38.523	22.029
38.331	22.043
38.142	22.055
37.956	22.065
37.772	22.072
37.591	22.077
37.411	22.081
37.234	22.083
37.059	22.084
36.886	22.083
36.715	22.082
36.545	22.079
36.377	22.076
36.211	22.072
36.046	22.068
35.882	22.064
35.719	22.060
35.557	22.056
35.396	22.053
35.236	22.050
35.076	22.048
34.917	22.047
34.759	22.047
34.600	22.048
34.443	22.050
34.286	22.053
