X	Y
31.260	20.630
31.337	20.566
31.434	20.508
31.552	20.458
31.688	20.413
31.842	20.376
32.013	20.344
32.199	20.317
32.399	20.296
32.612	20.281
32.837	20.270
33.074	20.264
33.319	20.262
33.574	20.265
33.836	20.271
34.104	20.281
34.377	20.294
34.654	20.311
34.935	20.330
35.217	20.352
35.500	20.377
35.782	20.403
36.062	20.432
36.340	20.462
36.614	20.493
36.883	20.526
37.146	20.559
37.402	20.593
37.651	20.627
37.894	20.663
38.130	20.699
38.361	20.736
38.585	20.775
38.805	20.814
39.019	20.854
39.227	20.896
39.432	20.938
39.631	20.982
39.827	21.028
40.018	21.074
40.206	21.123
40.390	21.173
40.570	21.224
40.748	21.277
40.923	21.332
41.095	21.389
41.265	21.447
41.433	21.508
41.599	21.570
41.764	21.635
41.927	21.701
42.089	21.770
42.250	21.841
42.409	21.914
42.566	21.989
42.722	22.066
42.876	22.145
43.029	22.226
43.179	22.309
43.328	22.394
43.474	22.481
43.619	22.570
43.761	22.661
43.902	22.753
44.040	22.847
44.175	22.944
44.308	23.041
44.439	23.141
44.567	23.243
44.692	23.346
44.815	23.450
44.934	23.557
45.050	23.665
45.164	23.774
45.273	23.884
45.379	23.996
45.481	24.108
45.579	24.222
45.673	24.336
45.763	24.452
45.848	24.567
45.928	24.684
46.004	24.801
46.074	24.918
46.140	25.035
46.200	25.153
46.254	25.271
46.303	25.389
46.346	25.506
46.383	25.625
46.415	25.743
46.442	25.862
46.463	25.981
46.479	26.100
46.489	26.220
46.494	26.340
46.493	26.462
46.487	26.583
46.476	26.706
46.460	26.829
46.438	26.954
46.412	27.079
46.381	27.205
46.347	27.332
46.309	27.460
46.269	27.590
46.226	27.721
46.182	27.853
46.137	27.987
46.090	28.122
46.044	28.258
45.998	28.396
45.953	28.536
45.910	28.678
45.868	28.821
45.829	28.966
45.793	29.114
45.759	29.262
45.727	29.411
45.696	29.561
45.665	29.710
45.633	29.858
45.601	30.004
45.566	30.148
45.530	30.290
45.490	30.428
45.446	30.562
45.397	30.691
45.343	30.815
45.283	30.933
45.217	31.045
45.143	31.150
45.061	31.247
44.972	31.337
44.876	31.421
44.776	31.500
44.673	31.575
44.567	31.647
44.461	31.718
44.355	31.788
44.251	31.858
44.150	31.929
44.054	32.003
43.963	32.080
43.880	32.162
43.805	32.249
43.740	32.343
43.684	32.443
43.636	32.548
43.594	32.656
43.556	32.767
43.521	32.877
43.488	32.987
43.454	33.095
43.418	33.199
43.378	33.298
43.333	33.391
43.282	33.475
43.221	33.551
43.152	33.616
43.073	33.672
42.985	33.721
42.890	33.762
42.787	33.797
42.677	33.828
42.561	33.855
42.440	33.879
42.313	33.903
42.183	33.926
42.048	33.951
41.910	33.977
41.770	34.007
41.628	34.041
41.484	34.080
41.339	34.123
41.194	34.170
41.048	34.220
40.902	34.273
40.756	34.328
40.611	34.386
40.468	34.445
40.326	34.506
40.185	34.569
40.047	34.631
39.912	34.695
39.780	34.758
39.651	34.820
39.526	34.882
39.405	34.943
39.288	35.002
39.176	35.059
39.067	35.113
38.961	35.164
38.857	35.210
38.755	35.252
38.653	35.288
38.552	35.318
38.449	35.342
38.346	35.357
38.240	35.365
38.132	35.364
38.021	35.353
37.906	35.332
37.787	35.302
37.665	35.261
37.541	35.211
37.415	35.152
37.287	35.083
37.158	35.005
37.029	34.918
36.899	34.822
36.770	34.717
36.641	34.604
36.514	34.483
36.389	34.353
36.265	34.215
36.145	34.069
36.027	33.915
35.913	33.754
35.803	33.585
35.698	33.409
35.596	33.226
35.499	33.036
35.405	32.841
35.314	32.641
35.226	32.435
35.141	32.226
35.059	32.012
34.978	31.795
34.900	31.575
34.823	31.353
34.747	31.129
34.673	30.903
34.599	30.676
34.526	30.449
34.453	30.222
34.380	29.995
34.307	29.770
34.233	29.545
34.159	29.323
34.083	29.103
34.006	28.886
33.927	28.673
33.846	28.463
33.763	28.257
33.678	28.057
33.589	27.862
33.499	27.671
33.407	27.486
33.313	27.304
33.217	27.127
33.121	26.954
33.025	26.785
32.927	26.620
32.830	26.457
32.734	26.298
32.638	26.142
32.543	25.988
32.450	25.837
32.358	25.689
32.269	25.542
32.182	25.397
32.097	25.253
32.016	25.111
31.938	24.970
31.864	24.830
31.794	24.690
31.729	24.551
31.667	24.413
31.610	24.276
31.558	24.139
31.509	24.004
31.465	23.870
31.426	23.738
31.390	23.608
31.359	23.479
31.332	23.353
31.309	23.229
31.290	23.107
31.276	22.988
31.266	22.871
31.260	22.758
31.258	22.648
31.259	22.540
31.263	22.435
31.268	22.332
31.274	22.230
31.279	22.130
31.283	22.031
31.285	21.932
31.284	21.834
31.279	21.736
31.269	21.637
31.253	21.537
31.232	21.437
31.209	21.336
31.186	21.237
31.166	21.139
31.151	21.043
31.145	20.951
31.150	20.863
31.169	20.779
31.205	20.701
31.260	20.630
