X	Y
25.926	16.481
25.952	16.398
25.984	16.312
26.022	16.223
26.066	16.131
26.115	16.037
26.169	15.941
26.228	15.844
26.292	15.745
26.360	15.645
26.433	15.544
26.510	15.442
26.591	15.340
26.675	15.238
26.763	15.136
26.854	15.035
26.948	14.934
27.045	14.834
27.144	14.735
27.246	14.637
27.350	14.542
27.456	14.448
27.564	14.357
27.673	14.267
27.784	14.179
27.897	14.092
28.011	14.007
28.126	13.922
28.243	13.839
28.361	13.756
28.481	13.674
28.602	13.592
28.723	13.510
28.846	13.429
28.970	13.346
29.095	13.264
29.220	13.181
29.347	13.097
29.474	13.011
29.601	12.925
29.729	12.837
29.858	12.748
29.987	12.657
30.117	12.564
30.247	12.468
30.377	12.371
30.507	12.270
30.637	12.167
30.768	12.062
30.898	11.954
31.028	11.845
31.158	11.734
31.287	11.622
31.416	11.509
31.544	11.395
31.672	11.282
31.799	11.168
31.925	11.055
32.050	10.942
32.173	10.831
32.296	10.721
32.417	10.613
32.537	10.507
32.656	10.403
32.773	10.301
32.888	10.203
33.001	10.108
33.113	10.017
33.222	9.929
33.330	9.846
33.435	9.768
33.538	9.694
33.639	9.625
33.737	9.562
33.833	9.505
33.926	9.452
34.018	9.404
34.107	9.359
34.195	9.317
34.282	9.277
34.367	9.239
34.452	9.202
34.536	9.165
34.619	9.127
34.702	9.088
34.785	9.048
34.867	9.005
34.951	8.959
35.035	8.910
35.119	8.856
35.205	8.797
35.291	8.733
35.379	8.664
35.467	8.591
35.556	8.515
35.646	8.435
35.737	8.351
35.828	8.265
35.919	8.176
36.011	8.085
36.103	7.993
36.196	7.899
36.289	7.803
36.381	7.707
36.474	7.611
36.567	7.515
36.660	7.419
36.752	7.323
36.845	7.229
36.937	7.136
37.029	7.045
37.120	6.955
37.211	6.868
37.301	6.783
37.391	6.700
37.481	6.619
37.572	6.539
37.662	6.461
37.752	6.384
37.843	6.308
37.935	6.233
38.026	6.159
38.119	6.086
38.213	6.013
38.307	5.941
38.403	5.869
38.499	5.797
38.597	5.725
38.696	5.653
38.797	5.580
38.900	5.507
39.004	5.433
39.110	5.359
39.218	5.284
39.327	5.209
39.437	5.135
39.548	5.063
39.660	4.992
39.771	4.923
39.883	4.857
39.995	4.795
40.105	4.736
40.215	4.683
40.324	4.634
40.432	4.591
40.537	4.554
40.641	4.523
40.742	4.500
40.841	4.485
40.937	4.478
41.029	4.480
41.118	4.492
41.204	4.513
41.286	4.544
41.365	4.584
41.441	4.632
41.513	4.687
41.584	4.750
41.651	4.820
41.717	4.895
41.780	4.977
41.841	5.063
41.901	5.154
41.959	5.249
42.016	5.347
42.071	5.448
42.126	5.552
42.180	5.657
42.234	5.764
42.287	5.872
42.340	5.980
42.392	6.090
42.443	6.202
42.493	6.315
42.543	6.429
42.591	6.546
42.638	6.664
42.683	6.785
42.727	6.908
42.769	7.034
42.810	7.163
42.848	7.295
42.885	7.429
42.919	7.567
42.951	7.708
42.981	7.853
43.008	8.002
43.032	8.155
43.054	8.312
43.072	8.473
43.088	8.638
43.100	8.808
43.109	8.983
43.114	9.163
43.117	9.346
43.116	9.534
43.113	9.725
43.107	9.919
43.098	10.116
43.086	10.316
43.072	10.518
43.056	10.722
43.037	10.927
43.016	11.134
42.993	11.341
42.968	11.549
42.941	11.757
42.913	11.965
42.883	12.173
42.852	12.380
42.819	12.585
42.785	12.789
42.749	12.992
42.713	13.192
42.676	13.390
42.638	13.585
42.599	13.776
42.559	13.965
42.519	14.149
42.479	14.330
