X	Y
26.250	18.380
26.290	18.324
26.342	18.268
26.405	18.213
26.480	18.158
26.565	18.103
26.661	18.049
26.767	17.995
26.882	17.942
27.006	17.889
27.139	17.837
27.280	17.786
27.429	17.736
27.586	17.686
27.750	17.638
27.920	17.590
28.096	17.544
28.278	17.498
28.466	17.455
28.659	17.412
28.856	17.371
29.057	17.331
29.262	17.293
29.471	17.256
29.682	17.221
29.896	17.188
30.112	17.157
30.330	17.127
30.550	17.100
30.771	17.074
30.993	17.050
31.217	17.028
31.440	17.008
31.664	16.991
31.888	16.975
32.111	16.962
32.334	16.951
32.555	16.942
32.776	16.935
32.995	16.931
33.212	16.929
33.427	16.930
33.640	16.933
33.850	16.938
34.057	16.946
34.261	16.957
34.462	16.970
34.658	16.986
34.851	17.004
35.039	17.026
35.222	17.050
35.400	17.077
35.574	17.107
35.741	17.140
35.903	17.175
36.058	17.214
36.208	17.256
36.350	17.301
36.486	17.348
36.616	17.399
36.740	17.452
36.860	17.508
36.974	17.566
37.084	17.626
37.190	17.689
37.292	17.753
37.392	17.819
37.488	17.886
37.583	17.955
37.675	18.025
37.766	18.096
37.857	18.168
37.946	18.240
38.036	18.314
38.125	18.387
38.216	18.461
38.307	18.535
38.400	18.609
38.494	18.683
38.589	18.758
38.684	18.834
38.779	18.911
38.873	18.989
38.967	19.069
39.060	19.152
39.152	19.237
39.241	19.324
39.329	19.415
39.415	19.508
39.497	19.606
39.577	19.707
39.653	19.813
39.725	19.922
39.794	20.037
39.858	20.157
39.917	20.282
39.971	20.413
40.019	20.550
40.062	20.692
40.101	20.838
40.134	20.989
40.163	21.143
40.186	21.300
40.205	21.460
40.220	21.622
40.230	21.785
40.237	21.949
40.239	22.114
40.236	22.278
40.231	22.442
40.221	22.605
40.208	22.766
40.191	22.925
40.171	23.081
40.147	23.234
40.121	23.383
40.091	23.528
40.059	23.668
40.023	23.803
39.985	23.931
39.945	24.053
39.902	24.169
39.857	24.279
39.811	24.383
39.764	24.482
39.717	24.577
39.670	24.668
39.623	24.757
39.577	24.843
39.532	24.928
39.490	25.011
39.450	25.094
39.413	25.178
39.379	25.262
39.349	25.348
39.323	25.436
39.302	25.526
39.286	25.620
39.274	25.716
39.265	25.814
39.258	25.914
39.253	26.014
39.248	26.114
39.242	26.213
39.235	26.312
39.225	26.408
39.212	26.502
39.195	26.593
39.172	26.680
39.143	26.763
39.107	26.842
39.063	26.914
39.011	26.981
38.951	27.042
38.885	27.100
38.812	27.153
38.735	27.203
38.655	27.250
38.571	27.296
38.486	27.340
38.399	27.384
38.313	27.429
38.228	27.474
38.145	27.520
38.064	27.569
37.988	27.621
37.916	27.676
37.849	27.734
37.787	27.796
37.728	27.860
37.673	27.926
37.621	27.994
37.571	28.063
37.523	28.132
37.477	28.202
37.432	28.272
37.388	28.341
37.344	28.408
37.299	28.474
37.254	28.538
37.208	28.600
37.161	28.660
37.112	28.719
37.063	28.777
37.013	28.835
36.963	28.893
36.911	28.952
36.859	29.012
36.806	29.074
36.752	29.138
36.698	29.205
36.643	29.276
36.588	29.349
36.532	29.427
36.476	29.507
36.419	29.590
36.361	29.674
36.302	29.760
36.242	29.846
36.180	29.931
36.118	30.016
36.054	30.099
35.988	30.180
35.921	30.259
35.852	30.334
35.781	30.404
35.709	30.471
35.634	30.532
35.557	30.587
35.478	30.636
35.396	30.679
35.312	30.718
35.226	30.751
35.138	30.781
35.047	30.806
34.954	30.828
34.858	30.847
34.760	30.863
34.660	30.877
34.557	30.889
34.451	30.899
34.343	30.909
34.233	30.917
34.120	30.926
34.005	30.935
33.887	30.943
33.768	30.951
33.647	30.958
33.526	30.964
33.404	30.968
33.283	30.971
33.162	30.972
33.042	30.970
32.924	30.965
32.807	30.957
32.693	30.946
32.582	30.931
32.474	30.912
32.370	30.888
32.270	30.860
32.174	30.826
32.084	30.787
31.999	30.743
31.919	30.693
31.844	30.637
31.772	30.576
31.704	30.509
31.639	30.437
31.576	30.360
31.515	30.277
31.455	30.190
31.396	30.097
31.337	30.000
31.278	29.898
31.218	29.791
31.157	29.680
31.093	29.564
31.028	29.443
30.959	29.318
30.887	29.189
30.811	29.056
30.731	28.919
30.649	28.779
30.563	28.635
30.475	28.488
30.384	28.339
30.290	28.188
30.195	28.034
30.097	27.879
29.997	27.722
29.896	27.564
29.794	27.405
29.690	27.246
29.586	27.086
29.481	26.927
29.375	26.767
29.269	26.609
29.162	26.451
29.056	26.294
28.950	26.139
28.845	25.985
28.740	25.834
28.636	25.685
28.533	25.539
28.432	25.395
28.332	25.255
28.234	25.118
28.137	24.985
28.043	24.856
27.951	24.731
27.861	24.609
27.774	24.491
27.689	24.376
27.606	24.263
27.526	24.154
27.448	24.046
27.372	23.941
27.299	23.837
27.229	23.735
27.162	23.634
27.097	23.535
27.035	23.436
26.975	23.338
26.919	23.240
26.866	23.142
26.815	23.045
26.768	22.947
26.723	22.848
26.682	22.748
26.643	22.648
26.608	22.547
26.575	22.445
26.545	22.342
26.518	22.239
26.493	22.135
26.470	22.031
26.449	21.926
26.430	21.821
26.413	21.715
26.398	21.610
26.385	21.504
26.372	21.398
26.362	21.292
26.352	21.186
26.344	21.080
26.336	20.974
26.330	20.868
26.324	20.763
26.319	20.659
26.314	20.556
26.311	20.454
26.308	20.353
26.305	20.254
26.303	20.157
26.301	20.061
26.300	19.968
26.299	19.877
26.298	19.789
26.297	19.704
26.297	19.622
26.296	19.543
26.295	19.468
26.294	19.395
26.293	19.325
26.290	19.258
26.287	19.193
26.283	19.129
26.277	19.068
26.270	19.007
26.261	18.948
26.250	18.889
26.237	18.831
26.224	18.774
26.211	18.716
26.202	18.660
26.196	18.603
26.197	18.547
26.205	18.491
26.222	18.435
26.250	18.380
