X	Y
15.312	6.953
15.313	6.922
15.315	6.890
15.318	6.858
15.322	6.827
15.327	6.795
15.333	6.763
15.340	6.731
15.348	6.699
15.357	6.667
15.368	6.634
15.380	6.601
15.393	6.568
15.408	6.535
15.424	6.502
15.442	6.469
15.461	6.435
15.481	6.401
15.504	6.366
15.528	6.332
15.553	6.297
15.580	6.262
15.609	6.227
15.639	6.191
15.670	6.156
15.703	6.120
15.737	6.084
15.772	6.048
15.809	6.011
15.847	5.975
15.886	5.939
15.926	5.902
15.967	5.866
16.009	5.829
16.052	5.793
16.096	5.756
16.141	5.720
16.187	5.683
16.234	5.647
16.281	5.611
16.329	5.575
16.378	5.539
16.428	5.503
16.478	5.467
16.528	5.432
16.579	5.397
16.631	5.362
16.683	5.327
16.735	5.292
16.788	5.258
16.842	5.224
16.895	5.190
16.949	5.156
17.004	5.122
17.059	5.089
17.114	5.056
17.169	5.023
17.225	4.991
17.281	4.959
17.338	4.927
17.394	4.895
17.451	4.863
17.509	4.832
17.566	4.801
17.624	4.770
17.682	4.739
17.740	4.709
17.799	4.679
17.858	4.649
17.917	4.620
17.976	4.590
18.035	4.561
18.094	4.532
18.154	4.504
18.214	4.476
18.273	4.448
18.333	4.420
18.393	4.392
18.453	4.365
18.514	4.338
18.574	4.311
18.634	4.285
18.695	4.259
18.755	4.233
18.816	4.207
18.877	4.181
18.937	4.156
18.998	4.131
19.059	4.106
19.121	4.081
19.182	4.056
19.244	4.031
19.305	4.007
19.367	3.983
19.429	3.958
19.491	3.934
19.554	3.910
19.616	3.886
19.679	3.862
19.742	3.838
19.805	3.814
19.869	3.790
19.932	3.766
19.996	3.742
20.061	3.718
20.125	3.694
20.190	3.670
20.255	3.646
20.320	3.622
20.385	3.598
20.451	3.573
20.517	3.549
20.583	3.524
20.650	3.499
20.717	3.475
20.784	3.450
20.852	3.425
20.920	3.399
20.988	3.374
21.056	3.349
21.125	3.323
21.194	3.298
21.263	3.273
21.332	3.247
21.402	3.222
21.471	3.196
21.541	3.171
21.611	3.146
21.681	3.121
21.751	3.096
21.821	3.071
21.892	3.046
21.962	3.021
22.032	2.997
22.103	2.973
22.173	2.949
22.244	2.925
22.314	2.901
22.385	2.878
22.455	2.855
22.526	2.833
22.596	2.810
22.666	2.788
22.736	2.767
22.806	2.745
22.876	2.724
22.946	2.704
23.015	2.684
23.085	2.664
23.154	2.645
23.223	2.626
23.292	2.608
23.361	2.590
23.429	2.573
23.497	2.556
23.565	2.540
23.632	2.525
23.700	2.510
23.766	2.495
23.833	2.481
23.899	2.468
23.964	2.455
24.029	2.442
24.094	2.431
24.158	2.419
24.221	2.409
24.284	2.399
24.346	2.389
24.408	2.380
24.469	2.372
24.529	2.364
24.588	2.357
24.647	2.350
24.705	2.344
24.763	2.339
24.819	2.334
24.875	2.330
24.929	2.326
24.983	2.323
25.036	2.321
25.088	2.319
25.139	2.318
25.190	2.318
25.239	2.318
25.287	2.319
25.334	2.320
25.380	2.322
25.425	2.325
25.469	2.329
25.512	2.333
25.554	2.338
25.595	2.344
25.636	2.351
25.675	2.359
25.714	2.367
25.752	2.377
25.788	2.387
25.824	2.399
25.860	2.411
25.894	2.425
25.928	2.439
25.961	2.455
25.993	2.472
26.024	2.490
26.055	2.509
26.085	2.529
26.114	2.550
26.142	2.573
26.170	2.596
26.196	2.621
26.222	2.648
26.247	2.675
26.271	2.704
26.294	2.735
26.315	2.766
26.336	2.799
26.355	2.833
26.373	2.869
26.390	2.906
26.406	2.945
26.421	2.985
26.434	3.027
26.445	3.070
26.456	3.114
26.465	3.161
26.472	3.208
26.478	3.257
26.483	3.307
26.487	3.359
26.489	3.411
26.490	3.465
26.490	3.519
26.490	3.574
26.488	3.630
26.485	3.687
26.482	3.743
26.477	3.801
26.472	3.858
26.466	3.916
26.460	3.974
26.453	4.032
26.446	4.090
26.438	4.147
26.430	4.205
26.421	4.262
26.413	4.318
26.404	4.374
26.394	4.429
26.385	4.483
26.376	4.537
26.367	4.589
26.357	4.641
26.348	4.691
26.340	4.740
26.331	4.788
26.322	4.835
26.313	4.881
26.305	4.926
26.296	4.969
26.287	5.012
26.279	5.054
26.270	5.095
26.261	5.135
26.251	5.174
26.242	5.212
26.232	5.250
26.222	5.287
26.212	5.323
26.201	5.359
26.190	5.394
26.179	5.428
26.167	5.462
26.155	5.496
26.142	5.529
26.129	5.562
26.115	5.594
26.101	5.625
26.085	5.656
26.069	5.687
26.052	5.716
26.034	5.745
26.015	5.773
25.995	5.801
25.974	5.827
25.952	5.853
25.928	5.878
25.903	5.901
25.877	5.924
25.849	5.945
25.820	5.966
25.789	5.985
25.756	6.003
25.722	6.020
25.686	6.035
25.649	6.050
25.610	6.063
25.570	6.076
25.529	6.088
25.487	6.098
25.444	6.108
25.400	6.118
25.355	6.126
25.309	6.134
25.263	6.141
25.216	6.148
25.168	6.155
25.121	6.161
25.073	6.166
25.024	6.172
24.976	6.177
24.927	6.182
24.879	6.186
24.831	6.191
24.783	6.196
24.735	6.201
24.687	6.206
24.640	6.211
24.593	6.216
24.547	6.222
24.501	6.227
24.454	6.233
24.409	6.239
24.363	6.245
24.317	6.251
24.272	6.258
24.226	6.265
24.181	6.272
24.136	6.280
24.091	6.288
24.046	6.296
24.001	6.304
23.956	6.313
23.911	6.323
23.865	6.333
23.820	6.343
23.775	6.354
23.729	6.365
23.684	6.377
23.638	6.389
23.592	6.402
23.546	6.415
23.500	6.429
23.453	6.443
23.407	6.458
23.361	6.473
23.314	6.489
23.268	6.505
23.222	6.521
23.176	6.538
23.130	6.555
23.084	6.572
23.038	6.589
22.993	6.607
22.948	6.625
22.903	6.643
22.858	6.662
22.813	6.680
22.769	6.699
22.726	6.718
22.682	6.737
22.639	6.757
22.597	6.776
22.555	6.795
22.514	6.815
22.473	6.834
22.432	6.854
22.392	6.873
22.352	6.893
22.313	6.912
22.273	6.931
22.234	6.951
22.195	6.970
22.157	6.989
22.118	7.008
22.079	7.027
22.041	7.046
22.002	7.064
21.964	7.083
21.925	7.101
21.886	7.119
21.847	7.136
21.808	7.154
21.768	7.171
21.728	7.188
21.688	7.205
21.647	7.221
21.606	7.237
21.565	7.253
21.523	7.268
21.481	7.283
21.438	7.298
21.395	7.313
21.352	7.328
21.308	7.343
21.263	7.358
21.219	7.372
21.173	7.387
21.128	7.402
21.082	7.416
21.035	7.431
20.988	7.446
20.941	7.462
20.893	7.477
20.845	7.493
20.796	7.509
20.747	7.525
20.698	7.542
20.648	7.559
20.598	7.577
20.547	7.595
20.496	7.613
20.444	7.632
20.392	7.651
20.339	7.671
20.286	7.691
20.233	7.712
20.179	7.732
20.125	7.753
20.070	7.774
20.016	7.795
19.960	7.816
19.904	7.837
19.848	7.858
19.792	7.879
19.735	7.900
19.678	7.920
19.620	7.941
19.562	7.961
19.504	7.980
19.445	7.999
19.386	8.018
19.327	8.037
19.268	8.054
19.208	8.072
19.147	8.088
19.087	8.104
19.026	8.119
18.965	8.134
18.904	8.147
18.842	8.160
18.780	8.172
18.718	8.182
18.655	8.192
18.592	8.201
18.529	8.209
18.466	8.216
18.403	8.223
18.339	8.228
18.275	8.233
18.211	8.237
18.147	8.241
18.083	8.244
18.018	8.246
17.954	8.248
17.889	8.250
17.824	8.251
17.759	8.252
17.694	8.252
17.629	8.252
17.564	8.252
17.499	8.252
17.434	8.252
17.369	8.251
17.304	8.251
17.239	8.251
17.174	8.250
17.109	8.250
17.044	8.250
16.980	8.250
16.915	8.250
16.850	8.250
16.786	8.251
16.721	8.252
16.657	8.254
16.593	8.256
16.529	8.258
16.466	8.261
16.403	8.264
16.340	8.267
16.279	8.270
16.218	8.273
16.158	8.275
16.099	8.278
16.041	8.279
15.985	8.280
15.930	8.281
15.877	8.280
15.826	8.279
15.776	8.277
15.728	8.273
15.683	8.268
15.639	8.262
15.598	8.254
15.560	8.245
15.524	8.233
15.490	8.220
15.460	8.205
15.433	8.188
15.408	8.169
15.387	8.147
15.369	8.123
15.354	8.097
15.342	8.068
15.333	8.038
15.326	8.006
15.321	7.973
15.318	7.938
15.316	7.902
15.316	7.865
15.317	7.828
15.319	7.789
15.322	7.751
15.325	7.712
15.328	7.673
15.331	7.634
15.334	7.595
15.337	7.556
15.339	7.519
15.339	7.482
15.339	7.445
15.339	7.410
15.337	7.375
15.336	7.340
15.333	7.306
15.331	7.273
15.328	7.240
15.325	7.207
15.323	7.175
15.320	7.142
15.318	7.111
15.315	7.079
15.314	7.047
15.313	7.016
15.312	6.984
15.312	6.953
