X	Y
15.495	8.047
15.522	8.017
15.552	7.988
15.584	7.961
15.619	7.933
15.656	7.907
15.695	7.882
15.737	7.857
15.780	7.833
15.826	7.810
15.874	7.787
15.923	7.765
15.975	7.743
16.028	7.723
16.083	7.702
16.140	7.682
16.198	7.663
16.258	7.644
16.320	7.626
16.383	7.608
16.447	7.591
16.513	7.574
16.579	7.557
16.648	7.540
16.717	7.524
16.787	7.508
16.859	7.493
16.931	7.477
17.004	7.462
17.078	7.447
17.153	7.432
17.228	7.418
17.305	7.403
17.381	7.388
17.458	7.374
17.536	7.359
17.614	7.345
17.693	7.330
17.771	7.316
17.850	7.301
17.930	7.286
18.009	7.271
18.088	7.256
18.168	7.241
18.248	7.226
18.328	7.211
18.408	7.196
18.489	7.181
18.569	7.166
18.650	7.151
18.730	7.136
18.811	7.120
18.892	7.105
18.973	7.090
19.054	7.075
19.135	7.061
19.216	7.046
19.298	7.031
19.379	7.016
19.460	7.002
19.541	6.987
19.623	6.973
19.704	6.959
19.785	6.944
19.866	6.930
19.948	6.916
20.029	6.903
20.110	6.889
20.191	6.876
20.272	6.863
20.353	6.850
20.433	6.837
20.514	6.824
20.595	6.812
20.675	6.800
20.755	6.788
20.835	6.776
20.915	6.764
20.995	6.753
21.075	6.742
21.154	6.732
21.233	6.721
21.312	6.711
21.391	6.701
21.470	6.692
21.548	6.683
21.626	6.674
21.704	6.665
21.782	6.657
21.859	6.649
21.936	6.642
22.013	6.635
22.089	6.628
22.165	6.621
22.241	6.615
22.316	6.609
22.391	6.603
22.465	6.598
22.538	6.593
22.612	6.588
22.684	6.583
22.756	6.579
22.828	6.575
22.899	6.571
22.969	6.568
23.038	6.564
23.107	6.561
23.176	6.558
23.243	6.556
23.310	6.553
23.376	6.551
23.441	6.549
23.505	6.547
23.568	6.545
23.631	6.544
23.693	6.542
23.754	6.541
23.813	6.540
23.872	6.539
23.930	6.538
23.987	6.538
24.043	6.537
24.098	6.537
24.152	6.536
24.204	6.536
24.256	6.536
24.306	6.536
24.355	6.536
24.403	6.537
24.450	6.537
24.496	6.538
24.541	6.538
24.584	6.539
24.627	6.541
24.669	6.543
24.709	6.545
24.749	6.548
24.788	6.551
24.826	6.555
24.864	6.559
24.900	6.564
24.936	6.570
24.971	6.577
25.006	6.585
25.040	6.593
25.073	6.603
25.106	6.613
25.138	6.624
25.169	6.637
25.201	6.651
25.232	6.665
25.262	6.681
25.292	6.699
25.322	6.717
25.351	6.737
25.380	6.758
25.408	6.780
25.435	6.803
25.461	6.827
25.487	6.852
25.512	6.878
25.537	6.905
25.560	6.933
25.583	6.962
25.604	6.992
25.625	7.023
25.644	7.054
25.662	7.087
25.679	7.120
25.695	7.154
25.710	7.189
25.723	7.224
25.736	7.260
25.746	7.297
25.756	7.335
25.764	7.372
25.771	7.411
25.776	7.450
25.781	7.490
25.784	7.529
25.786	7.570
25.786	7.610
25.786	7.651
25.785	7.693
25.782	7.734
25.779	7.776
25.774	7.818
25.768	7.859
25.761	7.901
25.754	7.943
25.745	7.985
25.736	8.027
25.725	8.069
25.714	8.111
25.702	8.153
25.689	8.194
25.675	8.235
25.660	8.276
25.645	8.317
25.628	8.357
25.611	8.397
25.594	8.437
25.576	8.477
25.557	8.517
25.537	8.557
25.517	8.597
25.496	8.636
25.475	8.676
25.453	8.716
25.431	8.756
25.408	8.796
25.384	8.836
25.361	8.876
25.336	8.916
25.312	8.957
25.287	8.997
25.261	9.039
25.236	9.080
25.210	9.122
25.183	9.164
25.157	9.206
25.130	9.249
25.103	9.292
25.076	9.336
25.049	9.380
25.021	9.425
24.994	9.470
24.966	9.515
24.938	9.561
24.910	9.608
24.881	9.654
24.853	9.701
24.824	9.749
24.795	9.797
24.766	9.844
24.737	9.893
24.708	9.941
24.678	9.989
24.649	10.038
24.619	10.087
24.588	10.136
24.558	10.184
24.528	10.233
24.497	10.282
24.466	10.331
24.434	10.380
24.403	10.428
24.371	10.477
24.339	10.525
24.307	10.573
24.275	10.621
24.242	10.669
24.209	10.716
24.176	10.764
24.143	10.810
24.109	10.857
24.075	10.903
24.041	10.949
24.007	10.994
23.972	11.039
23.937	11.083
23.902	11.127
23.866	11.170
23.830	11.213
23.794	11.256
23.758	11.298
23.721	11.340
23.683	11.381
23.646	11.422
23.608	11.463
23.570	11.504
23.531	11.544
23.492	11.583
23.452	11.623
23.412	11.662
23.372	11.701
23.331	11.740
23.290	11.779
23.248	11.817
23.206	11.855
23.164	11.893
23.121	11.931
23.077	11.968
23.033	12.005
22.989	12.043
22.944	12.080
22.898	12.117
22.852	12.154
22.805	12.190
22.758	12.227
22.710	12.264
22.662	12.300
22.613	12.337
22.564	12.373
22.514	12.410
22.463	12.446
22.412	12.482
22.361	12.518
22.309	12.554
22.257	12.590
22.204	12.625
22.151	12.660
22.098	12.695
22.045	12.729
21.992	12.763
21.939	12.797
21.885	12.830
21.832	12.862
21.778	12.894
21.725	12.926
21.672	12.957
21.619	12.987
21.566	13.016
21.514	13.045
21.461	13.073
21.409	13.100
21.358	13.127
21.306	13.152
21.256	13.177
21.206	13.201
21.156	13.223
21.107	13.245
21.058	13.266
21.010	13.286
20.963	13.304
20.917	13.322
20.871	13.338
20.827	13.353
20.783	13.367
20.740	13.379
20.697	13.391
20.656	13.401
20.615	13.411
20.575	13.419
20.536	13.427
20.497	13.433
20.458	13.440
20.420	13.445
20.383	13.450
20.346	13.454
20.309	13.458
20.272	13.461
20.236	13.465
20.200	13.467
20.163	13.470
20.127	13.473
20.091	13.475
20.055	13.478
20.019	13.481
19.982	13.484
19.946	13.487
19.909	13.491
19.872	13.495
19.834	13.499
19.797	13.503
19.758	13.508
19.720	13.514
19.682	13.519
19.643	13.525
19.603	13.531
19.564	13.538
19.524	13.545
19.484	13.552
19.443	13.559
19.402	13.567
19.361	13.575
19.320	13.583
19.278	13.591
19.236	13.600
19.194	13.608
19.151	13.618
19.108	13.627
19.064	13.636
19.021	13.646
18.976	13.656
18.932	13.666
18.887	13.676
18.842	13.686
18.797	13.697
18.751	13.707
18.705	13.718
18.659	13.728
18.612	13.739
18.566	13.749
18.519	13.759
18.473	13.769
18.426	13.778
18.379	13.788
18.332	13.796
18.285	13.805
18.239	13.813
18.192	13.821
18.145	13.828
18.099	13.834
18.053	13.840
18.007	13.845
17.961	13.849
17.915	13.853
17.870	13.855
17.825	13.857
17.780	13.858
17.736	13.858
17.692	13.857
17.649	13.855
17.606	13.852
17.564	13.848
17.522	13.842
17.480	13.836
17.439	13.829
17.398	13.820
17.358	13.811
17.318	13.801
17.278	13.790
17.239	13.778
17.200	13.765
17.161	13.752
17.123	13.738
17.085	13.723
17.047	13.707
17.009	13.691
16.971	13.674
16.934	13.656
16.897	13.638
16.859	13.620
16.822	13.601
16.786	13.581
16.749	13.561
16.712	13.541
16.675	13.520
16.639	13.499
16.602	13.478
16.565	13.456
16.529	13.434
16.493	13.412
16.456	13.388
16.421	13.365
16.385	13.340
16.350	13.315
16.315	13.290
16.280	13.263
16.246	13.236
16.212	13.208
16.179	13.179
16.146	13.149
16.114	13.118
16.082	13.087
16.051	13.054
16.020	13.020
15.991	12.985
15.962	12.948
15.933	12.911
15.906	12.872
15.879	12.832
15.853	12.790
15.828	12.747
15.804	12.703
15.781	12.657
15.759	12.610
15.738	12.561
15.718	12.511
15.698	12.460
15.679	12.408
15.661	12.354
15.644	12.300
15.627	12.244
15.612	12.188
15.596	12.130
15.582	12.072
15.567	12.013
15.554	11.953
15.541	11.893
15.528	11.832
15.516	11.770
15.504	11.708
15.492	11.646
15.481	11.583
15.470	11.519
15.459	11.456
15.449	11.392
15.438	11.328
15.428	11.265
15.418	11.201
15.408	11.137
15.398	11.073
15.389	11.009
15.379	10.946
15.369	10.883
15.359	10.820
15.348	10.757
15.338	10.695
15.328	10.633
15.317	10.572
15.306	10.512
15.295	10.452
15.283	10.393
15.272	10.335
15.260	10.277
15.249	10.220
15.237	10.164
15.226	10.109
15.214	10.054
15.203	10.001
15.192	9.948
15.182	9.896
15.171	9.845
15.162	9.795
15.152	9.747
15.143	9.699
15.135	9.652
15.128	9.606
15.121	9.561
15.115	9.518
15.109	9.475
15.105	9.434
15.101	9.394
15.099	9.355
15.097	9.317
15.097	9.281
15.097	9.246
15.099	9.212
15.102	9.180
15.107	9.149
15.112	9.119
15.119	9.090
15.127	9.063
15.135	9.036
15.145	9.010
15.155	8.985
15.165	8.960
15.176	8.935
15.187	8.910
15.198	8.886
15.209	8.861
15.219	8.836
15.230	8.811
15.240	8.785
15.249	8.758
15.258	8.730
15.266	8.702
15.274	8.672
15.280	8.641
15.287	8.610
15.293	8.578
15.299	8.545
15.305	8.512
15.312	8.479
15.319	8.445
15.326	8.411
15.334	8.376
15.343	8.342
15.354	8.308
15.365	8.274
15.378	8.240
15.393	8.206
15.409	8.173
15.427	8.141
15.447	8.109
15.470	8.077
15.495	8.047
