X	Y
73.718	34.571
73.795	34.357
73.894	34.142
74.013	33.926
74.152	33.711
74.309	33.494
74.485	33.278
74.678	33.060
74.888	32.842
75.113	32.624
75.353	32.404
75.607	32.184
75.874	31.963
76.153	31.741
76.443	31.519
76.744	31.295
77.055	31.070
77.375	30.845
77.703	30.618
78.038	30.390
78.380	30.160
78.727	29.930
79.079	29.698
79.435	29.465
79.794	29.230
80.158	28.994
80.525	28.757
80.895	28.518
81.270	28.277
81.648	28.036
82.030	27.792
82.416	27.547
82.805	27.301
83.197	27.053
83.594	26.804
83.994	26.553
84.397	26.300
84.804	26.046
85.215	25.790
85.629	25.532
86.046	25.273
86.468	25.012
86.892	24.749
87.320	24.485
87.752	24.219
88.187	23.951
88.625	23.681
89.067	23.410
89.512	23.136
89.960	22.861
90.412	22.584
90.867	22.305
91.325	22.024
91.787	21.741
92.252	21.457
92.720	21.170
93.192	20.882
93.666	20.591
94.143	20.300
94.622	20.007
95.104	19.714
95.586	19.421
96.071	19.127
96.556	18.834
97.041	18.542
97.528	18.250
98.014	17.960
98.500	17.672
98.985	17.385
99.469	17.101
99.952	16.819
100.434	16.541
100.913	16.266
101.391	15.994
101.865	15.726
102.337	15.463
102.806	15.204
103.271	14.950
103.733	14.701
104.190	14.458
104.643	14.221
105.091	13.990
105.534	13.766
105.971	13.548
106.403	13.338
106.829	13.135
107.248	12.940
107.661	12.754
108.066	12.576
108.464	12.407
108.855	12.247
109.237	12.096
109.612	11.955
109.980	11.823
110.341	11.700
110.696	11.585
111.045	11.479
111.389	11.381
111.728	11.291
112.064	11.208
112.396	11.132
112.725	11.063
113.051	11.001
113.376	10.946
113.699	10.896
114.021	10.852
114.343	10.814
114.665	10.781
114.988	10.753
115.312	10.730
115.637	10.711
115.965	10.696
116.296	10.685
116.630	10.678
116.967	10.675
117.309	10.674
117.652	10.677
117.997	10.683
118.343	10.692
118.688	10.705
119.032	10.721
119.374	10.741
119.712	10.765
120.045	10.792
120.374	10.822
120.696	10.856
121.010	10.894
121.317	10.936
121.614	10.981
121.901	11.031
122.177	11.084
122.440	11.141
122.691	11.202
122.927	11.267
123.149	11.336
123.354	11.409
123.544	11.487
123.718	11.571
123.878	11.661
124.025	11.758
124.158	11.863
124.280	11.978
124.390	12.102
124.489	12.237
124.579	12.384
124.659	12.544
124.730	12.716
124.794	12.903
124.849	13.103
124.897	13.315
124.938	13.540
124.970	13.776
124.995	14.022
125.013	14.277
125.022	14.542
125.025	14.815
125.020	15.095
125.007	15.381
124.987	15.674
124.960	15.972
124.926	16.274
124.884	16.579
124.835	16.888
124.779	17.199
124.716	17.511
124.646	17.823
124.569	18.137
124.486	18.451
124.397	18.766
124.302	19.081
124.202	19.397
124.097	19.714
123.987	20.031
123.872	20.349
123.753	20.667
123.630	20.986
123.504	21.305
123.375	21.625
123.242	21.945
123.107	22.266
122.970	22.587
122.830	22.909
122.689	23.231
122.547	23.553
122.404	23.876
122.259	24.199
122.115	24.522
121.970	24.846
121.825	25.169
121.680	25.493
121.534	25.818
121.387	26.142
121.239	26.465
121.089	26.789
120.936	27.113
120.781	27.436
120.624	27.758
120.462	28.080
120.298	28.401
120.129	28.722
119.956	29.041
119.778	29.360
119.595	29.678
119.407	29.994
119.213	30.309
119.013	30.623
118.806	30.936
118.593	31.247
118.372	31.556
118.144	31.864
117.907	32.170
117.663	32.474
117.410	32.776
117.149	33.076
116.881	33.373
116.607	33.667
116.329	33.958
116.046	34.246
115.762	34.530
115.475	34.809
115.188	35.084
114.901	35.355
114.616	35.620
114.334	35.879
114.055	36.133
113.781	36.381
113.513	36.622
113.251	36.856
112.998	37.084
112.753	37.304
112.518	37.516
112.294	37.720
112.082	37.916
111.883	38.103
111.699	38.280
111.529	38.449
111.376	38.608
111.236	38.757
111.108	38.896
110.988	39.026
110.875	39.145
110.765	39.254
110.655	39.354
110.544	39.443
110.428	39.522
110.304	39.590
110.171	39.649
110.026	39.697
109.868	39.735
109.698	39.764
109.517	39.784
109.325	39.797
109.124	39.803
108.913	39.802
108.693	39.795
108.464	39.783
108.229	39.766
107.986	39.746
107.736	39.722
107.481	39.696
107.220	39.668
106.955	39.639
106.685	39.609
106.411	39.579
