X	Y
9.400	4.683
9.411	4.668
9.424	4.654
9.438	4.640
9.454	4.627
9.471	4.614
9.490	4.602
9.510	4.590
9.531	4.579
9.554	4.568
9.578	4.558
9.604	4.548
9.630	4.539
9.658	4.530
9.687	4.521
9.717	4.513
9.748	4.505
9.780	4.498
9.813	4.491
9.847	4.484
9.881	4.478
9.917	4.471
9.954	4.465
9.991	4.459
10.029	4.454
10.068	4.448
10.107	4.443
10.147	4.438
10.187	4.433
10.229	4.428
10.270	4.424
10.312	4.419
10.355	4.414
10.398	4.410
10.441	4.405
10.485	4.401
10.529	4.396
10.573	4.392
10.618	4.388
10.663	4.384
10.708	4.379
10.754	4.375
10.800	4.371
10.846	4.367
10.893	4.363
10.940	4.359
10.987	4.356
11.034	4.352
11.082	4.348
11.129	4.344
11.177	4.341
11.225	4.337
11.274	4.334
11.322	4.331
11.371	4.327
11.420	4.324
11.468	4.321
11.517	4.318
11.566	4.315
11.616	4.312
11.665	4.309
11.714	4.306
11.764	4.303
11.813	4.301
11.862	4.298
11.912	4.295
11.961	4.293
12.011	4.291
12.060	4.288
12.110	4.286
12.159	4.284
12.209	4.282
12.258	4.280
12.307	4.278
12.356	4.276
12.405	4.274
12.454	4.273
12.503	4.271
12.552	4.270
12.600	4.268
12.648	4.267
12.697	4.266
12.745	4.265
12.792	4.264
12.840	4.263
12.888	4.262
12.935	4.261
12.982	4.261
13.029	4.260
13.076	4.260
13.123	4.259
13.170	4.259
13.216	4.259
13.262	4.259
13.309	4.259
13.355	4.259
13.401	4.259
13.447	4.260
13.492	4.260
13.538	4.261
13.584	4.262
13.629	4.263
13.674	4.264
13.720	4.265
13.765	4.266
13.810	4.268
13.855	4.269
13.900	4.271
13.945	4.272
13.989	4.274
14.034	4.276
14.079	4.279
14.123	4.281
14.168	4.283
14.212	4.286
14.257	4.289
14.301	4.292
14.346	4.295
14.390	4.298
14.434	4.301
14.479	4.305
14.523	4.309
14.567	4.312
14.611	4.316
14.655	4.320
14.700	4.325
14.744	4.329
14.788	4.334
14.832	4.339
14.876	4.344
14.920	4.349
14.964	4.354
15.008	4.360
15.051	4.365
15.095	4.371
15.138	4.377
15.181	4.384
15.223	4.391
15.265	4.398
15.307	4.405
15.348	4.412
15.388	4.420
15.428	4.428
15.468	4.436
15.507	4.445
15.545	4.454
15.583	4.463
15.619	4.473
15.655	4.483
15.691	4.493
15.725	4.504
15.759	4.515
15.791	4.526
15.823	4.538
15.853	4.550
15.883	4.563
15.911	4.576
15.939	4.589
15.965	4.603
15.990	4.617
16.013	4.632
16.036	4.647
16.057	4.663
16.077	4.679
16.095	4.695
16.112	4.713
16.128	4.730
16.142	4.748
16.155	4.767
16.167	4.785
16.177	4.805
16.186	4.824
16.194	4.844
16.201	4.865
16.208	4.885
16.213	4.906
16.217	4.927
16.220	4.949
16.222	4.970
16.224	4.992
16.225	5.014
16.225	5.036
16.224	5.058
16.223	5.081
16.222	5.103
16.219	5.126
16.217	5.149
16.214	5.171
16.210	5.194
16.206	5.217
16.202	5.239
16.197	5.262
16.192	5.285
16.187	5.308
16.181	5.332
16.175	5.355
16.169	5.378
16.162	5.402
16.155	5.426
16.148	5.450
16.141	5.474
16.133	5.498
16.125	5.523
16.117	5.547
16.108	5.572
16.100	5.598
16.091	5.623
16.082	5.649
16.072	5.675
16.063	5.702
16.053	5.728
16.043	5.755
16.033	5.783
16.023	5.810
16.013	5.839
16.003	5.867
15.992	5.896
15.981	5.925
15.970	5.954
15.959	5.983
15.948	6.013
15.936	6.043
15.924	6.073
15.911	6.103
15.898	6.134
15.885	6.165
15.871	6.195
15.857	6.226
15.843	6.257
15.828	6.288
15.813	6.319
15.797	6.351
15.780	6.382
15.763	6.413
15.746	6.444
15.728	6.475
15.709	6.507
15.690	6.538
15.670	6.569
15.649	6.600
15.628	6.631
15.605	6.661
15.583	6.692
15.559	6.722
15.535	6.753
15.510	6.783
15.484	6.812
15.457	6.842
15.430	6.871
15.401	6.901
15.372	6.930
15.342	6.958
15.311	6.986
15.280	7.015
15.248	7.042
15.215	7.070
15.182	7.097
15.148	7.124
15.114	7.150
15.079	7.177
15.043	7.202
15.007	7.228
14.971	7.253
14.934	7.278
14.898	7.302
14.860	7.326
14.823	7.350
14.785	7.373
14.747	7.396
14.708	7.419
14.670	7.441
14.632	7.462
14.593	7.484
14.554	7.504
14.516	7.525
14.477	7.545
14.438	7.564
14.400	7.583
14.361	7.601
14.323	7.619
14.285	7.637
14.247	7.654
14.209	7.670
14.172	7.686
14.135	7.701
14.098	7.716
14.061	7.731
14.025	7.744
13.990	7.757
13.955	7.770
13.920	7.782
13.886	7.794
13.852	7.805
13.819	7.815
13.786	7.825
13.754	7.834
13.722	7.843
13.690	7.851
13.659	7.859
13.628	7.867
13.597	7.874
13.566	7.880
13.535	7.887
13.505	7.893
13.474	7.898
13.444	7.903
13.414	7.908
13.383	7.913
13.353	7.917
13.322	7.922
13.291	7.926
13.260	7.929
13.229	7.933
13.198	7.936
13.166	7.940
13.134	7.943
13.102	7.946
13.069	7.949
13.036	7.952
13.002	7.954
12.968	7.957
12.934	7.960
12.899	7.963
12.863	7.966
12.826	7.968
12.789	7.971
12.752	7.974
12.713	7.977
12.675	7.980
12.636	7.983
12.596	7.986
12.556	7.989
12.515	7.991
12.475	7.994
12.434	7.997
12.392	7.999
12.351	8.001
12.309	8.004
12.267	8.006
12.225	8.008
12.183	8.009
12.140	8.011
12.098	8.012
12.056	8.013
12.014	8.013
11.972	8.014
11.930	8.014
11.888	8.014
11.846	8.013
11.805	8.013
11.763	8.012
