X	Y
25.020	13.438
25.061	13.336
25.135	13.225
25.236	13.109
25.360	12.986
25.501	12.859
25.652	12.727
25.809	12.594
25.965	12.458
26.116	12.322
26.256	12.185
26.378	12.050
26.478	11.917
26.556	11.786
26.615	11.657
26.661	11.530
26.700	11.402
26.735	11.274
26.771	11.145
26.815	11.015
26.871	10.882
26.943	10.747
27.036	10.608
27.147	10.465
27.276	10.319
27.422	10.170
27.583	10.017
27.759	9.861
27.949	9.701
28.150	9.537
28.363	9.370
28.585	9.199
28.817	9.025
29.056	8.846
29.302	8.664
29.553	8.478
29.809	8.288
30.068	8.095
30.329	7.897
30.591	7.696
30.855	7.491
31.120	7.284
31.385	7.073
31.652	6.861
31.919	6.647
32.186	6.432
32.454	6.215
32.722	5.998
32.989	5.781
33.256	5.564
33.523	5.348
33.788	5.133
34.053	4.919
34.317	4.707
34.579	4.497
34.840	4.289
35.099	4.085
35.356	3.884
35.611	3.686
35.864	3.493
36.115	3.304
36.363	3.120
36.609	2.941
36.852	2.767
37.092	2.599
37.330	2.435
37.566	2.277
37.799	2.124
38.030	1.978
38.258	1.836
38.484	1.701
38.707	1.572
38.928	1.449
39.146	1.333
39.362	1.223
39.576	1.119
39.787	1.022
39.995	0.932
40.201	0.849
40.405	0.773
40.608	0.703
40.809	0.640
41.009	0.583
41.208	0.531
41.408	0.485
41.607	0.445
41.807	0.410
42.008	0.380
42.210	0.354
42.414	0.334
42.620	0.317
42.828	0.305
43.038	0.297
43.246	0.295
43.450	0.300
43.646	0.312
43.833	0.333
44.007	0.363
44.165	0.405
44.304	0.459
44.422	0.526
44.515	0.607
44.581	0.704
44.621	0.815
44.639	0.939
44.641	1.074
44.632	1.216
44.618	1.363
44.603	1.514
44.593	1.664
44.594	1.813
44.611	1.958
44.646	2.098
44.694	2.233
44.754	2.366
44.822	2.496
44.895	2.625
44.969	2.755
45.041	2.886
45.108	3.020
45.167	3.157
45.215	3.298
45.253	3.443
45.285	3.590
45.312	3.737
45.339	3.881
45.368	4.023
45.402	4.158
45.444	4.287
45.498	4.407
45.565	4.517
45.646	4.616
45.736	4.708
45.831	4.795
45.925	4.881
46.014	4.967
46.095	5.057
46.162	5.153
46.210	5.258
46.238	5.372
46.247	5.489
46.236	5.605
46.207	5.714
46.160	5.812
46.097	5.893
46.017	5.952
45.924	5.989
45.818	6.010
45.701	6.020
45.577	6.024
45.446	6.026
45.311	6.033
45.174	6.049
45.038	6.078
44.902	6.123
44.768	6.183
44.637	6.256
44.508	6.342
44.383	6.439
44.262	6.548
44.147	6.667
44.036	6.795
43.932	6.932
43.834	7.077
43.743	7.229
43.658	7.385
43.580	7.547
43.509	7.711
43.444	7.877
43.384	8.044
43.332	8.211
43.285	8.376
43.243	8.538
43.208	8.697
43.178	8.850
43.153	8.999
43.135	9.143
43.122	9.286
43.115	9.428
43.114	9.571
43.120	9.716
43.132	9.866
43.150	10.022
43.175	10.185
43.207	10.357
43.246	10.537
43.292	10.723
43.343	10.912
43.401	11.101
43.465	11.288
43.534	11.470
43.609	11.644
43.689	11.809
43.774	11.961
43.864	12.098
43.959	12.217
44.058	12.317
44.160	12.399
44.264	12.470
44.370	12.533
44.475	12.593
44.578	12.657
44.679	12.729
44.776	12.813
44.867	12.916
44.951	13.036
45.026	13.169
45.089	13.311
45.139	13.457
45.171	13.602
45.186	13.740
45.179	13.868
45.149	13.979
45.093	14.071
45.014	14.143
44.915	14.201
44.800	14.247
44.672	14.288
44.537	14.326
44.397	14.367
44.257	14.415
44.120	14.474
43.990	14.547
43.868	14.631
43.755	14.726
43.654	14.830
43.564	14.942
43.488	15.059
43.428	15.180
43.384	15.303
43.357	15.428
43.347	15.551
43.346	15.670
43.348	15.783
43.345	15.887
43.331	15.980
43.299	16.059
43.243	16.121
43.161	16.167
43.057	16.197
42.934	16.213
42.797	16.216
42.650	16.208
42.497	16.189
42.340	16.162
42.186	16.127
42.035	16.086
41.887	16.040
41.742	15.988
41.598	15.932
41.454	15.872
41.310	15.809
41.165	15.742
41.016	15.674
40.864	15.604
40.708	15.533
40.546	15.462
40.378	15.391
40.206	15.320
40.030	15.251
39.850	15.182
39.668	15.117
39.483	15.053
39.297	14.993
39.109	14.936
38.921	14.883
38.733	14.835
38.547	14.792
38.361	14.754
38.178	14.722
37.996	14.697
37.816	14.677
37.637	14.664
37.460	14.657
37.284	14.657
37.110	14.663
36.937	14.675
36.764	14.695
36.593	14.721
36.423	14.755
36.253	14.795
36.084	14.843
35.917	14.896
35.750	14.954
35.585	15.018
35.421	15.085
35.259	15.156
35.099	15.229
34.940	15.305
34.784	15.383
34.630	15.461
34.478	15.540
34.328	15.618
34.180	15.696
34.032	15.773
33.884	15.850
33.734	15.926
33.582	16.001
33.427	16.075
33.268	16.147
33.104	16.218
32.934	16.287
32.758	16.355
32.574	16.420
32.384	16.484
32.187	16.545
31.985	16.603
31.778	16.658
31.568	16.710
31.354	16.758
31.138	16.802
30.921	16.843
30.702	16.879
30.484	16.911
30.266	16.937
30.049	16.959
29.834	16.975
29.622	16.985
29.413	16.991
29.208	16.993
29.006	16.991
28.808	16.986
28.614	16.979
28.424	16.970
28.240	16.961
28.060	16.952
27.885	16.943
27.716	16.936
27.553	16.931
27.396	16.929
27.245	16.928
27.100	16.926
26.961	16.919
26.828	16.904
26.702	16.880
26.581	16.843
26.466	16.790
26.358	16.719
26.255	16.627
26.159	16.515
26.069	16.387
25.985	16.245
25.908	16.093
25.837	15.931
25.773	15.764
25.717	15.594
25.667	15.424
25.624	15.256
25.589	15.093
25.561	14.937
25.538	14.789
25.516	14.648
25.495	14.515
25.470	14.389
25.440	14.271
25.403	14.161
25.356	14.058
25.296	13.963
25.226	13.874
25.156	13.789
25.092	13.706
25.042	13.621
25.016	13.533
25.020	13.438
