X	Y
26.434	16.267
26.558	16.155
26.719	16.042
26.913	15.929
27.138	15.817
27.391	15.705
27.670	15.595
27.970	15.488
28.290	15.382
28.627	15.280
28.977	15.181
29.339	15.086
29.708	14.995
30.082	14.909
30.459	14.828
30.835	14.753
31.207	14.685
31.574	14.623
31.932	14.568
32.281	14.520
32.623	14.479
32.957	14.446
33.285	14.419
33.606	14.399
33.920	14.386
34.229	14.380
34.533	14.380
34.832	14.387
35.126	14.401
35.417	14.422
35.704	14.449
35.988	14.483
36.269	14.523
36.547	14.569
36.824	14.622
37.097	14.682
37.363	14.747
37.620	14.818
37.863	14.895
38.091	14.977
38.300	15.065
38.486	15.157
38.648	15.255
38.781	15.357
38.883	15.464
38.951	15.575
38.984	15.690
38.991	15.809
38.981	15.933
38.962	16.063
38.945	16.198
38.938	16.338
38.950	16.485
38.987	16.637
39.048	16.792
39.131	16.947
39.232	17.099
39.351	17.245
39.484	17.384
39.630	17.511
39.787	17.625
39.952	17.722
40.124	17.800
40.299	17.863
40.475	17.913
40.650	17.955
40.821	17.992
40.985	18.028
41.141	18.066
41.284	18.111
41.414	18.165
41.526	18.232
41.623	18.311
41.703	18.401
41.769	18.499
41.819	18.604
41.855	18.714
41.877	18.827
41.886	18.943
41.881	19.059
41.864	19.176
41.835	19.291
41.794	19.404
41.741	19.514
41.680	19.622
41.618	19.730
41.559	19.840
41.510	19.954
41.476	20.074
41.464	20.204
41.477	20.343
41.508	20.487
41.549	20.633
41.592	20.774
41.628	20.907
41.647	21.025
41.642	21.124
41.606	21.200
41.540	21.255
41.449	21.295
41.337	21.323
41.209	21.344
41.069	21.361
40.923	21.379
40.776	21.400
40.634	21.425
40.503	21.456
40.388	21.497
40.297	21.550
40.233	21.616
40.195	21.696
40.178	21.789
40.174	21.895
40.178	22.013
40.183	22.142
40.187	22.281
40.191	22.430
40.198	22.586
40.210	22.749
40.231	22.918
40.263	23.090
40.309	23.265
40.371	23.442
40.452	23.618
40.551	23.794
40.666	23.969
40.793	24.143
40.929	24.315
41.072	24.486
41.218	24.655
41.365	24.822
41.509	24.986
41.647	25.148
41.777	25.307
41.894	25.462
41.999	25.615
42.091	25.765
42.171	25.914
42.240	26.062
42.299	26.211
42.348	26.361
42.389	26.513
