X	Y
1074.000	616.000
1075.233	614.202
1076.702	612.443
1078.394	610.719
1080.297	609.028
1082.398	607.367
1084.686	605.732
1087.148	604.120
1089.772	602.528
1092.546	600.953
1095.457	599.391
1098.493	597.839
1101.642	596.294
1104.892	594.754
1108.230	593.213
1111.644	591.671
1115.121	590.122
1118.651	588.564
1122.219	586.995
1125.815	585.410
1129.425	583.806
1133.038	582.180
1136.641	580.530
1140.221	578.851
1143.768	577.141
1147.277	575.399
1150.750	573.627
1154.192	571.826
1157.605	569.999
1160.993	568.147
1164.360	566.272
1167.710	564.376
1171.045	562.461
1174.369	560.528
1177.686	558.580
1180.999	556.618
1184.312	554.644
1187.627	552.660
1190.950	550.667
1194.282	548.669
1197.628	546.666
1200.991	544.660
1204.375	542.653
1207.783	540.647
1211.218	538.644
1214.684	536.645
1218.185	534.653
1221.724	532.669
1225.304	530.695
1228.929	528.734
1232.602	526.785
1236.328	524.853
1240.108	522.938
1243.945	521.041
1247.838	519.161
1251.786	517.297
1255.787	515.450
1259.842	513.618
1263.948	511.801
1268.106	509.999
1272.315	508.209
1276.573	506.433
1280.880	504.669
1285.236	502.917
1289.638	501.175
1294.086	499.445
1298.580	497.724
1303.119	496.012
1307.701	494.309
1312.326	492.614
1316.993	490.926
1321.702	489.245
1326.450	487.570
1331.238	485.900
1336.065	484.236
1340.930	482.575
1345.831	480.919
1350.769	479.265
1355.741	477.614
1360.748	475.964
1365.789	474.316
1370.862	472.668
1375.967	471.020
1381.103	469.371
1386.270	467.721
1391.465	466.069
1396.689	464.414
1401.940	462.757
1407.218	461.096
1412.521	459.432
1417.849	457.765
1423.200	456.096
1428.573	454.424
1433.968	452.750
1439.382	451.074
1444.814	449.396
1450.265	447.717
1455.733	446.036
1461.216	444.355
1466.713	442.672
1472.224	440.988
1477.747	439.304
1483.281	437.620
1488.825	435.935
1494.379	434.250
1499.940	432.566
1505.508	430.882
1511.082	429.199
1516.660	427.516
1522.242	425.835
1527.826	424.155
1533.411	422.476
1538.997	420.799
1544.582	419.124
1550.165	417.451
1555.745	415.780
1561.320	414.112
1566.891	412.446
1572.454	410.783
1578.011	409.123
1583.559	407.467
1589.097	405.814
1594.625	404.165
1600.140	402.520
1605.643	400.878
1611.132	399.241
1616.605	397.609
1622.063	395.981
1627.503	394.359
1632.925	392.743
1638.329	391.138
1643.714	389.543
1649.079	387.963
1654.424	386.398
1659.749	384.852
1665.052	383.327
1670.333	381.824
1675.593	380.346
1680.829	378.896
1686.042	377.475
1691.231	376.085
1696.396	374.730
1701.535	373.410
1706.649	372.129
1711.736	370.889
1716.797	369.691
1721.831	368.539
1726.836	367.433
1731.813	366.377
1736.762	365.373
1741.681	364.423
1746.569	363.529
1751.427	362.694
1756.254	361.919
1761.050	361.207
1765.812	360.560
1770.542	359.981
1775.239	359.471
1779.902	359.033
1784.530	358.669
1789.124	358.381
1793.681	358.172
1798.203	358.043
1802.687	357.997
1807.135	358.036
1811.545	358.159
1815.919	358.361
1820.256	358.640
1824.557	358.991
1828.823	359.411
1833.054	359.897
1837.250	360.445
1841.411	361.051
1845.539	361.713
1849.633	362.426
1853.694	363.187
1857.723	363.992
1861.719	364.838
1865.683	365.721
1869.615	366.638
1873.517	367.585
1877.388	368.559
1881.228	369.556
1885.039	370.572
1888.820	371.605
1892.572	372.650
1896.295	373.704
1899.990	374.763
1903.658	375.824
1907.297	376.884
1910.910	377.938
1914.496	378.983
1918.056	380.016
1921.589	381.035
1925.090	382.043
1928.554	383.046
1931.976	384.049
1935.351	385.057
1938.672	386.076
1941.934	387.111
1945.132	388.167
1948.260	389.249
1951.313	390.363
1954.285	391.513
1957.171	392.706
1959.966	393.946
1962.663	395.239
1965.258	396.590
1967.745	398.003
1970.118	399.485
1972.372	401.041
1974.502	402.676
1976.502	404.395
1978.367	406.203
1980.090	408.106
1981.669	410.108
1983.105	412.205
1984.400	414.395
1985.557	416.673
1986.579	419.038
1987.468	421.484
1988.228	424.009
1988.860	426.609
1989.367	429.281
1989.752	432.021
1990.019	434.825
1990.168	437.691
1990.203	440.614
1990.127	443.591
1989.942	446.619
1989.651	449.694
1989.257	452.813
1988.762	455.973
1988.169	459.168
1987.480	462.398
1986.698	465.658
1985.823	468.946
1984.858	472.261
1983.804	475.600
1982.661	478.961
1981.433	482.342
1980.120	485.740
1978.723	489.154
1977.245	492.581
1975.686	496.019
1974.048	499.466
1972.333	502.920
1970.542	506.378
1968.677	509.838
1966.738	513.298
1964.729	516.757
1962.649	520.210
1960.500	523.658
1958.285	527.097
1956.004	530.524
1953.659	533.939
1951.251	537.339
1948.782	540.721
1946.254	544.083
1943.667	547.424
1941.024	550.741
1938.325	554.031
1935.573	557.295
1932.769	560.534
1929.915	563.747
1927.013	566.936
1924.065	570.102
1921.073	573.245
1918.037	576.366
1914.961	579.466
1911.846	582.546
1908.693	585.606
1905.505	588.647
1902.284	591.670
1899.030	594.677
1895.747	597.666
1892.435	600.641
1889.097	603.600
1885.734	606.545
1882.349	609.477
1878.943	612.396
1875.517	615.304
1872.074	618.200
1868.615	621.087
1865.143	623.964
1861.659	626.832
1858.165	629.693
1854.662	632.546
1851.153	635.393
1847.639	638.235
1844.122	641.072
1840.604	643.904
1837.087	646.734
1833.572	649.560
1830.056	652.381
1826.539	655.192
1823.018	657.993
1819.492	660.779
1815.960	663.550
1812.420	666.301
1808.869	669.030
1805.307	671.735
1801.732	674.414
1798.143	677.062
1794.536	679.678
1790.912	682.260
1787.268	684.804
1783.602	687.307
1779.914	689.768
1776.200	692.184
1772.461	694.552
1768.693	696.868
1764.896	699.132
1761.067	701.340
1757.206	703.489
1753.310	705.577
1749.377	707.601
1745.407	709.558
1741.398	711.447
1737.347	713.264
1733.253	715.006
1729.115	716.672
1724.931	718.258
1720.700	719.761
1716.419	721.180
1712.091	722.517
1707.720	723.774
1703.307	724.955
1698.858	726.062
1694.373	727.100
1689.858	728.070
1685.315	728.977
1680.746	729.824
1676.156	730.613
1671.547	731.347
1666.923	732.031
1662.287	732.666
1657.641	733.257
1652.990	733.807
1648.335	734.317
1643.681	734.793
1639.031	735.236
1634.387	735.650
1629.753	736.039
1625.132	736.405
1620.527	736.751
1615.941	737.081
1611.378	737.398
1606.840	737.705
1602.332	738.005
1597.855	738.301
1593.413	738.596
1589.009	738.895
1584.647	739.199
1580.329	739.512
1576.059	739.837
1571.840	740.177
1567.671	740.533
1563.546	740.905
1559.463	741.292
1555.415	741.693
1551.397	742.107
1547.407	742.534
1543.437	742.972
1539.485	743.421
1535.544	743.880
1531.611	744.349
1527.681	744.827
1523.748	745.312
1519.808	745.804
1515.857	746.302
1511.889	746.807
1507.900	747.315
1503.885	747.828
1499.840	748.344
1495.759	748.862
1491.638	749.382
1487.473	749.902
1483.257	750.423
1478.988	750.943
1474.659	751.461
1470.267	751.977
1465.806	752.491
1461.271	753.000
1456.659	753.505
1451.964	754.004
1447.183	754.497
1442.320	754.983
1437.379	755.461
1432.365	755.929
1427.284	756.388
1422.139	756.836
1416.937	757.272
1411.682	757.695
1406.379	758.104
1401.033	758.498
1395.649	758.877
1390.232	759.239
1384.786	759.583
1379.317	759.908
1373.829	760.214
1368.328	760.499
1362.818	760.763
1357.304	761.004
1351.792	761.222
1346.286	761.415
1340.791	761.583
1335.312	761.725
1329.854	761.839
1324.422	761.925
1319.021	761.982
1313.655	762.009
1308.330	762.004
1303.051	761.967
1297.822	761.898
1292.649	761.794
1287.536	761.655
1282.488	761.481
1277.510	761.269
1272.608	761.019
1267.785	760.731
1263.048	760.403
1258.401	760.034
1253.847	759.624
1249.388	759.171
1245.022	758.674
1240.748	758.134
1236.564	757.550
1232.471	756.920
1228.465	756.245
1224.547	755.522
1220.716	754.753
1216.969	753.935
1213.306	753.069
1209.726	752.153
1206.227	751.188
1202.809	750.171
1199.470	749.103
1196.209	747.983
1193.025	746.810
1189.917	745.583
1186.884	744.302
1183.924	742.966
1181.036	741.575
1178.220	740.127
1175.473	738.622
1172.796	737.059
1170.186	735.438
1167.643	733.758
1165.165	732.020
1162.747	730.229
1160.385	728.392
1158.074	726.515
1155.810	724.605
1153.588	722.668
1151.403	720.710
1149.251	718.737
1147.128	716.757
1145.029	714.775
1142.949	712.797
1140.883	710.831
1138.828	708.882
1136.778	706.957
1134.730	705.061
1132.677	703.202
1130.617	701.386
1128.544	699.619
1126.453	697.908
1124.341	696.258
1122.203	694.676
1120.041	693.164
1117.860	691.725
1115.665	690.359
1113.459	689.067
1111.246	687.853
1109.032	686.716
1106.821	685.659
1104.616	684.682
1102.423	683.789
1100.245	682.979
1098.087	682.255
1095.953	681.618
1093.848	681.069
1091.776	680.611
1089.741	680.244
1087.748	679.970
1085.802	679.783
1083.917	679.653
1082.105	679.547
1080.378	679.433
1078.750	679.277
1077.234	679.047
1075.842	678.709
1074.588	678.231
1073.484	677.580
1072.544	676.723
1071.779	675.628
1071.193	674.284
1070.769	672.722
1070.490	670.974
1070.340	669.073
1070.302	667.051
1070.357	664.941
1070.490	662.775
1070.682	660.587
1070.917	658.409
1071.178	656.273
1071.448	654.213
1071.709	652.260
1071.945	650.448
1072.139	648.804
1072.286	647.318
1072.388	645.959
1072.446	644.693
1072.459	643.489
1072.429	642.315
1072.357	641.140
1072.243	639.929
1072.089	638.653
1071.896	637.280
1071.676	635.800
1071.451	634.225
1071.245	632.567
1071.080	630.840
1070.979	629.055
1070.965	627.225
1071.062	625.363
1071.292	623.481
1071.677	621.591
1072.242	619.706
1073.009	617.838
1074.000	616.000
