X	Y
3.079	1.780
3.086	1.773
3.096	1.766
3.107	1.759
3.119	1.753
3.134	1.746
3.149	1.740
3.167	1.734
3.185	1.728
3.205	1.722
3.226	1.716
3.248	1.710
3.271	1.704
3.295	1.698
3.320	1.692
3.346	1.687
3.372	1.681
3.399	1.676
3.427	1.670
3.455	1.665
3.483	1.660
3.512	1.654
3.541	1.649
3.570	1.644
3.599	1.639
3.628	1.634
3.658	1.629
3.686	1.624
3.715	1.619
3.743	1.614
3.771	1.609
3.798	1.605
3.825	1.600
3.851	1.595
3.877	1.590
3.903	1.586
3.927	1.581
3.952	1.576
3.976	1.572
3.999	1.567
4.022	1.562
4.044	1.558
4.066	1.553
4.087	1.548
4.108	1.543
4.129	1.539
4.148	1.534
4.168	1.529
4.187	1.524
4.205	1.519
4.223	1.514
4.240	1.509
4.257	1.504
4.273	1.499
4.289	1.494
4.304	1.488
4.319	1.483
4.334	1.477
4.347	1.472
4.361	1.466
4.374	1.461
4.386	1.455
4.399	1.449
4.411	1.443
4.424	1.437
4.436	1.431
4.449	1.425
4.461	1.419
4.474	1.413
4.487	1.407
4.501	1.400
4.514	1.394
4.529	1.388
4.544	1.381
4.560	1.375
4.576	1.369
4.594	1.362
4.612	1.356
4.631	1.350
4.650	1.343
4.670	1.337
4.691	1.331
4.713	1.325
4.735	1.319
4.757	1.313
4.780	1.307
4.803	1.301
4.827	1.295
4.851	1.290
4.875	1.285
4.899	1.280
4.923	1.275
4.947	1.270
4.971	1.265
4.995	1.261
5.019	1.257
5.043	1.253
5.067	1.250
5.090	1.246
5.113	1.244
5.136	1.241
5.158	1.239
5.180	1.237
5.201	1.235
5.222	1.234
5.241	1.233
5.261	1.232
5.279	1.232
5.297	1.233
5.315	1.234
5.331	1.235
5.347	1.237
5.363	1.239
5.378	1.242
5.392	1.246
5.405	1.250
5.418	1.255
5.430	1.261
5.442	1.267
5.453	1.275
5.464	1.283
5.473	1.291
5.483	1.301
5.491	1.311
5.499	1.322
5.507	1.334
5.514	1.347
5.520	1.361
5.526	1.375
5.531	1.391
5.535	1.406
5.539	1.423
5.543	1.440
5.546	1.457
5.548	1.476
5.550	1.494
5.551	1.514
5.552	1.533
5.552	1.554
5.552	1.574
5.551	1.595
5.549	1.616
5.547	1.638
5.545	1.660
5.542	1.682
5.538	1.704
5.534	1.727
5.530	1.750
5.525	1.772
5.519	1.795
5.513	1.818
5.507	1.841
5.500	1.864
5.493	1.886
5.485	1.909
5.477	1.931
5.468	1.953
5.459	1.974
5.450	1.996
5.441	2.017
5.431	2.037
5.420	2.057
5.410	2.076
5.399	2.095
5.387	2.113
5.376	2.130
5.364	2.147
5.352	2.163
5.339	2.177
5.327	2.192
5.314	2.205
5.300	2.217
5.287	2.228
5.274	2.238
5.260	2.247
5.246	2.255
5.231	2.262
5.217	2.268
5.202	2.273
5.187	2.277
5.172	2.281
5.156	2.283
5.141	2.285
5.124	2.286
5.108	2.287
5.091	2.287
5.074	2.286
5.057	2.285
5.039	2.283
5.021	2.281
5.002	2.279
4.983	2.276
4.964	2.273
4.945	2.269
4.925	2.266
4.904	2.262
4.883	2.258
4.862	2.254
4.841	2.249
4.819	2.244
4.797	2.240
4.774	2.235
4.751	2.230
4.728	2.225
4.705	2.220
4.681	2.215
4.657	2.209
4.633	2.204
4.609	2.199
4.584	2.194
4.559	2.189
4.534	2.183
4.509	2.178
4.484	2.173
4.458	2.168
4.432	2.164
4.407	2.159
4.381	2.154
4.355	2.150
4.329	2.146
4.303	2.142
4.276	2.138
4.250	2.134
4.224	2.131
4.197	2.128
4.171	2.125
4.144	2.122
4.118	2.120
4.092	2.118
4.065	2.116
4.039	2.114
4.013	2.112
3.987	2.111
3.961	2.110
3.935	2.108
3.909	2.107
3.884	2.106
3.859	2.105
3.834	2.104
3.809	2.103
3.784	2.101
3.759	2.100
3.735	2.099
3.711	2.098
3.688	2.096
3.665	2.095
3.642	2.093
3.619	2.091
3.597	2.089
3.575	2.087
3.553	2.085
3.532	2.082
3.512	2.079
3.492	2.076
3.472	2.073
3.453	2.069
3.434	2.065
3.415	2.061
3.398	2.056
3.380	2.052
3.363	2.047
3.347	2.042
3.331	2.037
3.315	2.033
3.300	2.028
3.285	2.024
3.270	2.019
3.256	2.015
3.242	2.011
3.228	2.008
3.215	2.004
3.202	2.002
3.189	1.999
3.177	1.998
3.165	1.996
3.153	1.996
3.142	1.995
3.131	1.995
3.120	1.996
3.110	1.996
3.101	1.996
3.093	1.995
3.086	1.994
3.079	1.993
3.074	1.990
3.070	1.987
3.067	1.982
3.065	1.977
3.064	1.970
3.064	1.963
3.065	1.955
3.066	1.947
3.067	1.939
3.068	1.930
3.069	1.922
3.071	1.914
3.071	1.905
3.072	1.897
3.072	1.890
3.072	1.882
3.072	1.874
3.072	1.867
3.071	1.859
3.070	1.852
3.069	1.844
3.068	1.837
3.067	1.830
3.066	1.822
3.066	1.815
3.066	1.808
3.067	1.801
3.070	1.794
3.073	1.787
3.079	1.780
