X	Y
3.070	1.930
3.076	1.925
3.085	1.922
3.095	1.919
3.108	1.916
3.122	1.915
3.137	1.914
3.154	1.914
3.172	1.915
3.192	1.916
3.213	1.918
3.234	1.921
3.257	1.923
3.281	1.927
3.305	1.930
3.330	1.934
3.355	1.938
3.381	1.943
3.408	1.947
3.434	1.952
3.461	1.957
3.488	1.962
3.514	1.967
3.541	1.972
3.567	1.976
3.593	1.981
3.618	1.986
3.643	1.990
3.667	1.994
3.691	1.998
3.714	2.001
3.737	2.005
3.760	2.008
3.782	2.012
3.803	2.015
3.825	2.018
3.846	2.021
3.867	2.024
3.888	2.027
3.909	2.030
3.929	2.033
3.950	2.036
3.971	2.040
3.991	2.043
4.012	2.046
4.033	2.050
4.054	2.054
4.075	2.058
4.097	2.062
4.119	2.066
4.141	2.071
4.163	2.075
4.186	2.081
4.210	2.086
4.233	2.092
4.258	2.098
4.283	2.104
4.308	2.111
4.334	2.118
4.359	2.126
4.386	2.133
4.412	2.142
4.438	2.150
4.465	2.159
4.491	2.168
4.518	2.178
4.544	2.187
4.571	2.198
4.597	2.208
4.623	2.219
4.648	2.230
4.673	2.242
4.698	2.254
4.722	2.266
4.746	2.278
4.769	2.291
4.791	2.305
4.813	2.318
4.834	2.332
4.854	2.346
4.873	2.361
4.892	2.376
4.909	2.391
4.926	2.407
4.941	2.423
4.955	2.439
4.968	2.456
4.980	2.473
4.990	2.490
5.000	2.507
5.008	2.525
5.015	2.543
5.021	2.561
5.027	2.579
5.031	2.597
5.034	2.614
5.037	2.632
5.038	2.650
5.039	2.667
5.039	2.685
5.039	2.702
5.038	2.719
5.036	2.735
5.033	2.751
5.030	2.766
5.026	2.782
5.022	2.796
5.017	2.810
5.012	2.823
5.007	2.836
5.000	2.849
4.994	2.860
4.987	2.871
4.979	2.882
4.970	2.892
4.961	2.902
4.951	2.912
4.941	2.921
4.929	2.929
4.917	2.938
4.904	2.946
4.890	2.953
4.875	2.961
4.859	2.968
4.842	2.974
4.825	2.981
4.806	2.987
4.786	2.993
4.766	2.999
4.744	3.005
4.722	3.010
4.699	3.015
4.676	3.020
4.652	3.025
4.627	3.029
4.602	3.033
4.577	3.037
4.551	3.040
4.525	3.043
4.499	3.046
4.472	3.048
4.445	3.050
4.418	3.052
4.391	3.053
4.364	3.054
4.338	3.055
4.311	3.055
4.284	3.055
4.258	3.055
4.232	3.054
4.207	3.052
4.181	3.051
4.156	3.049
4.132	3.046
4.108	3.043
4.085	3.040
4.063	3.036
4.041	3.032
4.020	3.027
3.999	3.022
3.978	3.017
3.958	3.011
3.939	3.005
3.920	2.999
3.901	2.993
3.882	2.986
3.864	2.979
3.846	2.972
3.828	2.965
3.810	2.958
3.793	2.951
3.775	2.943
3.757	2.936
3.740	2.928
3.722	2.921
3.704	2.913
3.686	2.906
3.668	2.898
3.650	2.891
3.631	2.884
3.612	2.877
3.593	2.870
3.574	2.863
3.555	2.856
3.535	2.849
3.515	2.842
3.496	2.836
3.476	2.829
3.457	2.822
3.438	2.815
3.419	2.808
3.400	2.801
3.382	2.793
3.364	2.785
3.346	2.778
3.329	2.769
3.313	2.761
3.297	2.752
3.282	2.743
3.268	2.733
3.254	2.723
3.241	2.713
3.229	2.702
3.218	2.691
3.208	2.679
3.199	2.667
3.191	2.654
3.184	2.641
3.178	2.627
3.172	2.613
3.167	2.599
3.162	2.584
3.158	2.569
3.155	2.554
3.151	2.539
3.149	2.523
3.146	2.507
3.144	2.491
3.142	2.475
3.140	2.458
3.139	2.442
3.137	2.426
3.135	2.409
3.134	2.393
3.132	2.376
3.130	2.360
3.128	2.343
3.126	2.327
3.124	2.311
3.122	2.295
3.120	2.280
3.118	2.264
3.116	2.249
3.114	2.234
3.111	2.220
3.109	2.206
3.107	2.192
3.105	2.179
3.103	2.166
3.101	2.154
3.099	2.142
3.097	2.130
3.094	2.120
3.092	2.110
3.091	2.100
3.089	2.091
3.087	2.082
3.085	2.074
3.083	2.066
3.082	2.059
3.081	2.052
3.079	2.045
3.078	2.039
3.077	2.033
3.076	2.027
3.075	2.021
3.074	2.015
3.073	2.009
3.071	2.003
3.070	1.996
3.067	1.989
3.065	1.981
3.063	1.973
3.062	1.965
3.061	1.957
3.061	1.950
3.062	1.942
3.065	1.936
3.070	1.930
