X	Y
10.852	6.370
10.879	6.342
10.915	6.314
10.958	6.285
11.008	6.257
11.065	6.228
11.128	6.200
11.197	6.172
11.271	6.144
11.350	6.117
11.433	6.090
11.520	6.063
11.610	6.037
11.704	6.011
11.799	5.986
11.897	5.961
11.996	5.937
12.097	5.914
12.199	5.892
12.303	5.870
12.407	5.850
12.514	5.830
12.621	5.812
12.730	5.794
12.841	5.778
12.952	5.763
13.065	5.749
13.178	5.737
13.293	5.726
13.409	5.717
13.526	5.709
13.645	5.702
13.764	5.698
13.884	5.694
14.005	5.693
14.127	5.694
14.250	5.696
14.373	5.700
14.498	5.707
14.623	5.715
14.749	5.725
14.875	5.737
15.001	5.751
15.128	5.766
15.254	5.782
15.380	5.800
15.505	5.819
15.629	5.839
15.753	5.860
15.875	5.883
15.997	5.905
16.116	5.929
16.234	5.953
16.351	5.978
16.465	6.003
16.577	6.028
16.687	6.053
16.794	6.078
16.899	6.104
17.000	6.129
17.099	6.154
17.194	6.178
17.286	6.202
17.374	6.225
17.459	6.249
17.541	6.272
17.619	6.296
17.695	6.321
17.767	6.346
17.836	6.373
17.903	6.401
17.966	6.431
18.027	6.463
18.085	6.497
18.140	6.534
18.193	6.573
18.244	6.616
18.292	6.661
18.337	6.710
18.380	6.761
18.420	6.814
18.456	6.870
18.488	6.926
18.517	6.983
18.542	7.041
18.562	7.099
18.577	7.157
18.587	7.213
18.592	7.268
18.592	7.322
18.586	7.374
18.574	7.424
18.558	7.472
18.537	7.519
18.512	7.565
18.483	7.609
18.450	7.653
18.413	7.696
18.374	7.738
18.332	7.779
18.287	7.820
18.241	7.861
18.194	7.902
18.147	7.942
18.100	7.983
18.054	8.023
18.010	8.064
17.968	8.105
17.931	8.147
17.897	8.189
17.867	8.232
17.844	8.275
17.826	8.320
17.812	8.365
17.802	8.411
17.794	8.458
17.787	8.506
17.780	8.556
17.773	8.606
17.763	8.658
17.750	8.710
17.733	8.764
17.711	8.819
17.685	8.875
17.654	8.932
17.621	8.988
17.583	9.045
17.543	9.101
17.501	9.156
17.456	9.210
17.409	9.263
17.361	9.314
17.312	9.363
17.262	9.410
17.211	9.454
17.161	9.495
17.110	9.533
17.059	9.570
17.007	9.604
16.955	9.636
16.903	9.668
16.849	9.698
16.796	9.727
16.741	9.756
16.685	9.785
16.629	9.814
16.572	9.844
16.513	9.874
16.453	9.905
16.392	9.936
16.330	9.968
16.267	10.001
16.203	10.033
16.138	10.065
16.072	10.097
16.005	10.129
15.936	10.160
15.867	10.190
15.797	10.219
15.725	10.248
15.653	10.275
15.580	10.301
15.506	10.325
15.431	10.347
15.355	10.369
15.278	10.388
15.201	10.406
15.123	10.422
15.044	10.436
14.965	10.449
14.885	10.459
14.805	10.468
14.724	10.475
14.643	10.480
14.561	10.483
14.479	10.485
14.397	10.484
14.315	10.481
14.232	10.476
14.150	10.468
14.067	10.459
13.985	10.448
13.904	10.435
13.822	10.420
13.742	10.404
13.662	10.385
13.583	10.365
13.505	10.344
13.428	10.320
13.352	10.295
13.277	10.269
13.205	10.241
13.133	10.211
13.064	10.180
12.996	10.148
12.930	10.115
12.866	10.080
12.803	10.044
12.741	10.006
12.681	9.967
12.622	9.927
12.565	9.885
12.508	9.842
12.452	9.797
12.397	9.752
12.342	9.704
12.289	9.655
12.235	9.605
12.182	9.554
12.130	9.501
12.078	9.446
12.027	9.390
11.976	9.333
11.925	9.275
11.876	9.215
11.827	9.154
11.780	9.091
11.733	9.027
11.687	8.962
11.642	8.895
11.598	8.828
11.556	8.759
11.515	8.689
11.475	8.617
11.436	8.545
11.399	8.471
11.363	8.397
11.328	8.323
11.294	8.248
11.261	8.174
11.230	8.101
11.199	8.028
11.169	7.956
11.140	7.886
11.112	7.817
11.084	7.750
11.057	7.686
11.030	7.624
11.004	7.565
10.979	7.509
10.954	7.455
10.930	7.405
10.907	7.357
10.886	7.311
10.867	7.268
10.850	7.226
10.835	7.186
10.823	7.147
10.815	7.110
10.809	7.074
10.806	7.038
10.806	7.002
10.807	6.967
10.809	6.931
10.812	6.895
10.814	6.858
10.817	6.820
10.818	6.780
10.819	6.741
10.819	6.701
10.819	6.661
10.818	6.623
10.816	6.586
10.815	6.551
10.813	6.517
10.812	6.486
10.814	6.456
10.821	6.427
10.833	6.399
10.852	6.370
