X,Y
47.829,20.478
47.854,20.396
47.885,20.309
47.922,20.218
47.964,20.122
48.012,20.024
48.065,19.923
48.123,19.820
48.186,19.716
48.254,19.611
48.326,19.506
48.403,19.401
48.483,19.298
48.568,19.197
48.656,19.098
48.748,19.003
48.843,18.911
48.942,18.823
49.043,18.741
49.147,18.664
49.254,18.594
49.363,18.530
49.475,18.474
49.589,18.425
49.705,18.383
49.823,18.347
49.943,18.318
50.065,18.293
50.190,18.275
50.316,18.261
50.444,18.251
50.574,18.246
50.705,18.245
50.839,18.247
50.974,18.252
51.111,18.259
51.249,18.269
51.389,18.281
51.531,18.295
51.674,18.310
51.818,18.325
51.964,18.341
52.111,18.358
52.259,18.374
52.408,18.389
52.559,18.403
52.711,18.416
52.864,18.428
53.018,18.440
53.173,18.450
53.328,18.460
53.485,18.469
53.643,18.478
53.801,18.487
53.960,18.496
54.120,18.505
54.280,18.514
54.441,18.523
54.603,18.532
54.765,18.542
54.927,18.553
55.090,18.565
55.253,18.577
55.417,18.591
55.580,18.605
55.744,18.621
55.908,18.639
56.072,18.658
56.237,18.678
56.401,18.701
56.565,18.725
56.729,18.752
56.893,18.780
57.056,18.811
57.220,18.845
57.383,18.880
57.546,18.918
57.708,18.959
57.870,19.001
58.032,19.046
58.193,19.093
58.354,19.141
58.514,19.192
58.674,19.244
58.833,19.299
58.992,19.355
59.150,19.413
59.307,19.472
59.464,19.533
59.620,19.595
59.776,19.659
59.930,19.724
60.084,19.790
60.237,19.858
60.389,19.926
60.540,19.996
60.690,20.067
60.840,20.139
60.988,20.212
61.135,20.285
61.282,20.359
61.427,20.434
61.571,20.510
61.714,20.586
61.856,20.662
61.997,20.740
62.137,20.818
62.276,20.897
62.414,20.976
62.551,21.057
62.687,21.138
62.822,21.221
62.956,21.304
63.089,21.389
63.222,21.475
63.354,21.562
63.485,21.650
63.616,21.740
63.746,21.832
63.875,21.925
64.004,22.019
64.132,22.116
64.259,22.214
64.387,22.313
64.513,22.415
64.640,22.519
64.766,22.624
64.891,22.732
65.017,22.842
65.142,22.954
65.266,23.068
65.391,23.185
65.515,23.304
65.640,23.426
65.763,23.549
65.886,23.675
66.008,23.802
66.129,23.931
66.248,24.062
66.367,24.195
66.483,24.329
66.598,24.464
66.711,24.601
66.822,24.738
66.931,24.877
67.037,25.017
67.140,25.157
67.241,25.298
67.339,25.439
67.433,25.581
67.524,25.723
67.612,25.865
67.696,26.008
67.776,26.150
67.852,26.292
67.924,26.434
67.991,26.575
68.054,26.716
68.112,26.856
68.165,26.995
68.213,27.134
68.255,27.271
68.293,27.408
68.325,27.543
68.352,27.678
68.374,27.811
68.392,27.944
68.405,28.076
68.414,28.208
68.419,28.339
68.419,28.469
68.416,28.599
68.409,28.729
68.398,28.859
68.384,28.988
68.367,29.117
68.347,29.246
68.323,29.376
68.297,29.505
68.269,29.634
68.238,29.764
68.205,29.894
68.169,30.024
68.132,30.155
68.093,30.286
68.052,30.418
68.009,30.551
67.965,30.683
67.919,30.817
67.870,30.950
67.820,31.084
67.768,31.218
67.714,31.352
67.658,31.486
67.599,31.620
67.538,31.754
67.475,31.888
67.410,32.022
67.342,32.155
67.271,32.289
67.198,32.421
67.122,32.554
67.044,32.686
66.963,32.817
66.879,32.948
66.792,33.078
66.702,33.207
66.609,33.335
66.514,33.463
66.415,33.589
66.312,33.715
66.207,33.839
66.099,33.962
65.987,34.085
65.873,34.206
65.756,34.327
65.637,34.446
65.515,34.565
65.391,34.682
65.264,34.799
65.136,34.915
65.006,35.030
64.874,35.145
64.741,35.259
64.607,35.372
64.471,35.484
64.334,35.596
64.196,35.707
64.058,35.818
63.918,35.928
63.779,36.038
63.639,36.147
63.498,36.256
63.358,36.364
63.218,36.472
63.078,36.580
62.938,36.688
62.799,36.795
62.661,36.902
