X,Y
24.846,23.031
24.889,23.016
24.937,23.003
24.992,22.992
25.051,22.983
25.115,22.977
25.184,22.972
25.257,22.968
25.334,22.966
25.414,22.966
25.498,22.966
25.585,22.968
25.675,22.971
25.767,22.975
25.861,22.980
25.956,22.985
26.054,22.991
26.152,22.997
26.252,23.003
26.352,23.010
26.452,23.016
26.552,23.023
26.652,23.029
26.751,23.034
26.850,23.040
26.947,23.045
27.044,23.050
27.141,23.054
27.237,23.059
27.332,23.063
27.426,23.068
27.521,23.072
27.615,23.077
27.708,23.081
27.801,23.086
27.894,23.091
27.987,23.097
28.079,23.103
28.171,23.109
28.264,23.117
28.356,23.124
28.448,23.133
28.540,23.142
28.632,23.151
28.724,23.162
28.817,23.174
28.909,23.187
29.002,23.200
29.095,23.215
29.189,23.231
29.283,23.248
29.377,23.266
29.471,23.286
29.565,23.306
29.659,23.327
29.753,23.349
29.848,23.372
29.942,23.395
30.035,23.419
30.129,23.444
30.222,23.469
30.315,23.495
30.407,23.522
30.499,23.548
30.590,23.575
30.681,23.603
30.771,23.630
30.860,23.658
30.948,23.686
31.036,23.714
31.122,23.742
31.208,23.770
31.292,23.798
31.376,23.826
31.458,23.853
31.539,23.880
31.618,23.907
31.697,23.934
31.774,23.962
31.850,23.989
31.925,24.016
31.999,24.044
32.072,24.072
32.144,24.101
32.215,24.131
32.284,24.161
32.353,24.192
32.421,24.223
32.488,24.256
32.554,24.290
32.619,24.325
32.683,24.362
32.746,24.400
32.809,24.439
32.871,24.480
32.932,24.522
32.992,24.566
33.051,24.612
33.109,24.660
33.167,24.709
33.224,24.760
33.280,24.813
33.335,24.867
33.389,24.922
33.442,24.979
33.494,25.038
33.545,25.098
33.595,25.159
33.643,25.222
33.691,25.286
33.738,25.352
33.783,25.419
33.827,25.487
33.870,25.556
33.912,25.627
33.952,25.698
33.992,25.771
34.029,25.845
34.066,25.921
34.101,25.997
34.134,26.074
34.166,26.151
34.196,26.230
34.225,26.309
34.252,26.389
34.277,26.469
34.299,26.549
34.320,26.630
34.339,26.710
34.356,26.791
34.370,26.872
34.383,26.953
34.393,27.033
34.400,27.113
34.405,27.193
34.408,27.273
34.408,27.351
34.405,27.429
34.399,27.507
34.391,27.583
34.380,27.659
34.366,27.734
34.350,27.809
34.331,27.882
34.310,27.955
34.287,28.027
34.261,28.098
34.233,28.169
34.203,28.239
34.171,28.308
34.137,28.377
34.101,28.445
34.064,28.512
34.025,28.579
33.984,28.646
33.941,28.712
33.898,28.777
33.853,28.842
33.806,28.906
33.759,28.970
33.710,29.034
33.660,29.097
33.609,29.159
33.557,29.221
33.504,29.283
33.450,29.344
33.395,29.404
33.339,29.464
33.283,29.522
33.225,29.581
33.166,29.638
33.107,29.695
33.046,29.751
32.985,29.807
32.923,29.861
32.861,29.915
32.797,29.967
32.733,30.019
32.669,30.070
32.603,30.120
32.537,30.169
32.471,30.217
32.403,30.264
32.336,30.310
32.268,30.355
32.199,30.399
32.131,30.443
32.062,30.486
31.993,30.529
31.925,30.571
31.856,30.613
31.788,30.654
31.721,30.696
31.654,30.737
31.587,30.779
31.521,30.821
31.456,30.862
31.392,30.905
31.329,30.947
31.267,30.990
31.206,31.034
