X	Y
25.753	23.562
25.771	23.504
25.792	23.448
25.819	23.392
25.849	23.338
25.883	23.283
25.922	23.230
25.964	23.176
26.009	23.123
26.058	23.070
26.111	23.017
26.167	22.964
26.226	22.910
26.287	22.856
26.352	22.801
26.419	22.746
26.489	22.690
26.561	22.633
26.635	22.576
26.712	22.517
26.790	22.458
26.871	22.398
26.953	22.338
27.037	22.277
27.123	22.216
27.210	22.155
27.298	22.094
27.387	22.032
27.478	21.971
27.570	21.910
27.662	21.848
27.755	21.787
27.849	21.727
27.944	21.667
28.038	21.607
28.133	21.548
28.229	21.490
28.324	21.432
28.419	21.375
28.514	21.319
28.609	21.264
28.704	21.211
28.798	21.158
28.891	21.106
28.985	21.055
29.078	21.004
29.171	20.955
29.264	20.906
29.357	20.857
29.449	20.809
29.542	20.762
29.634	20.714
29.727	20.668
29.819	20.621
29.912	20.574
30.004	20.528
30.097	20.481
30.190	20.435
30.283	20.388
30.376	20.341
30.470	20.294
30.564	20.246
30.658	20.198
30.752	20.150
30.847	20.100
30.942	20.051
31.037	20.001
31.133	19.950
31.229	19.900
31.326	19.849
31.423	19.798
31.520	19.748
31.618	19.697
31.716	19.647
31.814	19.597
31.913	19.547
32.012	19.498
32.111	19.450
32.211	19.402
32.311	19.356
32.411	19.310
32.512	19.265
32.613	19.221
32.714	19.178
32.815	19.137
32.917	19.097
33.019	19.058
33.122	19.021
33.224	18.986
33.327	18.952
33.430	18.921
33.534	18.890
33.636	18.862
33.739	18.835
33.841	18.810
33.943	18.787
34.043	18.765
34.143	18.745
34.242	18.727
34.340	18.710
34.437	18.695
34.532	18.681
34.625	18.669
34.717	18.659
34.807	18.650
34.895	18.643
34.981	18.637
35.065	18.633
35.146	18.631
35.225	18.630
35.301	18.631
35.375	18.633
35.445	18.638
35.514	18.645
35.579	18.654
35.642	18.667
35.702	18.684
35.760	18.704
35.816	18.729
35.869	18.758
35.919	18.793
35.967	18.832
36.013	18.877
36.057	18.928
36.098	18.986
36.137	19.050
36.174	19.119
36.209	19.194
36.242	19.274
36.273	19.359
36.302	19.448
36.329	19.540
36.355	19.637
36.379	19.736
36.401	19.837
36.422	19.941
36.442	20.047
36.461	20.154
36.478	20.262
36.494	20.371
36.509	20.480
36.523	20.588
36.536	20.696
36.549	20.803
36.560	20.909
36.571	21.012
36.582	21.114
36.592	21.213
36.601	21.310
36.609	21.405
36.616	21.499
36.622	21.591
36.627	21.682
36.630	21.773
36.632	21.862
36.632	21.951
36.630	22.040
36.627	22.128
36.621	22.217
36.613	22.306
36.603	22.396
36.591	22.486
36.575	22.578
36.558	22.670
36.537	22.765
36.513	22.860
36.487	22.958
36.457	23.058
36.424	23.160
36.388	23.263
36.350	23.368
36.309	23.475
36.266	23.582
36.221	23.689
36.175	23.798
36.126	23.906
36.076	24.015
36.025	24.123
35.973	24.231
35.921	24.338
35.867	24.444
35.813	24.549
35.759	24.652
35.705	24.754
35.652	24.854
35.598	24.951
35.545	25.046
35.494	25.139
35.443	25.228
35.393	25.315
35.345	25.398
35.298	25.477
35.253	25.553
35.210	25.624
35.168	25.692
35.126	25.756
35.085	25.816
35.044	25.872
35.003	25.925
34.961	25.973
34.917	26.018
34.872	26.060
34.825	26.097
34.776	26.131
34.725	26.161
34.670	26.187
34.612	26.210
34.550	26.229
34.485	26.245
34.416	26.257
34.343	26.267
34.268	26.273
34.189	26.277
34.106	26.279
34.021	26.278
33.933	26.275
33.842	26.271
33.748	26.264
33.651	26.257
33.552	26.248
33.451	26.238
33.347	26.228
33.240	26.216
33.132	26.205
33.021	26.193
32.909	26.181
32.794	26.170
32.678	26.159
32.561	26.148
32.441	26.138
32.320	26.128
32.198	26.119
32.075	26.110
31.951	26.102
31.826	26.094
31.700	26.086
31.574	26.079
31.447	26.072
31.319	26.065
31.192	26.059
31.064	26.053
30.936	26.047
30.809	26.041
30.681	26.036
30.554	26.030
30.428	26.025
30.302	26.020
30.177	26.015
30.053	26.010
29.930	26.006
29.808	26.001
29.688	25.996
29.569	25.992
29.451	25.987
29.335	25.983
29.221	25.978
29.109	25.973
28.999	25.968
28.890	25.963
28.784	25.957
28.679	25.951
28.576	25.945
28.475	25.938
28.376	25.930
28.279	25.922
28.184	25.913
28.090	25.903
27.999	25.892
27.910	25.880
27.822	25.867
27.737	25.853
27.653	25.838
27.572	25.821
27.492	25.803
27.415	25.784
27.339	25.763
27.266	25.741
27.194	25.717
27.125	25.691
27.057	25.664
26.991	25.636
26.927	25.606
26.865	25.575
26.805	25.542
26.746	25.508
26.689	25.473
26.634	25.437
26.580	25.399
26.528	25.361
26.477	25.321
26.427	25.281
26.379	25.239
26.333	25.197
26.288	25.154
26.245	25.110
26.203	25.066
26.163	25.022
26.125	24.978
26.089	24.933
26.056	24.889
26.024	24.845
25.995	24.802
25.968	24.760
25.944	24.718
25.922	24.677
25.903	24.637
25.887	24.597
25.872	24.558
25.858	24.518
25.846	24.478
25.834	24.436
25.823	24.393
25.812	24.349
25.801	24.302
25.790	24.253
25.778	24.201
25.767	24.148
25.756	24.092
25.747	24.035
25.738	23.977
25.732	23.918
25.728	23.859
25.726	23.799
25.727	23.739
25.732	23.679
25.741	23.620
25.753	23.562
