X,Y
46.654,44.794
46.673,44.701
46.692,44.603
46.711,44.500
46.729,44.392
46.748,44.280
46.767,44.163
46.788,44.042
46.809,43.918
46.832,43.790
46.857,43.659
46.883,43.525
46.912,43.389
46.943,43.251
46.978,43.110
47.015,42.968
47.056,42.825
47.101,42.680
47.149,42.535
47.202,42.388
47.259,42.242
47.320,42.094
47.384,41.946
47.452,41.798
47.525,41.649
47.600,41.500
47.680,41.350
47.763,41.200
47.849,41.050
47.939,40.899
48.032,40.749
48.129,40.598
48.229,40.447
48.331,40.296
48.437,40.145
48.546,39.994
48.658,39.844
48.773,39.693
48.891,39.543
49.011,39.392
49.134,39.243
49.260,39.093
49.389,38.944
49.519,38.795
49.653,38.647
49.789,38.499
49.927,38.351
50.068,38.204
50.211,38.057
50.357,37.911
50.505,37.765
50.656,37.620
50.809,37.475
50.964,37.331
51.122,37.187
51.282,37.044
51.444,36.901
51.609,36.759
51.777,36.618
51.946,36.477
52.118,36.336
52.292,36.196
52.468,36.057
52.647,35.918
52.828,35.780
53.011,35.643
53.196,35.506
53.384,35.370
53.574,35.235
53.766,35.100
53.960,34.966
54.156,34.832
54.354,34.700
54.555,34.568
54.756,34.436
54.960,34.306
55.164,34.177
55.370,34.048
55.576,33.921
55.783,33.794
55.990,33.669
56.197,33.545
56.404,33.422
56.611,33.300
56.818,33.179
57.024,33.060
57.228,32.942
57.432,32.825
57.634,32.710
57.835,32.596
58.034,32.484
58.231,32.374
58.425,32.265
58.618,32.157
58.807,32.052
58.994,31.948
59.178,31.846
59.358,31.745
59.535,31.647
59.708,31.551
59.877,31.456
60.042,31.364
60.202,31.274
60.359,31.185
60.511,31.099
60.660,31.015
60.805,30.933
60.948,30.853
61.089,30.775
61.228,30.699
61.365,30.625
61.502,30.553
61.637,30.484
61.773,30.416
61.908,30.350
62.044,30.286
62.182,30.225
62.320,30.165
62.460,30.107
62.603,30.051
62.748,29.997
62.897,29.945
63.048,29.895
63.204,29.847
63.364,29.801
63.528,29.757
63.695,29.715
63.865,29.674
64.038,29.635
64.212,29.598
64.388,29.563
64.565,29.530
64.742,29.498
64.919,29.468
65.095,29.440
65.270,29.413
65.444,29.388
65.615,29.364
65.784,29.342
65.949,29.321
66.111,29.302
66.268,29.284
66.421,29.268
66.568,29.253
66.710,29.239
66.845,29.227
66.973,29.216
67.095,29.206
67.209,29.198
67.317,29.192
67.420,29.188
67.517,29.187
67.609,29.188
67.697,29.193
67.781,29.202
67.861,29.215
67.939,29.232
68.014,29.253
68.087,29.280
68.158,29.312
68.228,29.349
68.297,29.391
68.363,29.437
68.429,29.488
68.492,29.543
68.554,29.601
68.614,29.662
68.671,29.727
68.727,29.793
68.780,29.862
68.831,29.932
68.880,30.004
68.926,30.077
68.970,30.153
69.012,30.230
69.051,30.310
69.089,30.393
69.124,30.478
69.158,30.566
69.189,30.658
69.219,30.753
69.247,30.851
69.273,30.954
69.297,31.060
69.320,31.171
69.340,31.285
69.359,31.403
69.376,31.524
69.391,31.649
69.403,31.776
69.413,31.906
69.421,32.038
69.426,32.172
69.428,32.308
69.428,32.445
69.425,32.584
69.420,32.725
69.411,32.866
69.399,33.007
69.384,33.149
69.366,33.291
69.344,33.433
69.320,33.575
69.292,33.718
69.262,33.860
69.230,34.002
69.196,34.145
69.160,34.289
69.123,34.433
69.085,34.578
69.046,34.724
69.007,34.870
68.968,35.018
68.929,35.167
68.891,35.318
68.854,35.470
68.817,35.623
68.783,35.779
68.750,35.936
68.719,36.094
68.690,36.255
68.664,36.419
68.642,36.584
68.622,36.752
68.604,36.921
68.588,37.093
68.575,37.267
68.563,37.443
68.552,37.620
68.542,37.800
68.532,37.981
68.523,38.164
68.514,38.348
68.505,38.534
68.495,38.722
68.484,38.910
68.472,39.100
68.458,39.292
68.443,39.484
68.426,39.678
68.406,39.872
68.383,40.068
68.358,40.264
68.329,40.462
68.296,40.660
68.260,40.858
68.219,41.058
68.174,41.258
68.124,41.458
68.071,41.658
68.013,41.858
67.951,42.058
67.887,42.256
67.819,42.453
67.748,42.649
67.675,42.843
67.600,43.035
67.523,43.225
67.444,43.411
67.364,43.595
67.283,43.775
67.201,43.952
67.119,44.125
67.037,44.293
66.955,44.457
66.873,44.616
66.793,44.770
66.713,44.918
66.634,45.061
66.558,45.197
66.483,45.327
66.410,45.451
66.340,45.567
66.272,45.676
66.207,45.778
66.143,45.873
66.079,45.962
66.014,46.045
65.949,46.122
65.881,46.193
65.810,46.259
65.736,46.321
65.657,46.378
65.572,46.431
65.481,46.480
65.384,46.525
65.278,46.568
65.164,46.607
65.041,46.643
64.911,46.677
64.773,46.708
64.629,46.737
64.479,46.763
64.323,46.786
64.162,46.808
63.998,46.826
63.829,46.843
63.657,46.857
63.483,46.869
63.307,46.879
63.130,46.888
62.952,46.894
62.774,46.898
62.597,46.901
62.420,46.901
62.246,46.901
62.073,46.898
61.903,46.894
61.737,46.888
61.575,46.882
61.417,46.873
61.262,46.864
61.110,46.854
60.961,46.842
60.814,46.830
60.668,46.818
60.524,46.805
60.381,46.791
60.238,46.777
60.095,46.764
59.952,46.750
59.808,46.737
59.662,46.724
59.515,46.711
59.365,46.699
59.212,46.688
59.057,46.678
58.898,46.668
58.735,46.660
58.567,46.653
58.395,46.648
58.218,46.644
58.037,46.641
57.852,46.639
57.663,46.639
57.471,46.640
57.275,46.642
57.077,46.644
56.876,46.648
56.672,46.653
56.466,46.658
56.259,46.664
56.049,46.671
55.839,46.678
55.627,46.686
55.415,46.695
55.202,46.704
54.988,46.713
54.775,46.723
54.562,46.733
54.349,46.743
54.137,46.753
53.927,46.764
53.717,46.774
53.509,46.784
53.303,46.795
53.099,46.805
52.897,46.815
52.698,46.824
52.501,46.833
52.308,46.842
52.117,46.850
51.929,46.858
51.744,46.865
51.562,46.871
51.383,46.876
51.208,46.880
51.036,46.883
50.868,46.885
50.703,46.886
50.543,46.886
50.386,46.884
50.233,46.880
50.084,46.875
49.940,46.869
49.799,46.860
49.664,46.850
49.532,46.838
49.405,46.824
49.283,46.808
49.166,46.790
49.053,46.770
48.944,46.749
48.837,46.728
48.734,46.706
48.633,46.684
48.533,46.663
48.435,46.644
48.337,46.625
48.239,46.610
48.140,46.596
48.041,46.586
47.940,46.579
47.838,46.577
47.732,46.578
47.625,46.583
47.518,46.591
47.410,46.599
47.304,46.607
47.201,46.613
47.102,46.615
47.007,46.613
46.918,46.606
46.836,46.591
46.763,46.567
46.698,46.534
46.644,46.489
46.600,46.433
46.567,46.367
46.541,46.293
46.523,46.214
46.511,46.131
46.504,46.046
46.501,45.962
46.499,45.881
46.499,45.805
46.499,45.735
46.498,45.674
46.496,45.621
46.494,45.573
46.493,45.529
46.493,45.487
46.496,45.444
46.501,45.399
46.511,45.350
46.523,45.297
46.538,45.239
46.555,45.177
46.574,45.111
46.593,45.039
46.614,44.963
46.634,44.881
46.654,44.794
