X	Y
46.910	39.744
46.984	39.626
47.073	39.511
47.176	39.398
47.292	39.288
47.420	39.181
47.561	39.077
47.712	38.977
47.873	38.880
48.043	38.787
48.222	38.697
48.408	38.612
48.602	38.530
48.801	38.453
49.005	38.380
49.214	38.312
49.427	38.248
49.642	38.189
49.860	38.135
50.078	38.086
50.297	38.043
50.516	38.004
50.733	37.972
50.949	37.944
51.164	37.922
51.378	37.905
51.590	37.893
51.802	37.885
52.014	37.882
52.225	37.883
52.435	37.888
52.645	37.897
52.855	37.910
53.065	37.926
53.275	37.946
53.486	37.968
53.697	37.994
53.908	38.022
54.120	38.053
54.333	38.086
54.547	38.122
54.762	38.159
54.978	38.198
55.196	38.238
55.415	38.280
55.635	38.323
55.858	38.368
56.082	38.413
56.307	38.459
56.533	38.507
56.760	38.555
56.988	38.606
57.216	38.658
57.444	38.711
57.671	38.766
57.899	38.823
58.125	38.882
58.351	38.942
58.575	39.005
58.798	39.070
59.019	39.137
59.238	39.207
59.455	39.279
59.670	39.354
59.882	39.431
60.090	39.511
60.296	39.593
60.498	39.679
60.696	39.768
60.891	39.859
61.081	39.954
61.266	40.052
61.448	40.154
61.625	40.258
61.798	40.365
61.967	40.474
62.133	40.586
62.296	40.699
62.457	40.815
62.614	40.932
62.770	41.050
62.923	41.169
63.075	41.289
63.225	41.409
63.374	41.530
63.522	41.651
63.669	41.772
63.816	41.892
63.963	42.011
64.110	42.130
64.257	42.248
64.405	42.364
64.554	42.479
64.704	42.592
64.855	42.703
65.008	42.813
65.160	42.922
65.313	43.030
65.467	43.138
65.620	43.245
65.774	43.353
65.926	43.462
66.079	43.571
66.230	43.681
66.380	43.792
66.530	43.905
66.677	44.021
66.823	44.138
66.968	44.258
67.110	44.381
67.250	44.507
67.387	44.636
67.522	44.769
67.653	44.906
67.782	45.048
67.907	45.193
68.029	45.342
68.147	45.495
68.262	45.650
68.372	45.808
68.478	45.968
68.580	46.131
68.677	46.295
68.770	46.460
68.858	46.626
68.940	46.793
69.018	46.961
69.090	47.128
69.156	47.295
69.216	47.461
69.271	47.625
69.319	47.789
69.362	47.951
69.397	48.111
69.426	48.268
69.449	48.423
69.465	48.575
69.477	48.726
69.482	48.875
69.484	49.022
69.481	49.167
69.474	49.311
69.464	49.453
69.450	49.595
69.435	49.736
69.417	49.876
69.397	50.015
69.377	50.154
69.355	50.293
69.333	50.431
69.312	50.570
69.290	50.709
69.268	50.848
69.246	50.987
69.223	51.126
69.198	51.265
69.173	51.404
69.146	51.542
69.116	51.680
69.085	51.818
69.051	51.956
69.014	52.093
68.975	52.229
68.931	52.365
68.885	52.500
68.834	52.634
68.779	52.768
68.720	52.901
68.657	53.033
68.592	53.164
68.525	53.293
68.457	53.421
68.387	53.548
68.317	53.673
68.247	53.797
68.178	53.919
68.110	54.039
68.043	54.157
67.980	54.273
67.919	54.387
67.862	54.498
67.809	54.607
67.760	54.714
67.715	54.819
67.672	54.922
67.631	55.025
67.591	55.127
67.551	55.228
67.511	55.330
67.468	55.433
67.424	55.536
67.376	55.642
67.324	55.749
67.268	55.859
67.205	55.972
67.137	56.088
67.063	56.205
66.985	56.323
66.903	56.442
66.817	56.560
66.727	56.676
66.636	56.790
66.542	56.900
66.446	57.007
66.350	57.109
66.253	57.205
66.157	57.294
66.061	57.376
65.966	57.450
65.873	57.515
65.783	57.571
65.693	57.619
65.606	57.663
65.520	57.703
65.435	57.741
65.352	57.779
65.269	57.818
65.187	57.862
65.106	57.910
65.025	57.966
64.944	58.031
64.863	58.104
64.782	58.186
64.700	58.275
64.618	58.370
64.534	58.471
64.450	58.576
64.364	58.684
64.276	58.794
64.186	58.906
64.093	59.019
63.999	59.131
63.901	59.241
63.801	59.349
63.697	59.454
63.590	59.554
63.480	59.650
63.366	59.741
63.250	59.829
63.130	59.913
63.008	59.994
62.884	60.072
62.757	60.147
62.628	60.220
62.498	60.290
62.366	60.359
62.232	60.427
62.098	60.493
61.962	60.558
61.826	60.623
61.689	60.688
61.551	60.753
61.414	60.818
61.276	60.883
61.138	60.948
61.001	61.014
60.863	61.079
60.726	61.145
60.589	61.211
60.453	61.276
60.317	61.342
60.182	61.407
60.048	61.472
59.914	61.537
59.782	61.602
59.650	61.666
59.520	61.729
59.391	61.793
59.263	61.855
59.136	61.917
59.010	61.978
58.885	62.037
58.760	62.095
58.635	62.150
58.509	62.202
58.383	62.252
58.255	62.298
58.126	62.340
57.995	62.378
57.862	62.412
57.727	62.440
57.588	62.464
57.447	62.481
57.302	62.493
57.153	62.498
57.001	62.497
56.846	62.489
56.689	62.476
56.529	62.456
56.366	62.430
56.202	62.398
56.037	62.359
55.870	62.315
55.702	62.265
55.534	62.209
55.365	62.147
55.197	62.079
55.029	62.005
54.862	61.926
54.696	61.840
54.531	61.750
54.367	61.653
54.206	61.551
54.047	61.444
53.890	61.331
53.735	61.214
53.583	61.092
53.432	60.967
53.284	60.838
53.137	60.705
52.993	60.570
52.850	60.432
52.710	60.292
52.571	60.150
52.435	60.006
52.300	59.862
52.167	59.717
52.036	59.571
51.907	59.425
51.779	59.280
51.654	59.135
51.530	58.992
51.407	58.850
51.287	58.710
51.168	58.571
51.051	58.435
50.935	58.301
50.821	58.167
50.709	58.035
50.598	57.902
50.490	57.770
50.383	57.637
50.278	57.502
50.174	57.367
50.073	57.229
49.973	57.089
49.875	56.946
49.780	56.800
49.686	56.650
49.594	56.496
49.504	56.338
49.416	56.174
49.329	56.005
49.245	55.830
49.163	55.649
49.083	55.463
49.005	55.271
48.928	55.074
48.852	54.874
48.777	54.669
48.703	54.462
48.630	54.253
48.557	54.042
48.485	53.829
48.413	53.617
48.341	53.403
48.268	53.191
48.195	52.980
48.121	52.770
48.047	52.562
47.971	52.357
47.894	52.156
47.816	51.959
47.736	51.766
47.654	51.578
47.571	51.396
47.485	51.220
47.397	51.051
47.306	50.889
47.213	50.734
47.120	50.584
47.026	50.439
46.932	50.299
46.840	50.163
46.749	50.030
46.661	49.899
