X	Y
35.602	18.204
35.749	18.131
35.959	18.076
36.223	18.035
36.533	18.010
36.883	17.997
37.262	17.997
37.665	18.007
38.081	18.026
38.505	18.054
38.927	18.089
39.340	18.130
39.736	18.176
40.109	18.225
40.462	18.279
40.796	18.338
41.114	18.404
41.418	18.477
41.711	18.558
41.996	18.648
42.275	18.748
42.550	18.858
42.823	18.979
43.098	19.113
43.375	19.259
43.652	19.414
43.928	19.574
44.199	19.735
44.464	19.894
44.720	20.047
44.964	20.191
45.195	20.322
45.411	20.437
45.608	20.531
45.786	20.606
45.945	20.672
46.084	20.738
46.205	20.816
46.308	20.916
46.393	21.048
46.463	21.211
46.522	21.397
46.573	21.602
46.621	21.817
46.669	22.035
46.722	22.251
46.782	22.457
46.844	22.651
46.898	22.831
46.937	22.996
46.949	23.145
46.927	23.278
46.863	23.393
46.770	23.495
46.667	23.592
46.572	23.690
46.506	23.796
46.477	23.915
46.476	24.043
46.492	24.179
46.513	24.320
46.526	24.462
46.527	24.603
46.509	24.740
46.469	24.870
46.402	24.988
46.306	25.094
46.190	25.188
46.062	25.273
45.935	25.351
45.815	25.423
45.713	25.494
45.626	25.571
45.555	25.662
45.495	25.778
45.446	25.923
45.407	26.090
45.374	26.267
45.347	26.441
45.324	26.601
45.303	26.735
45.279	26.837
45.239	26.918
45.170	26.989
45.061	27.058
44.916	27.129
44.739	27.202
44.538	27.278
44.318	27.357
44.086	27.440
43.849	27.528
43.612	27.621
43.375	27.718
43.140	27.816
42.903	27.915
42.666	28.012
42.426	28.106
42.184	28.195
41.937	28.276
41.686	28.349
41.431	28.411
41.174	28.461
40.918	28.499
40.666	28.524
40.423	28.534
40.192	28.529
39.975	28.507
39.777	28.469
39.600	28.413
39.440	28.340
39.291	28.250
39.147	28.143
39.001	28.022
38.848	27.886
38.681	27.737
38.498	27.574
38.303	27.399
38.100	27.212
37.892	27.012
37.683	26.802
37.477	26.580
37.277	26.347
37.088	26.104
36.912	25.852
36.755	25.590
36.615	25.319
36.492	25.041
36.384	24.757
36.288	24.468
36.203	24.174
36.128	23.878
36.061	23.580
35.999	23.282
35.940	22.984
35.884	22.688
35.829	22.395
35.775	22.107
35.722	21.826
35.671	21.553
35.622	21.290
35.575	21.039
35.531	20.801
35.489	20.579
35.451	20.374
35.415	20.187
35.384	20.014
35.357	19.852
35.335	19.696
35.317	19.543
35.305	19.390
35.300	19.237
35.302	19.088
35.313	18.951
35.334	18.830
35.368	18.732
35.407	18.651
35.443	18.573
35.465	18.487
35.483	18.390
35.520	18.293
35.602	18.204
