X	Y
57.779	31.015
57.880	30.809
57.998	30.598
58.132	30.380
58.281	30.158
58.445	29.930
58.622	29.698
58.812	29.461
59.013	29.220
59.227	28.974
59.451	28.725
59.684	28.472
59.927	28.216
60.178	27.956
60.436	27.694
60.702	27.429
60.973	27.162
61.249	26.892
61.530	26.620
61.815	26.347
62.103	26.072
62.393	25.796
62.685	25.519
62.980	25.240
63.277	24.961
63.575	24.680
63.875	24.399
64.176	24.117
64.478	23.834
64.781	23.550
65.085	23.266
65.389	22.982
65.693	22.697
65.997	22.412
66.301	22.127
66.604	21.842
66.906	21.557
67.208	21.272
67.508	20.987
67.807	20.702
68.105	20.418
68.400	20.135
68.694	19.852
68.985	19.570
69.273	19.288
69.560	19.008
69.843	18.728
70.125	18.450
70.405	18.172
70.683	17.896
70.959	17.621
71.235	17.347
71.509	17.075
71.782	16.804
72.054	16.535
72.326	16.268
72.597	16.003
72.868	15.739
73.139	15.477
73.410	15.217
73.682	14.960
73.954	14.704
74.227	14.451
74.501	14.201
74.776	13.952
75.053	13.706
75.330	13.463
75.610	13.223
75.891	12.985
76.174	12.750
76.458	12.518
76.744	12.288
77.031	12.061
77.319	11.837
77.608	11.616
77.898	11.398
78.189	11.183
78.480	10.970
78.773	10.760
79.065	10.554
79.359	10.350
79.652	10.149
79.946	9.952
80.241	9.757
80.535	9.565
80.829	9.376
81.124	9.191
81.418	9.008
81.711	8.829
82.005	8.653
82.299	8.480
82.595	8.311
82.891	8.145
83.189	7.983
83.490	7.826
83.793	7.672
84.099	7.523
84.408	7.378
84.722	7.238
85.040	7.102
85.362	6.972
85.690	6.846
86.023	6.726
86.363	6.611
86.709	6.502
87.061	6.398
87.421	6.300
87.789	6.208
88.165	6.123
88.549	6.043
88.940	5.970
89.337	5.902
89.737	5.841
90.139	5.786
90.542	5.737
90.945	5.693
91.346	5.656
91.743	5.624
92.136	5.598
92.522	5.577
92.900	5.562
93.270	5.553
93.628	5.549
93.974	5.550
94.307	5.556
94.624	5.568
94.925	5.585
95.208	5.607
95.471	5.634
95.714	5.667
95.934	5.704
96.134	5.748
96.314	5.800
96.475	5.862
96.620	5.937
96.750	6.024
96.866	6.127
96.969	6.247
97.061	6.386
97.144	6.545
97.218	6.726
97.285	6.928
97.345	7.150
97.398	7.390
97.446	7.648
97.489	7.923
97.527	8.213
97.562	8.516
97.593	8.833
97.622	9.162
97.649	9.502
97.675	9.852
97.700	10.210
97.725	10.576
97.750	10.948
97.777	11.325
97.806	11.707
97.837	12.091
97.872	12.477
97.909	12.865
97.949	13.254
97.991	13.643
98.036	14.033
98.081	14.422
98.128	14.811
98.176	15.198
98.224	15.585
98.272	15.970
98.319	16.353
98.366	16.733
98.412	17.111
98.456	17.485
