X	Y
58.197	38.361
58.270	38.296
58.394	38.234
58.566	38.174
58.782	38.117
59.042	38.062
59.342	38.010
59.679	37.961
60.052	37.916
60.458	37.874
60.894	37.836
61.358	37.802
61.847	37.772
62.358	37.747
62.891	37.726
63.441	37.710
64.006	37.699
64.584	37.694
65.173	37.694
65.769	37.700
66.371	37.711
66.975	37.729
67.580	37.753
68.183	37.784
68.781	37.822
69.372	37.867
69.954	37.918
70.523	37.978
71.078	38.045
71.616	38.120
72.139	38.202
72.647	38.291
73.141	38.386
73.621	38.488
74.088	38.595
74.544	38.708
74.989	38.825
75.423	38.947
75.848	39.072
76.265	39.201
76.673	39.333
77.074	39.468
77.469	39.605
77.858	39.744
78.243	39.884
78.623	40.025
79.001	40.167
79.376	40.308
79.749	40.450
80.121	40.590
80.493	40.730
80.866	40.867
81.241	41.003
81.617	41.136
81.997	41.266
82.380	41.393
82.767	41.517
83.157	41.639
83.548	41.760
83.940	41.879
84.331	41.999
84.722	42.120
85.110	42.242
85.496	42.367
85.877	42.495
86.254	42.627
86.625	42.764
86.989	42.906
87.346	43.055
87.694	43.211
88.033	43.375
88.361	43.547
88.678	43.729
88.983	43.921
89.274	44.124
89.552	44.339
89.814	44.567
90.061	44.808
90.290	45.063
90.503	45.331
90.699	45.612
90.879	45.905
91.044	46.207
91.194	46.518
91.328	46.836
91.449	47.161
91.556	47.490
91.650	47.823
91.732	48.158
91.801	48.495
91.858	48.831
91.904	49.166
91.939	49.498
91.964	49.826
91.980	50.149
91.986	50.465
91.983	50.773
91.971	51.073
91.952	51.362
91.925	51.641
91.891	51.912
91.850	52.176
91.801	52.432
91.746	52.684
91.683	52.932
91.615	53.176
91.540	53.419
91.459	53.661
91.372	53.904
91.279	54.148
91.181	54.395
91.078	54.646
90.969	54.902
90.856	55.164
90.737	55.433
90.614	55.710
90.487	55.992
90.355	56.280
90.220	56.572
90.080	56.867
89.937	57.165
89.791	57.465
89.642	57.765
89.489	58.065
89.334	58.365
89.176	58.662
89.016	58.956
88.853	59.246
88.689	59.532
88.522	59.812
88.354	60.085
88.185	60.351
88.014	60.609
87.843	60.857
87.670	61.096
87.496	61.325
87.320	61.544
87.142	61.755
86.960	61.958
86.776	62.153
86.587	62.340
86.395	62.520
86.197	62.693
85.994	62.859
85.785	63.020
85.570	63.175
85.348	63.324
85.119	63.469
84.883	63.609
84.637	63.745
84.384	63.878
84.122	64.007
83.852	64.132
83.575	64.256
83.291	64.376
83.001	64.495
82.706	64.611
82.405	64.726
82.101	64.840
81.792	64.953
81.480	65.065
81.165	65.176
80.848	65.288
80.530	65.400
80.210	65.512
79.890	65.626
79.570	65.740
79.250	65.856
78.932	65.974
78.616	66.093
78.301	66.215
77.989	66.338
77.679	66.461
77.371	66.583
77.065	66.704
76.761	66.822
76.459	66.937
76.159	67.047
75.861	67.152
75.565	67.251
75.271	67.342
74.978	67.426
74.688	67.500
74.399	67.564
74.112	67.617
73.827	67.659
73.543	67.688
73.262	67.703
72.981	67.703
72.703	67.689
72.427	67.659
72.153	67.614
71.882	67.555
71.614	67.481
71.349	67.391
71.088	67.288
70.831	67.169
70.579	67.036
70.331	66.888
70.088	66.726
69.850	66.549
69.618	66.358
69.392	66.152
69.172	65.932
68.958	65.698
68.752	65.450
68.552	65.188
68.359	64.913
68.172	64.626
67.992	64.328
67.817	64.019
67.647	63.700
67.482	63.372
67.322	63.036
67.167	62.692
67.016	62.342
66.869	61.986
66.725	61.625
66.585	61.260
66.448	60.891
66.314	60.519
66.182	60.146
66.052	59.771
65.924	59.397
65.797	59.022
65.672	58.649
65.547	58.278
65.424	57.910
65.300	57.546
65.177	57.185
65.054	56.827
64.930	56.474
64.805	56.123
64.679	55.776
64.552	55.433
64.423	55.093
64.292	54.756
64.159	54.422
64.023	54.091
63.884	53.763
63.743	53.438
63.598	53.116
63.449	52.796
63.296	52.480
63.139	52.165
62.978	51.854
62.812	51.545
62.640	51.238
62.463	50.934
62.281	50.632
62.092	50.333
61.899	50.035
61.702	49.740
61.502	49.447
61.300	49.157
61.097	48.868
60.893	48.582
60.691	48.298
60.491	48.017
60.293	47.738
60.099	47.461
59.910	47.186
59.727	46.914
59.550	46.644
59.381	46.377
59.221	46.111
59.070	45.849
58.930	45.588
58.801	45.330
58.685	45.075
58.582	44.821
58.492	44.571
58.413	44.325
58.345	44.083
58.286	43.846
58.236	43.615
58.193	43.390
58.157	43.173
58.126	42.963
58.101	42.761
58.078	42.569
58.059	42.386
58.041	42.213
58.024	42.052
58.008	41.900
57.994	41.755
57.984	41.615
57.977	41.477
57.977	41.338
57.983	41.195
57.997	41.046
58.020	40.888
58.054	40.718
58.096	40.537
58.145	40.347
58.196	40.153
58.247	39.956
58.294	39.761
58.335	39.569
58.367	39.385
58.386	39.211
58.389	39.050
58.373	38.905
58.336	38.779
58.284	38.672
58.230	38.580
58.189	38.499
58.173	38.427
58.197	38.361
