X	Y
39.023	14.425
39.051	14.384
39.084	14.345
39.122	14.307
39.164	14.270
39.211	14.234
39.262	14.199
39.318	14.165
39.377	14.132
39.440	14.099
39.507	14.067
39.578	14.035
39.652	14.004
39.729	13.972
39.809	13.941
39.892	13.909
39.977	13.877
40.066	13.845
40.156	13.812
40.249	13.778
40.344	13.744
40.442	13.708
40.540	13.672
40.641	13.634
40.743	13.595
40.846	13.554
40.951	13.512
41.056	13.469
41.163	13.424
41.271	13.378
41.379	13.331
41.489	13.282
41.599	13.233
41.710	13.182
41.822	13.130
41.935	13.078
42.048	13.024
42.162	12.970
42.276	12.914
42.390	12.859
42.505	12.802
42.620	12.745
42.735	12.687
42.851	12.629
42.966	12.570
43.082	12.512
43.198	12.452
43.313	12.393
43.428	12.333
43.543	12.274
43.658	12.214
43.772	12.154
43.886	12.094
44.000	12.035
44.113	11.975
44.225	11.916
44.337	11.857
44.448	11.799
44.558	11.741
44.667	11.683
44.775	11.626
44.883	11.570
44.989	11.514
45.095	11.459
45.199	11.405
45.302	11.351
45.404	11.299
45.505	11.246
45.605	11.195
45.705	11.144
45.803	11.093
45.901	11.044
45.998	10.994
46.094	10.945
46.190	10.897
46.285	10.849
46.380	10.801
46.474	10.754
46.568	10.707
46.661	10.661
46.755	10.614
46.847	10.568
46.940	10.522
47.033	10.477
47.125	10.431
47.217	10.386
47.310	10.341
47.402	10.295
47.494	10.250
47.587	10.205
47.680	10.160
47.773	10.115
47.866	10.070
47.960	10.024
48.054	9.979
48.148	9.933
48.243	9.887
48.339	9.841
48.435	9.795
48.531	9.748
48.629	9.702
48.726	9.655
48.824	9.608
48.923	9.562
49.023	9.514
49.123	9.467
49.223	9.420
49.324	9.373
49.426	9.325
49.529	9.278
49.632	9.230
49.736	9.183
49.840	9.135
49.945	9.088
50.051	9.040
50.158	8.993
50.265	8.945
50.373	8.897
50.482	8.850
50.591	8.803
50.701	8.755
50.813	8.708
50.924	8.661
51.037	8.614
51.151	8.566
51.265	8.520
51.380	8.473
51.496	8.426
51.613	8.380
51.730	8.333
51.849	8.287
51.968	8.241
52.089	8.195
52.210	8.150
52.332	8.104
52.455	8.059
52.578	8.014
52.702	7.969
52.827	7.924
52.952	7.880
53.078	7.835
53.205	7.791
53.332	7.747
53.459	7.703
53.587	7.659
53.715	7.615
53.844	7.571
53.973	7.528
54.102	7.484
54.231	7.441
54.361	7.398
54.491	7.355
54.621	7.312
54.750	7.269
54.880	7.227
55.010	7.184
55.140	7.142
55.270	7.099
55.399	7.057
55.529	7.015
55.658	6.972
55.787	6.930
55.916	6.888
56.044	6.846
56.173	6.804
56.300	6.762
56.427	6.721
56.554	6.679
56.680	6.637
56.806	6.596
56.931	6.554
57.056	6.512
57.180	6.471
57.303	6.429
57.425	6.388
57.547	6.346
57.668	6.305
57.788	6.264
57.908	6.223
58.027	6.183
58.146	6.142
58.263	6.102
58.380	6.062
58.497	6.023
58.612	5.984
58.727	5.945
58.842	5.907
58.956	5.869
59.069	5.832
59.181	5.795
59.293	5.758
59.404	5.723
59.515	5.688
59.624	5.653
59.734	5.619
59.842	5.586
59.950	5.554
60.057	5.522
60.164	5.492
60.270	5.462
60.376	5.432
60.481	5.404
60.585	5.377
60.688	5.350
60.791	5.325
60.894	5.300
60.996	5.277
61.097	5.255
61.197	5.233
61.297	5.213
61.397	5.194
61.496	5.176
61.594	5.159
61.692	5.143
61.790	5.129
61.887	5.115
61.984	5.103
62.081	5.091
62.178	5.081
62.274	5.072
62.370	5.064
62.466	5.057
62.563	5.052
62.659	5.047
62.755	5.043
62.851	5.041
62.947	5.040
63.043	5.040
63.140	5.041
63.236	5.043
63.333	5.046
63.430	5.051
63.528	5.056
63.626	5.063
63.724	5.071
63.823	5.080
63.922	5.090
64.022	5.101
64.122	5.113
64.223	5.127
64.324	5.142
64.425	5.157
64.526	5.174
64.626	5.192
64.726	5.211
64.826	5.231
64.924	5.251
65.022	5.273
65.118	5.296
65.212	5.319
65.306	5.344
65.397	5.369
65.486	5.395
65.573	5.422
65.658	5.450
65.740	5.479
65.820	5.508
65.896	5.538
65.970	5.569
66.040	5.600
66.106	5.632
66.169	5.665
66.228	5.698
66.283	5.732
66.334	5.766
66.381	5.801
66.423	5.837
66.461	5.873
66.496	5.909
66.527	5.947
66.556	5.984
66.582	6.023
66.606	6.062
66.628	6.101
66.649	6.142
66.669	6.182
66.687	6.224
66.706	6.266
66.724	6.309
66.743	6.352
66.761	6.397
66.781	6.442
66.799	6.487
66.818	6.533
66.835	6.580
66.851	6.628
66.865	6.676
66.878	6.725
66.888	6.775
66.896	6.825
66.900	6.876
66.901	6.928
66.899	6.980
66.892	7.033
66.881	7.087
66.866	7.141
66.845	7.196
66.821	7.252
66.793	7.308
66.760	7.365
66.724	7.423
66.685	7.481
66.643	7.539
66.598	7.599
66.551	7.658
66.501	7.719
66.449	7.779
66.395	7.841
66.339	7.902
66.282	7.965
66.225	8.027
66.166	8.090
66.106	8.154
66.046	8.218
65.986	8.282
65.926	8.347
65.867	8.412
65.808	8.478
65.749	8.543
65.692	8.610
65.636	8.676
65.580	8.743
65.525	8.811
65.472	8.878
65.419	8.947
65.366	9.016
65.315	9.085
65.265	9.155
65.215	9.226
65.166	9.297
65.118	9.370
65.070	9.442
65.024	9.516
64.978	9.590
64.933	9.665
64.888	9.741
64.844	9.818
64.801	9.896
64.759	9.974
64.717	10.054
64.676	10.134
64.635	10.216
64.595	10.298
64.556	10.382
64.517	10.467
64.479	10.553
64.441	10.640
64.404	10.727
64.368	10.816
64.333	10.905
64.298	10.995
64.264	11.085
64.231	11.175
64.198	11.266
64.167	11.356
64.136	11.446
64.106	11.536
64.078	11.625
64.050	11.713
64.024	11.801
63.998	11.888
63.974	11.974
63.950	12.059
63.928	12.142
63.908	12.224
63.888	12.304
63.870	12.383
63.853	12.459
63.838	12.534
63.823	12.606
63.811	12.677
63.800	12.744
63.790	12.809
63.782	12.872
63.775	12.933
63.768	12.992
63.763	13.049
63.758	13.104
63.754	13.159
63.750	13.212
63.746	13.265
63.742	13.317
63.738	13.370
63.733	13.422
63.728	13.475
63.721	13.528
63.714	13.583
63.705	13.638
63.695	13.694
63.684	13.753
63.670	13.813
63.655	13.874
63.638	13.937
63.619	14.001
63.599	14.066
63.577	14.131
63.552	14.198
63.526	14.266
63.498	14.334
63.468	14.402
63.436	14.471
63.402	14.540
63.366	14.609
63.327	14.678
63.287	14.746
63.245	14.815
63.200	14.883
63.153	14.950
63.104	15.016
63.052	15.082
62.999	15.146
62.943	15.210
62.884	15.272
62.824	15.333
62.761	15.392
62.697	15.451
62.631	15.509
62.563	15.566
62.494	15.623
62.424	15.678
62.352	15.733
62.280	15.788
62.207	15.842
62.134	15.896
62.060	15.950
61.986	16.003
61.912	16.056
61.838	16.110
61.764	16.163
61.691	16.217
61.618	16.271
61.546	16.325
61.474	16.380
61.404	16.435
61.335	16.491
61.268	16.548
61.202	16.605
61.138	16.663
61.075	16.722
61.015	16.782
60.956	16.843
60.899	16.905
60.844	16.966
60.790	17.028
60.738	17.089
60.686	17.149
60.635	17.208
60.585	17.266
60.536	17.323
60.486	17.377
60.437	17.429
60.388	17.479
60.339	17.525
60.290	17.569
60.240	17.609
60.189	17.645
60.137	17.677
60.085	17.705
60.031	17.729
59.976	17.747
59.919	17.760
59.861	17.767
59.800	17.770
59.739	17.768
59.676	17.761
59.611	17.750
59.544	17.735
59.477	17.717
59.407	17.696
59.337	17.671
59.265	17.645
59.191	17.616
59.116	17.585
59.040	17.552
58.963	17.518
58.884	17.483
58.804	17.448
58.723	17.412
58.641	17.376
58.557	17.340
58.473	17.305
58.387	17.271
58.301	17.238
58.213	17.207
58.124	17.178
58.035	17.150
57.944	17.125
57.853	17.102
57.761	17.080
57.668	17.061
57.574	17.043
57.479	17.027
57.384	17.012
57.287	17.000
57.191	16.989
57.093	16.980
56.995	16.972
56.897	16.966
56.797	16.961
56.698	16.958
56.597	16.956
56.497	16.955
56.395	16.956
56.294	16.958
56.192	16.961
56.090	16.966
55.987	16.971
55.884	16.978
55.781	16.986
55.678	16.994
55.574	17.004
55.471	17.015
55.367	17.026
55.263	17.038
55.159	17.051
55.055	17.065
54.951	17.080
54.847	17.095
54.743	17.111
54.639	17.127
54.535	17.144
54.431	17.162
54.328	17.180
54.224	17.199
54.121	17.218
54.018	17.238
53.915	17.258
53.812	17.278
53.709	17.299
53.607	17.320
53.505	17.342
53.403	17.363
53.302	17.385
53.200	17.407
53.100	17.430
52.999	17.452
52.899	17.475
52.800	17.498
52.701	17.521
52.602	17.543
52.504	17.566
52.406	17.589
52.309	17.612
52.213	17.635
52.117	17.657
52.021	17.680
51.926	17.702
51.832	17.724
51.738	17.746
51.645	17.768
51.552	17.790
51.459	17.811
51.366	17.832
51.273	17.853
51.180	17.873
51.087	17.894
50.993	17.914
50.900	17.934
50.805	17.953
50.710	17.973
50.615	17.992
50.519	18.010
50.422	18.029
50.324	18.047
50.225	18.064
50.125	18.082
50.023	18.099
49.921	18.116
49.817	18.132
49.711	18.148
49.604	18.163
49.495	18.178
49.385	18.193
49.273	18.208
49.158	18.222
49.042	18.235
48.924	18.248
48.803	18.261
48.680	18.273
48.555	18.284
48.428	18.296
48.299	18.306
48.169	18.317
48.036	18.326
47.902	18.336
47.767	18.344
47.629	18.352
47.491	18.360
47.351	18.367
47.210	18.374
47.068	18.380
46.925	18.385
46.781	18.390
46.636	18.394
46.490	18.397
46.344	18.400
46.197	18.403
46.050	18.404
45.902	18.405
45.754	18.406
45.606	18.405
45.457	18.404
45.309	18.403
45.161	18.400
45.013	18.397
44.865	18.393
44.717	18.389
44.570	18.384
44.424	18.378
44.278	18.371
44.133	18.363
43.988	18.355
43.845	18.346
43.702	18.336
43.561	18.325
43.420	18.314
43.281	18.302
43.143	18.289
43.007	18.275
42.872	18.260
42.739	18.244
42.608	18.228
42.478	18.210
42.350	18.192
42.224	18.173
42.099	18.153
41.977	18.133
41.857	18.112
41.738	18.090
41.622	18.068
41.508	18.045
41.396	18.021
41.286	17.997
41.178	17.972
41.073	17.947
40.970	17.922
40.870	17.895
40.772	17.869
40.676	17.842
40.583	17.815
40.493	17.787
40.405	17.759
40.320	17.731
40.237	17.702
40.158	17.673
40.081	17.644
40.007	17.615
39.936	17.585
39.868	17.556
39.803	17.526
39.741	17.496
39.683	17.466
39.627	17.436
39.575	17.406
39.525	17.376
39.478	17.345
39.435	17.313
39.394	17.280
39.355	17.247
39.320	17.212
39.286	17.176
39.256	17.139
39.227	17.100
39.201	17.060
39.178	17.017
39.156	16.973
39.137	16.926
39.119	16.878
39.104	16.827
39.090	16.774
39.078	16.719
39.067	16.663
39.058	16.605
39.050	16.546
39.044	16.487
39.039	16.426
39.034	16.365
39.031	16.304
39.028	16.243
39.026	16.182
39.025	16.122
39.024	16.062
39.023	16.003
39.023	15.945
39.023	15.889
39.022	15.834
39.022	15.780
39.022	15.728
39.021	15.677
39.020	15.627
39.019	15.577
39.018	15.529
39.016	15.481
39.014	15.433
39.011	15.386
39.008	15.339
39.004	15.291
39.000	15.244
38.995	15.196
38.989	15.148
38.982	15.099
38.976	15.049
38.969	14.999
38.962	14.949
38.956	14.899
38.951	14.849
38.947	14.799
38.946	14.749
38.947	14.700
38.950	14.651
38.957	14.604
38.967	14.557
38.981	14.512
39.000	14.468
39.023	14.425
